age_h,step,particle_id,component_cell_count,equivalent_radius_nm,h_volume_nm3_tensor,weighted_centroid_x_nm,weighted_centroid_y_nm,weighted_centroid_z_nm,cov_xx_nm2,cov_xy_nm2,cov_xz_nm2,cov_yy_nm2,cov_yz_nm2,cov_zz_nm2,inertia_xx_nm5,inertia_xy_nm5,inertia_xz_nm5,inertia_yy_nm5,inertia_yz_nm5,inertia_zz_nm5,inertia_per_volume_xx_nm2,inertia_per_volume_xy_nm2,inertia_per_volume_xz_nm2,inertia_per_volume_yy_nm2,inertia_per_volume_yz_nm2,inertia_per_volume_zz_nm2,shape_eigenvalue_major_nm2,shape_eigenvalue_intermediate_nm2,shape_eigenvalue_minor_nm2,semi_axis_major_nm,semi_axis_intermediate_nm,semi_axis_minor_nm,aspect_ratio_major_minor,aspect_ratio_major_intermediate,aspect_ratio_intermediate_minor,triaxiality,major_axis_x,major_axis_y,major_axis_z,intermediate_axis_x,intermediate_axis_y,intermediate_axis_z,minor_axis_x,minor_axis_y,minor_axis_z,major_axis_angle_to_x_deg,major_axis_angle_to_y_deg,major_axis_angle_to_z_deg,closest_box_crystal_axis,misorientation_to_closest_box_axis_deg,major_axis_eigen_gap,major_axis_orientation_well_conditioned,source_phi
6.0,0,1,13067,10.88098216120029,5396.260468732218,1.6791165499402168,6.5748797208618805,144.12248988473792,24.465187207507885,-1.9857501637670767e-05,4.28964611934588e-06,24.465203566211837,-8.35596462673219e-06,24.465148665292045,264040.9254680077,0.10715625109514804,-0.02314804777867674,264040.8371921802,0.04509096159335968,264041.1334518434,48.93035223150388,1.9857501637670767e-05,-4.28964611934588e-06,48.93033587279993,8.35596462673219e-06,48.93039077371972,24.46521811676491,24.465173953856983,24.465147368389868,11.060112593632333,11.060102611155328,11.06009660183623,1.0000014459002193,1.0000009025664007,1.0000005433333283,0.6242250497312198,-0.5487147454846796,0.8253317975808868,-0.13318990948861367,0.8350357673875175,0.5487629808535017,-0.039679440877095656,-0.04034098748448189,0.1329910325799485,0.9902959103127187,56.72111625199163,34.37785506048121,82.34603587328905,[010],34.37785506048121,1.8051303575311303e-06,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,2,8566,8.97683937632613,3030.114030858083,12.260996320106438,14.374482496370359,210.37724700957173,16.9011718898987,3.0065916965241203e-05,2.9879145279445497e-05,16.901184072066215,1.664172956457065e-05,16.901182998694722,102425.02673732795,-0.09110315684699144,-0.09053721734129486,102424.98982397123,-0.05042633825135131,102424.99307640924,33.80236707076094,-3.0065916965241203e-05,-2.9879145279445497e-05,33.80235488859342,-1.664172956457065e-05,33.802355961964906,16.901230722594708,16.901166891204507,16.901141346860413,9.192722861751763,9.192705502517882,9.192698555609342,1.00000264407043,1.0000018883704995,1.0000007556985033,0.7141915051600657,0.5845521932640272,0.5793662066149784,0.5680083907679409,0.011256458353137024,-0.7057965044342726,0.7083251982484497,0.8112780198523558,-0.40765928538539653,-0.4190965062411141,54.22863918341217,54.59402267280681,55.388538769594696,[100],54.22863918341217,3.776730301351962e-06,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,3,12719,10.751392296975556,5205.743138660241,233.16494852326645,30.828900008311415,87.23833004615217,23.904419408932107,-2.572267613526023e-06,-9.80483711799187e-06,23.90442217354769,1.1222404738102276e-05,23.904452131542943,248880.7193807955,0.013390564479911049,0.051041463552667435,248880.70498891687,-0.058420956464644104,248880.54903528863,47.80887430509064,2.572267613526023e-06,9.80483711799187e-06,47.80887154047505,-1.1222404738102276e-05,47.80884158247979,23.9044584881525,23.904418652935394,23.90441657293484,10.932625139497032,10.932616030240748,10.932615554599648,1.000000876725001,1.0000008332183494,1.0000000435066154,0.9503760048407249,-0.2506448333072853,0.30199309120460316,0.9197702650124387,0.31222258381468193,0.9245455658862131,-0.21847781296100943,0.9163483102469535,-0.23241271364714586,0.32602163247662375,75.48432663078898,72.4226477991803,23.1074806736078,[001],23.1074806736078,1.666434616166703e-06,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,4,11053,10.100441992033028,4316.281349160069,241.56904721827408,55.8596798559974,47.994175336389645,21.18922934590206,-2.108342192195142e-05,3.349223747847643e-06,21.189280691706156,-3.0641998587010383e-06,21.189255047499504,182917.68341584678,0.09100198081819144,-0.014456191996998768,182917.46179291018,0.01322594870021021,182917.57248052108,42.37853573920565,2.108342192195142e-05,-3.349223747847643e-06,42.37848439340155,3.0641998587010383e-06,42.37851003760821,21.18928871881971,21.189254703756422,21.189221662531587,10.293028883380176,10.293020621701976,10.293012596546161,1.0000015823194484,1.000000802648562,1.0000007796702608,0.5072613507089072,-0.33820249521963797,0.9335703037473458,-0.11859831444122335,0.02014590338401805,0.13317793653387577,0.9908873698849031,0.9408577016765355,0.3327313107924582,-0.06384872758544177,70.23260185026524,21.001618363212312,83.18878577029378,[010],21.001618363212312,1.60529519136217e-06,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,5,11726,10.373620083844285,4676.055156652021,10.778877028527264,61.4257452853234,166.48588455486603,22.308097650118736,1.4028613961644622e-05,9.490054648782166e-07,22.308053753713864,-2.777430144980338e-06,22.308073001994064,208627.46958586824,-0.06559857265602886,-0.004437601897734733,208627.67484787857,0.01298741655167608,208627.5848418587,44.616126755707924,-1.4028613961644622e-05,-9.490054648782166e-07,44.61617065211279,2.777430144980338e-06,44.616151403832596,22.30810175104705,22.308073363979894,22.30804929079972,10.561274011937918,10.561267292323373,10.561261593862666,1.0000011758136225,1.0000006362507792,1.0000005395625,0.541115770462403,0.9599034277358126,0.28029302701789044,0.004607431625712604,0.030010960863409354,-0.1190902851246166,0.9924297689091115,-0.2787198443761988,0.9524984635127164,0.12272703596527522,16.279954406830903,73.72230575097466,89.73601267944007,[100],16.279954406830903,1.2725003442312822e-06,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,6,9229,9.299771365531827,3369.0342339689714,1.394274649314035,80.79442702854699,100.70221107047313,18.08190696447806,7.080575424171195e-06,1.039284050039255e-05,18.08192683125634,-2.8354737983424675e-05,18.08193193272472,121837.27820827099,-0.023854701000232126,-0.03501383543400172,121837.21127641485,0.09552808296137805,121837.19408939322,36.163858763981054,-7.080575424171195e-06,-1.039284050039255e-05,36.16383889720278,2.8354737983424675e-05,36.16383379573439,18.0819580241159,18.081916420313828,18.081891284029386,9.508406287100877,9.508395348404964,9.508388739431457,1.0000018454934796,1.0000011504250206,1.0000006950676597,0.6233705144829393,0.05963280376001255,-0.663998857255327,0.7453518942615895,0.7838210599430531,0.4935057952749119,0.37693046576235406,0.6181168778681493,-0.5617450912947047,-0.5498854223389041,86.5812637671384,48.394433780013166,41.81066711220873,[001],41.81066711220873,2.3008460707341206e-06,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,7,8214,8.793452131478801,2848.175987432935,241.39527683191275,81.34038659565478,243.33114881708386,16.249209567740248,-1.5085465414448655e-06,1.3886828904624244e-06,16.24921875192872,-3.449424505470796e-06,16.24921177211065,92561.24944782647,0.004296606035268269,-0.003955213262774038,92561.2232896414,0.009824568046944648,92561.24316939162,32.49843052403937,1.5085465414448655e-06,-1.3886828904624244e-06,32.4984213398509,3.449424505470796e-06,32.49842831966897,16.249220508520732,16.249210689683146,16.24920889357574,9.013661994029045,9.013659270707748,9.013658772545071,1.0000003574002583,1.0000003021327093,1.0000000552675323,0.8453623839219161,-0.17387257196875935,0.9062044335525649,-0.38543722358724497,0.42408422867050516,0.42214968407040604,0.8012129624714011,0.8887749409776983,-0.024148889186286215,-0.45770725954605196,79.98694455359472,25.014008307310355,67.32911368321638,[010],25.014008307310355,6.042651449896727e-07,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,8,9919,9.606000699347215,3712.9273456977553,6.33772494543437,137.30615008852075,134.19225302327524,19.240127938572247,4.088539505435834e-06,1.3190204020971698e-05,19.24013476665948,1.956958753391318e-05,19.240096222106757,142874.30190695636,-0.015180450133698287,-0.048974269204798304,142874.27655476454,-0.07266045669869214,142874.41966788837,38.480230988766245,-4.088539505435834e-06,-1.3190204020971698e-05,38.48022416067901,-1.956958753391318e-05,38.48026270523173,19.240147426246747,19.24012618951919,19.24008531157256,9.808197445567343,9.808192032561147,9.808181613217753,1.0000016141982493,1.0000005518862374,1.0000010623114257,0.3418954995275239,0.44842569949133776,0.7902926599004981,0.4175546715618207,0.8586236095726958,-0.5106767832542564,0.04443782318521117,-0.2483543619912067,-0.33859523734465086,0.907564530007349,63.357276755644264,37.78713057015212,65.31970033442367,[010],37.78713057015212,1.1037715608245498e-06,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,9,10382,9.806340782808764,3950.1133102131944,16.816848636391214,132.31798462072877,25.487786940223103,20.01811086750519,-1.6154549270194298e-05,-7.157781659914745e-06,20.01810795598885,3.814005413878109e-06,20.01812420816122,158147.6535623948,0.06381230009268934,0.028274048606429125,158147.6650632142,-0.015065753550585103,158147.60086529184,40.036232164150064,1.6154549270194298e-05,7.157781659914745e-06,40.0362350756664,-3.814005413878109e-06,40.03621882349404,20.01813285540175,20.01811712307337,20.018093053180124,10.00453218681457,10.004528255513442,10.004522240761956,1.0000009941556802,1.0000003929521741,1.00000060120327,0.3952625692161608,-0.5662306631746241,0.4709797155634413,0.6764325122350388,0.4581837693908382,-0.5023348695189532,0.7332989242677096,0.685164556546549,0.7251467343877078,0.06864214491997281,55.51220553203807,61.90208919880236,47.434507958585804,[001],47.434507958585804,7.859038848599901e-07,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
6.0,0,10,12817,10.783612812686279,5252.686333399206,17.877086278009777,193.59916023575403,151.61489151191154,24.043175510713176,-4.9377855762787346e-06,4.684310799518181e-06,24.04325881314145,-3.3919679532808854e-06,24.0432555892514,252583.37702225303,0.02593663881377503,-0.024605215318023458,252582.9394607265,0.017816943711526582,252582.9563948097,48.08651440239285,4.9377855762787346e-06,-4.684310799518181e-06,48.086431099964585,3.3919679532808854e-06,48.08643432385463,24.043261476557433,24.043253466521175,24.04317497002741,10.964319740995661,10.964317914608545,10.964300016423167,1.000001798981464,1.0000001665755345,1.0000016324056575,0.09259458514292158,-0.0776213642292332,0.8359008543943681,-0.5433642290747137,0.015752140770287224,0.5459687916279458,0.837657417223458,0.9968584623086397,0.05646096165569725,-0.05554607036117052,85.54814531373907,33.29024184389699,57.087048498363586,[010],33.29024184389699,3.3315098557650483e-07,0,/data/home/luozhiheng/tmp/pf_elastic_6h8h_highres_energy_v1_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps7266_xB0.030/raw_fields_relax/phi_init.vtk
