age_h,particle_count,orientation_well_conditioned_count,mean_aspect_ratio_major_minor,median_aspect_ratio_major_minor,p90_aspect_ratio_major_minor,mean_semi_axis_major_nm,mean_semi_axis_intermediate_nm,mean_semi_axis_minor_nm,mean_misorientation_to_closest_axis_deg,p90_misorientation_to_closest_axis_deg,selected_closest_axis
6.0,96,0,1.000001586528759,1.0000014497998808,1.000002684623571,9.745274307849378,9.745267270024952,9.745259113033613,,,UNDEFINED_NEAR_SPHERE
6.1409317113377,96,96,1.2121957242790926,1.2160420914726875,1.239455059574466,10.326173097031155,9.885246638717907,8.533973188502824,3.8534317696986946,5.503230076216537,[100]
6.98652197936388,86,84,1.3857720656331134,1.4096326122410687,1.4660429742977834,11.083064893574349,9.991451492614035,7.907656198112636,3.6855600191341824,4.926237994138359,[100]
8.00001916910099,59,58,1.4463932155627388,1.455160287809968,1.5386842733192825,12.91631972724608,11.39202757807166,8.83610906201608,3.8556637997190397,4.944640926790305,[100]
