age_h,particle_count,orientation_well_conditioned_count,orientation_ill_conditioned_count,unexpected_merge_split
6.0,96,0,96,0
6.07046585566885,96,52,44,0
6.1409317113377,96,96,0,0
6.21139756700655,96,96,0,0
6.28186342267539,96,96,0,0
6.35232927834424,96,96,0,0
6.42279513401309,96,96,0,0
6.49326098968194,96,96,0,0
6.56372684535079,96,96,0,0
6.63419270101964,96,95,1,0
6.70465855668849,95,95,0,0
6.77512441235733,95,94,1,0
6.84559026802618,93,91,2,0
6.91605612369503,89,87,2,0
6.98652197936388,86,84,2,0
7.05698783503273,82,81,1,0
7.12745369070158,80,79,1,0
7.19791954637043,78,76,2,0
7.26838540203928,75,75,0,0
7.33885125770812,74,73,1,0
7.40931711337697,72,72,0,0
7.47978296904582,70,70,0,0
7.55024882471467,69,69,0,0
7.62071468038352,69,69,0,0
7.69118053605237,67,67,0,0
7.76164639172122,65,65,0,0
7.83211224739006,63,63,0,0
7.90257810305891,63,61,2,0
7.97304395872776,59,59,0,0
8.00001916910099,59,58,1,0
