family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,-3.017135,9.9995712234e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.967135,9.9994934642e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.917135,9.9994016042e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.867135,9.9992930865e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.817135,9.9991648911e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.767135,9.9990134503e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.717135,9.9988345501e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.667135,9.9986232128e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.617135,9.9983735587e-01,0.0,1.2000000001e-02,0.0,1
-1-1-1,face,-2.567135,9.9980786433e-01,0.0,1.2000000001e-02,0.0,1
-1-1-1,face,-2.517135,9.9977302643e-01,0.0,1.2000000002e-02,0.0,1
-1-1-1,face,-2.467135,9.9973187345e-01,0.0,1.2000000003e-02,0.0,1
-1-1-1,face,-2.417135,9.9968326131e-01,0.0,1.2000000006e-02,0.0,1
-1-1-1,face,-2.367135,9.9962583895e-01,0.0,1.2000000009e-02,0.0,1
-1-1-1,face,-2.317135,9.9955801094e-01,0.0,1.2000000016e-02,0.0,1
-1-1-1,face,-2.267135,9.9947789347e-01,0.0,1.2000000026e-02,0.0,1
-1-1-1,face,-2.217135,9.9938326241e-01,0.0,1.2000000042e-02,0.0,1
-1-1-1,face,-2.167135,9.9927149211e-01,0.0,1.2000000070e-02,0.0,1
-1-1-1,face,-2.117135,9.9913948332e-01,0.0,1.2000000115e-02,0.0,1
-1-1-1,face,-2.067135,9.9898357828e-01,0.0,1.2000000189e-02,0.0,1
-1-1-1,face,-2.017135,9.9879946092e-01,0.0,1.2000000311e-02,0.0,1
-1-1-1,face,-1.967135,9.9858203940e-01,0.0,1.2000000512e-02,0.0,1
-1-1-1,face,-1.917135,9.9832530814e-01,0.0,1.2000000843e-02,0.0,1
-1-1-1,face,-1.867135,9.9802218604e-01,0.0,1.2000001388e-02,0.0,1
-1-1-1,face,-1.817135,9.9766432669e-01,0.0,1.2000002286e-02,0.0,1
-1-1-1,face,-1.767135,9.9724189634e-01,0.0,1.2000003761e-02,0.0,1
-1-1-1,face,-1.717135,9.9674331455e-01,0.0,1.2000006187e-02,0.0,1
-1-1-1,face,-1.667135,9.9615495175e-01,0.0,1.2000010173e-02,0.0,1
-1-1-1,face,-1.617135,9.9546077759e-01,0.0,1.2000016721e-02,0.0,1
-1-1-1,face,-1.567135,9.9464195327e-01,0.0,1.2000027466e-02,0.0,1
-1-1-1,face,-1.517135,9.9367636062e-01,0.0,1.2000045086e-02,0.0,1
-1-1-1,face,-1.467135,9.9253806055e-01,0.0,1.2000073953e-02,0.0,1
-1-1-1,face,-1.417135,9.9119667368e-01,0.0,1.2000121188e-02,0.0,1
-1-1-1,face,-1.367135,9.8961667654e-01,0.0,1.2000198378e-02,0.0,1
-1-1-1,face,-1.317135,9.8775660853e-01,0.0,1.2000324315e-02,0.0,1
-1-1-1,face,-1.267135,9.8556818735e-01,0.0,1.2000529402e-02,0.0,1
-1-1-1,face,-1.217135,9.8299533517e-01,0.0,1.2000862646e-02,0.0,1
-1-1-1,face,-1.167135,9.7997312448e-01,0.0,1.2001402728e-02,0.0,1
-1-1-1,face,-1.117135,9.7642666238e-01,0.0,1.2002275365e-02,0.0,1
-1-1-1,face,-1.067135,9.7226994561e-01,0.0,1.2003680296e-02,0.0,1
-1-1-1,face,-1.017135,9.6740473744e-01,0.0,1.2005932754e-02,0.0,1
-1-1-1,face,-0.967135,9.6171954173e-01,0.0,1.2009526354e-02,0.0,1
-1-1-1,face,-0.917135,9.5508878083e-01,0.0,1.2015226886e-02,0.0,1
-1-1-1,face,-0.867135,9.4737232218e-01,0.0,1.2024209465e-02,0.0,1
-1-1-1,face,-0.817135,9.3841554243e-01,0.0,1.2038254190e-02,0.0,1
-1-1-1,face,-0.767135,9.2805016622e-01,0.0,1.2060016809e-02,0.0,1
