base_case_tag,case_dir,radius_nominal,r_eff_nm,voxel_count,mean_h,DeltaG_surf_kBT,DeltaG_chem_kBT,DeltaG_el_kBT,DeltaG_total_kBT,is_saddle_candidate,warnings
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.875nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r1p874736,1.874736,1.8662524635122821,27227,0.000431249885,940.4536920885306,-685.2140738504906,53.29222484588564,308.5318210417052,1,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.975nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r1p974736,1.974736,1.966757690402694,31867,0.000504006069,1043.8970824176754,-800.8165650978685,62.65310686687268,305.73362142605225,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.075nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p074736,2.074736,2.067275813758801,37007,0.000584517023,1152.7377179309037,-928.7406294605635,73.04288214326785,297.03996509846525,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.175nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p174736,2.174736,2.168150148836842,42693,0.000673175446,1266.9787855998006,-1069.6102302501888,84.51556667575632,281.88411100120027,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.275nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p274736,2.274736,2.267625022130703,48843,0.000770374037,1386.6237147931001,-1224.0493280238463,97.12539682607746,259.6997863437252,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.375nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p374736,2.374736,2.368463285517216,55653,0.000876505495,1511.6760450600568,-1392.6818805841233,110.92699458778857,229.92115905760434,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.475nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p474736,2.474736,2.468344788653392,62995,0.000991962521,1642.1392388235608,-1576.1318512426333,125.97564303758257,191.98303061239244,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.575nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p574736,2.574736,2.5685774123650997,70985,0.00111713781,1778.0170642574492,-1775.0231978019651,142.3269557937098,145.32080847051333,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.572nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r1p571623,1.571623,1.5613920775018353,15945,0.00025407022,659.9290021348329,-403.6928368880041,24.261750846248564,280.4978472241343,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.672nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r1p671623,1.671623,1.6621409926663193,19235,0.000305719858,747.0510405461721,-485.7590850605832,29.597793505122755,290.8897985658275,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.772nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r1p771623,1.771623,1.7634013116139207,22969,0.000363933945,839.5643771479437,-578.2555998512263,35.65138681061885,296.96019440085917,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.872nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r1p871623,1.871623,1.8639648544684395,27127,0.000429105179,937.4722898106635,-681.8063445715477,42.46660297135567,298.1327906015036,1,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.972nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r1p971623,1.971623,1.9636669512836835,31717,0.000501626259,1040.7782299391695,-797.035277024135,50.08889145247789,293.8316184913259,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.072nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r2p071623,2.071623,2.064068098658628,36835,0.000581889885,1149.485827981647,-924.5663632751154,58.5623244626103,283.48181119912607,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.172nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r2p171623,2.171623,2.1657776020506163,42553,0.000670288755,1263.5986868411503,-1065.0235611270762,67.93290236949719,266.50822640238965,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.272nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r2p271623,2.271623,2.2645256667764495,48643,0.000767215568,1383.1206766084995,-1219.0308283826062,78.24607463827724,242.33599722990454,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.372nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r2p371623,2.371623,2.365281371613436,55429,0.000873063025,1508.0557637824704,-1387.2121283533183,89.54811708800949,210.39163406698495,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.472nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r2p471623,2.471623,2.4655989121681534,62785,0.000988223823,1638.4078818076825,-1570.191424350827,101.88530553774103,170.10192275023562,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.572nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r2p571623,2.571623,2.5652924586148935,70713,0.00111309066,1774.1812671251896,-1768.592671423207,115.30501761174791,120.89364911628537,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.577nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r1p577227,1.577227,1.5673751039943784,16129,0.000256797768,664.7570574990796,-408.0266472231759,18.309248169286693,275.0397796376366,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.677nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r1p677227,1.677227,1.6672523890882782,19413,0.000308804891,752.2019744198076,-490.66090077498444,22.484539033577995,284.02555207299787,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.777nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r1p777227,1.777227,1.7690134588792643,23189,0.00036739847,845.0420403401962,-583.7603922423984,27.23414586648155,288.5156837776386,1,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.877nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r1p877227,1.877227,1.8687623731400043,27337,0.000432971202,943.2809573257696,-687.9490794280058,32.59360188618803,287.92539163341706,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.977nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r1p977227,1.977227,1.9694284951980976,31997,0.000505915788,1046.9226175034512,-803.8509228889077,38.60009301871677,281.67154522999596,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.077nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r2p077227,2.077227,2.06969366065831,37137,0.000586624926,1155.9711223431566,-932.0898831822044,45.28915248227035,269.1704632544443,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.177nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r2p177227,2.177227,2.170585077701401,42837,0.000675491315,1270.430551278696,-1073.2899208649976,52.6985171054976,249.83929074775176,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.277nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r2p277227,2.277227,2.27022194869785,49011,0.000772907655,1390.3052564406707,-1228.0749992489002,60.865372814393915,223.09544820218665,0,
