step,registered_age_h,age_h,radius_bin_left_nm,radius_bin_right_nm,radius_bin_center_nm,count,number_fraction,n_of_R_nm^-4,M6_bin_contribution_nm^3
14532,10,10.000038340853333,6.0,8.0,7.0,2,0.041666666666666664,6.717298979454201e-08,0.008953464523244794
14532,10,10.000038340853333,8.0,10.0,9.0,7,0.14583333333333334,2.35105464280897e-07,0.3209925831528278
14532,10,10.000038340853333,10.0,12.0,11.0,9,0.1875,3.02278454075439e-07,1.082311880246684
14532,10,10.000038340853333,12.0,14.0,13.0,19,0.3958333333333333,6.38143403048149e-07,6.80333578356532
14532,10,10.000038340853333,14.0,16.0,15.0,8,0.16666666666666666,2.6869195917816805e-07,4.996715889606709
14532,10,10.000038340853333,16.0,18.0,17.0,0,0.0,0.0,0.0
14532,10,10.000038340853333,18.0,20.0,19.0,0,0.0,0.0,0.0
14532,10,10.000038340853333,20.0,22.0,21.0,0,0.0,0.0,0.0
14532,10,10.000038340853333,22.0,24.0,23.0,0,0.0,0.0,0.0
14532,10,10.000038340853333,24.0,26.0,25.0,0,0.0,0.0,0.0
14532,10,10.000038340853333,26.0,28.0,27.0,0,0.0,0.0,0.0
14532,10,10.000038340853333,28.0,30.0,29.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,0.0,2.0,1.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,2.0,4.0,3.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,4.0,6.0,5.0,2,0.047619047619047616,6.717298979454201e-08,0.0038337887568474457
18165,11,11.000047926066667,6.0,8.0,7.0,2,0.047619047619047616,6.717298979454201e-08,0.009161998227571896
18165,11,11.000047926066667,8.0,10.0,9.0,6,0.14285714285714285,2.0151896938362603e-07,0.2153910508527321
18165,11,11.000047926066667,10.0,12.0,11.0,5,0.11904761904761904,1.67932474486355e-07,0.6249705636453108
18165,11,11.000047926066667,12.0,14.0,13.0,12,0.2857142857142857,4.0303793876725205e-07,4.063339991673247
18165,11,11.000047926066667,14.0,16.0,15.0,15,0.35714285714285715,5.037974234590651e-07,10.378444229427446
18165,11,11.000047926066667,16.0,18.0,17.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,18.0,20.0,19.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,20.0,22.0,21.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,22.0,24.0,23.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,24.0,26.0,25.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,26.0,28.0,27.0,0,0.0,0.0,0.0
18165,11,11.000047926066667,28.0,30.0,29.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,0.0,2.0,1.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,2.0,4.0,3.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,4.0,6.0,5.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,6.0,8.0,7.0,1,0.029411764705882353,3.3586494897271006e-08,0.004598677388036125
21798,12,12.000057511280001,8.0,10.0,9.0,3,0.08823529411764706,1.0075948469181301e-07,0.06653489194813941
21798,12,12.000057511280001,10.0,12.0,11.0,4,0.11764705882352941,1.3434597958908403e-07,0.5939877338403687
21798,12,12.000057511280001,12.0,14.0,13.0,9,0.2647058823529412,3.02278454075439e-07,3.166189013689574
21798,12,12.000057511280001,14.0,16.0,15.0,15,0.4411764705882353,5.037974234590651e-07,11.203359443249763
21798,12,12.000057511280001,16.0,18.0,17.0,2,0.058823529411764705,6.717298979454201e-08,2.5751455262558944
21798,12,12.000057511280001,18.0,20.0,19.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,20.0,22.0,21.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,22.0,24.0,23.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,24.0,26.0,25.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,26.0,28.0,27.0,0,0.0,0.0,0.0
21798,12,12.000057511280001,28.0,30.0,29.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,0.0,2.0,1.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,2.0,4.0,3.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,4.0,6.0,5.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,6.0,8.0,7.0,1,0.03333333333333333,3.3586494897271006e-08,0.015338001996136028
25431,13,13.000067096493334,8.0,10.0,9.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,10.0,12.0,11.0,4,0.13333333333333333,1.3434597958908403e-07,0.5470550484784659
25431,13,13.000067096493334,12.0,14.0,13.0,7,0.23333333333333334,2.35105464280897e-07,2.370788783181192
