step,registered_age_h,age_h,particle_id,equivalent_radius_nm,h_volume_nm3
0,6,6.0,19,10.880982161200286,5396.260468732211
0,6,6.0,23,8.976839376326136,3030.11403085809
0,6,6.0,72,10.751392296975565,5205.743138660255
0,6,6.0,52,10.100441992033021,4316.28134916006
0,6,6.0,43,10.37362008384428,4676.055156652013
0,6,6.0,48,9.299771365531841,3369.034233968988
0,6,6.0,21,8.793452131478805,2848.175987432939
0,6,6.0,47,9.606000699347227,3712.9273456977694
0,6,6.0,58,9.806340782808785,3950.1133102132203
0,6,6.0,2,10.783612812686293,5252.686333399227
0,6,6.0,34,10.81594894793775,5300.080859955371
0,6,6.0,78,8.48700773785459,2560.6628671921003
0,6,6.0,50,8.613513495498148,2676.884449369834
0,6,6.0,46,9.952194980676754,4129.003369922716
0,6,6.0,4,8.362113511626001,2449.270688161516
0,6,6.0,62,9.92283686235321,4092.5704422735366
0,6,6.0,68,9.634351177035144,3745.8986849970065
0,6,6.0,10,9.409954854628927,3490.2073508159415
0,6,6.0,53,8.588081054163947,2653.2429152795553
0,6,6.0,74,8.386965325696716,2471.173009214975
0,6,6.0,7,10.190579841793328,4432.873082673079
0,6,6.0,39,9.327196013560076,3398.9276507346704
0,6,6.0,54,10.435478442574595,4760.205535927993
0,6,6.0,29,9.981649295934988,4165.772321114338
0,6,6.0,76,8.871612097066548,2924.8004617139886
0,6,6.0,35,9.163860394106067,3223.47274374396
0,6,6.0,9,10.404497906328794,4717.935407545861
0,6,6.0,75,10.31218957637437,4593.474125613769
0,6,6.0,6,10.070596959593928,4278.132733667551
0,6,6.0,42,9.86440071948479,4020.6912788174086
0,6,6.0,14,10.220827778136009,4472.463661604677
0,6,6.0,17,8.562714693669431,2629.8018740225193
0,6,6.0,89,8.664583138255075,2724.7811672620783
0,6,6.0,40,9.521468009886956,3615.766253739484
0,6,6.0,45,10.281632251857458,4552.760533640114
0,6,6.0,1,9.43770990498835,3521.1820646808947
0,6,6.0,31,10.687302605088265,5113.201744553672
0,6,6.0,11,10.251177628786717,4512.4238497459455
0,6,6.0,37,9.245170347943988,3310.0409178103437
0,6,6.0,71,8.436859847952332,2515.5393394927046
0,6,6.0,79,8.639014134562292,2700.729964918407
0,6,6.0,8,8.897810256256648,2950.7881461272027
0,6,6.0,85,10.16043315272415,4393.6481799486455
0,6,6.0,27,9.083249391723138,3139.1518522328493
0,6,6.0,5,9.577737575582665,3680.2507482023325
0,6,6.0,95,10.946497475417127,5494.322568548907
0,6,6.0,38,9.217984752600813,3280.9269853128326
0,6,6.0,94,10.913679342257225,5445.053833433036
0,6,6.0,12,8.690216953115252,2749.0362445422975
0,6,6.0,84,9.893570491004263,4056.465312552031
0,6,6.0,65,10.466568802465968,4802.878576867391
0,6,6.0,60,9.69132224330192,3812.7445813125314
0,6,6.0,80,8.287934062945519,2384.6655135129995
0,6,6.0,51,9.493462792058939,3583.9551571517527
0,6,6.0,92,10.848410927433562,5347.945733891485
0,6,6.0,69,8.92408056902734,2977.0015240300963
0,6,6.0,93,9.110042367348331,3167.0126600178764
0,6,6.0,64,9.382285264904738,3459.509355730405
0,6,6.0,67,8.512178064399912,2583.513344781139
0,6,6.0,73,8.715921110402183,2773.5019873736933
0,6,6.0,56,8.26332996487185,2363.4906814137353
0,6,6.0,66,9.02989511307164,3084.1587670085078
0,6,6.0,41,9.272430115641038,3339.4067123551245
0,6,6.0,82,10.52907842357469,4889.446411913015
0,6,6.0,90,8.312600860455587,2406.0208847903477
0,6,6.0,25,10.011200730006605,4202.881228424166
0,6,6.0,44,8.741694908925336,2798.1793357049764
0,6,6.0,24,10.342854130255654,4634.573866053104
0,6,6.0,59,9.835322588881539,3985.2395904037303
0,6,6.0,87,8.411882805735493,2493.263904551568
0,6,6.0,77,9.003327998220456,3057.016801643793
0,6,6.0,55,8.819432810030088,2873.495869196181
0,6,6.0,20,8.767539594588401,2823.0711046567944
0,6,6.0,61,10.592029683608699,4977.670867075996
0,6,6.0,3,8.337328643702591,2427.556643433562
0,6,6.0,63,9.354699679808352,3429.0842706043236
0,6,6.0,28,9.056535633120243,3111.5365719381084
0,6,6.0,36,9.19088469965273,3252.0750757886653
0,6,6.0,32,8.950422421449204,3003.4417065705484
0,6,6.0,91,9.136911819058097,3195.1180589639825
0,6,6.0,70,8.461901684267557,2538.005358290013
0,6,6.0,26,10.130387667225957,4354.785866725475
0,6,6.0,22,9.719939450724352,3846.620023108022
0,6,6.0,81,10.49776885493388,4845.957794715619
0,6,6.0,15,8.537413368460275,2606.5588739218692
0,6,6.0,30,10.040850044378157,4240.333868362289
0,6,6.0,49,9.549559528923416,3647.8639303734726
0,6,6.0,0,10.719289589950233,5159.250571565232
0,6,6.0,83,10.560499553704055,4933.350784343373
0,6,6.0,13,10.62367472924663,5022.418578951962
0,6,6.0,33,9.748649201883474,3880.8060440234512
0,6,6.0,57,9.662793217305783,3779.1720732213453
0,6,6.0,86,9.77744922141632,3915.3024553887203
0,6,6.0,16,8.84548605095733,2899.03671276495
0,6,6.0,88,9.46554359512244,3552.428040436571
0,6,6.0,18,10.655430443235012,5067.591564954552
3633,7,7.000009585213333,19,11.723501993826494,6749.330485743118
3633,7,7.000009585213333,72,11.632677336582642,6593.676791827826
3633,7,7.000009585213333,52,10.847614658935967,5346.768209868979
3633,7,7.000009585213333,43,10.80650693089956,5286.212512327533
3633,7,7.000009585213333,48,8.929143325730458,2982.071083763017
3633,7,7.000009585213333,21,7.873326184160159,2044.3880886203785
3633,7,7.000009585213333,47,9.45737291924743,3543.23659043758
3633,7,7.000009585213333,23,8.08512945826155,2213.856892099042
3633,7,7.000009585213333,34,11.630029062416398,6589.174503566391
3633,7,7.000009585213333,58,10.20803530255847,4455.691350038437
3633,7,7.000009585213333,2,11.507325091851133,6382.807647055574
3633,7,7.000009585213333,46,10.149948158176905,4380.060219494897
3633,7,7.000009585213333,50,6.7435388194504675,1284.5534945596194
3633,7,7.000009585213333,78,5.9896637191445405,900.1107117603262
3633,7,7.000009585213333,4,6.278814614620098,1036.8635098771604
3633,7,7.000009585213333,62,10.421499692328617,4741.101679086993
3633,7,7.000009585213333,68,9.838787609143786,3989.4531181195657
3633,7,7.000009585213333,10,8.99482399328395,3048.3625555898816
3633,7,7.000009585213333,53,6.62955076103346,1220.508785952061
3633,7,7.000009585213333,7,10.889388369582507,5408.776933678124
3633,7,7.000009585213333,74,5.356757750340669,643.8647203713795
3633,7,7.000009585213333,39,8.823503156873281,2877.4762352540874
3633,7,7.000009585213333,54,11.086216892494518,5707.405404319482
3633,7,7.000009585213333,9,11.30177720141917,6046.844965793373
3633,7,7.000009585213333,29,10.23902400625797,4496.393310502128
3633,7,7.000009585213333,35,8.976407836258883,3029.6770554266395
3633,7,7.000009585213333,76,7.599506819788208,1838.4204254128913
3633,7,7.000009585213333,75,11.00592065923259,5584.2871539675625
3633,7,7.000009585213333,6,10.339766776931313,4630.424828615049
3633,7,7.000009585213333,42,10.088512801229454,4301.006090274235
3633,7,7.000009585213333,14,10.888264898697324,5407.103016936099
3633,7,7.000009585213333,17,6.672763873155944,1244.5314615422371
3633,7,7.000009585213333,89,7.5849531814729865,1827.8784915520018
3633,7,7.000009585213333,40,9.546119203165572,3643.9228105118577
3633,7,7.000009585213333,45,11.00750093896405,5586.692950783665
3633,7,7.000009585213333,1,9.223862244888602,3287.206857207477
3633,7,7.000009585213333,31,11.296236582630861,6037.9560520845425
3633,7,7.000009585213333,11,10.82494957789089,5313.323463632049
3633,7,7.000009585213333,37,8.889764326812678,2942.7905477616746
3633,7,7.000009585213333,71,6.7691213240717865,1299.228394907183
3633,7,7.000009585213333,79,7.136531748839496,1522.4751611348643
3633,7,7.000009585213333,85,10.935106300675029,5477.1878598547055
3633,7,7.000009585213333,8,7.5980736467334715,1837.3805114455424
3633,7,7.000009585213333,27,8.578863010106186,2644.7084821856124
3633,7,7.000009585213333,5,9.91375201937098,4081.339884825371
3633,7,7.000009585213333,95,11.858750038581263,6985.6263838269915
3633,7,7.000009585213333,94,11.866270969056146,6998.925864189194
3633,7,7.000009585213333,38,9.199587757988892,3261.3222187695796
3633,7,7.000009585213333,12,7.43349471321701,1720.5516719421553
3633,7,7.000009585213333,65,11.28320881287511,6017.08969975209
3633,7,7.000009585213333,84,10.213907601881811,4463.385350080602
3633,7,7.000009585213333,60,10.253316518265668,4515.248966089675
3633,7,7.000009585213333,51,9.737199702949983,3867.148422767385
3633,7,7.000009585213333,80,5.177731736956456,581.4431330098284
3633,7,7.000009585213333,92,11.694272719962425,6698.973541092612
3633,7,7.000009585213333,64,9.682222696854293,3802.014874878804
3633,7,7.000009585213333,69,8.161494499139607,2277.181705176164
3633,7,7.000009585213333,93,9.167319293471474,3227.124221282895
3633,7,7.000009585213333,67,7.285254712868323,1619.656174053049
3633,7,7.000009585213333,73,7.3235103606059395,1645.305351108271
3633,7,7.000009585213333,66,8.650818520389148,2711.81596598003
3633,7,7.000009585213333,56,5.9666585276549196,889.7790189606378
3633,7,7.000009585213333,41,9.253724328905326,3319.237146072082
3633,7,7.000009585213333,82,11.26042345154322,5980.71045122971
3633,7,7.000009585213333,90,6.104432043374993,952.849695342568
3633,7,7.000009585213333,25,10.693116130623908,5121.550502715761
3633,7,7.000009585213333,44,8.258762309182792,2359.573503206887
3633,7,7.000009585213333,24,11.238342103543856,5945.595426805436
3633,7,7.000009585213333,59,10.151568087460038,4382.157723890965
3633,7,7.000009585213333,87,6.63660013294286,1224.4063225578857
3633,7,7.000009585213333,77,8.602890374628467,2666.992384978936
3633,7,7.000009585213333,55,7.983508961611371,2131.4250258843795
3633,7,7.000009585213333,20,7.842159105727138,2020.2055366997806
3633,7,7.000009585213333,61,11.268301253776718,5993.271565907297
3633,7,7.000009585213333,3,5.026749470261867,532.047408035787
3633,7,7.000009585213333,63,9.415054479014596,3495.884868203166
3633,7,7.000009585213333,28,8.71111698352276,2768.918336683923
3633,7,7.000009585213333,36,8.869710657623495,2922.9202603367826
3633,7,7.000009585213333,32,8.276596373422002,2374.892404145447
3633,7,7.000009585213333,91,8.964009236170941,3017.140227519189
3633,7,7.000009585213333,70,6.031631370912042,919.1639510923255
3633,7,7.000009585213333,22,9.776801930763245,3914.5248995506877
3633,7,7.000009585213333,26,10.508623327295377,4861.0051982279365
3633,7,7.000009585213333,81,11.447152384480669,6283.201706197905
3633,7,7.000009585213333,15,6.967987814023494,1417.1334745233476
3633,7,7.000009585213333,49,9.546462487764048,3644.3159380863394
3633,7,7.000009585213333,0,11.430701122646322,6256.150931226246
3633,7,7.000009585213333,83,11.306431615912373,6054.318865173285
3633,7,7.000009585213333,30,10.359218086881206,4656.606474747316
3633,7,7.000009585213333,13,11.577309665162703,6499.973089661115
3633,7,7.000009585213333,33,9.610970843483205,3718.693533194249
3633,7,7.000009585213333,57,9.767765620682201,3903.680808383628
3633,7,7.000009585213333,86,9.819982595225738,3966.621517622581
3633,7,7.000009585213333,16,7.876616482892548,2046.9522370630598
3633,7,7.000009585213333,88,9.315271032109939,3385.9075479650887
3633,7,7.000009585213333,18,11.548728035808397,6451.951167943992
7266,8,8.000019170426667,19,12.700748396098872,8581.763607042687
7266,8,8.000019170426667,72,12.654514856773915,8488.385784312863
7266,8,8.000019170426667,52,11.966712708592414,7178.161144993495
7266,8,8.000019170426667,43,11.379275528853963,6172.092824304148
7266,8,8.000019170426667,48,7.7562670822780495,1954.5504074778648
7266,8,8.000019170426667,47,8.9430513575147,2996.0274194898084
7266,8,8.000019170426667,34,12.723139996306218,8627.232990257646
7266,8,8.000019170426667,58,10.7726295605687,5236.652883494283
7266,8,8.000019170426667,2,12.347133702311327,7884.734285264929
7266,8,8.000019170426667,46,10.343076991953236,4634.873461670183
7266,8,8.000019170426667,62,11.10060038353509,5729.648962184946
7266,8,8.000019170426667,68,10.32713689485488,4613.4775467420395
7266,8,8.000019170426667,10,7.738512792306431,1941.1590626540308
7266,8,8.000019170426667,7,11.835781305860575,6945.114420660603
