step,registered_age_h,age_h,elapsed_physical_time_s,particle_count,particle_number_density_nm^-3,beta_volume_fraction,beta_volume_fraction_from_particle_h_volumes,beta_vf_particle_closure_abs,mean_radius_nm,std_radius_nm,median_radius_nm,radius_p10_nm,radius_p90_nm,Sv_spherical_equivalent_nm^-1,M6_integral_nm^3,mean_R6_nm^6,growing_count,shrinking_survivor_count,dissolved_count,shrinking_including_dissolved_count,stable_count,newly_resolved_count,growing_to_shrinking_ratio,matrix_xB,matrix_xAg,df_beta_dt_s^-1,dxAg_dt_s^-1,chemical_excess_energy_hat_mean,interface_gradient_energy_hat_mean,interface_double_well_energy_hat_mean,interface_energy_hat_mean,elastic_energy_hat_mean,total_excess_energy_hat_mean,chemical_excess_energy_J_m^-3,interface_energy_J_m^-3,elastic_energy_J_m^-3,total_excess_energy_J_m^-3,chemical_excess_energy_total_J,interface_energy_total_J,elastic_energy_total_J,total_excess_energy_total_J
0,6,6.0,0.0,96,6.448607020276033e-06,0.02392954496679758,0.023929030520732225,5.144460653548621e-07,9.54047257978136,0.7806634863978931,9.507465400972947,8.49959290112725,10.639552586240821,0.007425294979835234,5.362605436068246,831591.290833334,0,0,0,0,0,0,,0.0062200000000001325,0.006200715773943168,-3.1867413907397934e-08,3.238205461707019e-08,-0.0028241841001563554,0.000829033143322148,0.0008720337733758306,0.0017010669166979786,0.0,-0.0011231171834583768,-1423388.786478803,857337.7260157812,0.0,-566051.060463022,-2.1189897767427607e-14,1.276313185758247e-14,0.0,-8.426765909845139e-15
3633,7,7.000009585213333,3600.0345067679996,96,6.448607020276033e-06,0.02391263219261859,0.023912180719632522,4.514729860689848e-07,9.278371602725363,1.7919534536770425,9.54629084546481,6.654682003049402,11.438926753563496,0.007236419201963478,6.2993272841695465,976850.8554425609,44,44,0,44,8,0,1.0,0.006237479723797404,0.006218087127607773,2.2471518314066704e-08,-2.2731395084808933e-08,-0.002792837753066761,0.001138410969615598,0.0012121918558276193,0.0023506028254432175,0.0,-0.00044223492762354363,-1407590.2275456476,1184703.8240233816,0.0,-222886.403522266,-2.0954705631697495e-14,1.7636610007191344e-14,0.0,-3.3180956245061482e-15
7266,8,8.000019170426667,7200.069013535999,70,4.70210928561794e-06,0.0240913414494978,0.02409095422579826,3.8722369953905766e-07,10.332462073478082,2.0185215968371684,10.603987512584787,7.703752632781641,12.656510970978895,0.006549020972474423,8.675982389237303,1845125.6366528976,44,20,26,46,6,0,0.9565217391304348,0.0060553263088357605,0.0060370481605585904,4.1312987355853496e-08,-4.1872729119785854e-08,-0.0028050054599885826,0.0010341297841785307,0.0010961102671855735,0.002130240051364104,0.0,-0.0006747654086244784,-1413722.7518342456,1073640.9858875086,0.0,-340081.7659467371,-2.1046000128300297e-14,1.5983224643884242e-14,0.0,-5.062775484416054e-15
10899,9,9.00002875564,10800.103520304003,56,3.761687428494352e-06,0.024210088552736077,0.0242097409002646,3.4765247147738876e-07,11.110849330780054,2.291849861794914,11.718276599541554,7.743870726581065,13.564457032275072,0.006083914348086627,11.016896186691632,2928711.2223200426,33,20,14,34,3,0,0.9705882352941176,0.005934155602423986,0.005916600588160217,2.3356099173936683e-08,-2.363725817986419e-08,-0.00281246397126084,0.0009628226190476428,0.0010176761990987992,0.001980498818146442,0.0,-0.0008319651531143979,-1417481.8415154633,998171.4043458067,0.0,-419310.43716965656,-2.1101961455802843e-14,1.4859713813526147e-14,0.0,-6.242247642276698e-15
14532,10,10.000038340853333,14400.138027071998,48,3.2243035101380164e-06,0.024259506975437134,0.02425918691672782,3.2005870931328673e-07,11.539545148598947,2.900675143712856,12.681929581049403,8.159730094703756,14.309234016975237,0.005736307277837635,13.213557354180004,4098112.1388334804,27,18,8,26,3,0,1.0384615384615385,0.005884118916236589,0.0058668582703728,1.4478937422287604e-08,-1.4629663630267542e-08,-0.0028152209772753355,0.0009088697984918563,0.0009593822781227469,0.0018682520766146033,0.0,-0.0009469689006607323,-1418871.3725467692,941599.0466137601,0.0,-477272.32593300904,-2.112264731533591e-14,1.4017524744600063e-14,0.0,-7.105122570735846e-15
18165,11,11.000047926066667,18000.172533840003,42,2.8212655713707643e-06,0.02431433790141922,0.024314037782937052,3.001184821667391e-07,12.114295592093955,2.8790844738806807,13.079010198615968,8.04918628838705,14.9893046712296,0.005496831155341064,15.295141622583156,5421376.05824599,22,14,6,20,6,0,1.1,0.005828200612408608,0.005811266000377473,2.2403239247566117e-08,-2.275305072470981e-08,-0.002818373289837059,0.0008717672442610286,0.0009191194063981518,0.0017908866506591804,0.0,-0.0010274866391778788,-1420460.138077878,902606.8719322269,0.0,-517853.26614565094,-2.114629916611653e-14,1.3437050735615259e-14,0.0,-7.709248430501271e-15
21798,12,12.000057511280001,21600.207040608006,34,2.283881653014428e-06,0.024420811844146368,0.024420533966149127,2.7787799724079965e-07,13.25938856026064,2.450441541126039,14.050153981993795,9.043434330218371,15.576218649025888,0.005218139378775744,17.609815286371777,7710476.2688246565,21,8,8,16,5,0,1.3125,0.005719343542327725,0.005703034734886404,2.5375618990921894e-08,-2.5819016325204833e-08,-0.002824178834270408,0.0008290407217161281,0.0008720438070909326,0.0017010845288070607,0.0,-0.0011230943054633474,-1423386.1324722858,857346.6025187586,0.0,-566039.529953527,-2.1189858257402438e-14,1.2763264001514198e-14,0.0,-8.42659425588824e-15
25431,13,13.000067096493334,25200.241547376,30,2.0151896938362604e-06,0.024497044109415046,0.024496779863247997,2.642461670483709e-07,13.994818507568962,2.0072821034174186,14.41131321140083,11.392159757954598,16.00356145893886,0.005061789773713943,19.25694100753942,9555894.944500497,16,9,4,13,5,0,1.2307692307692308,0.005641234308482421,0.005625367300974384,1.1929807195559648e-08,-1.2143361398900231e-08,-0.002827936475114369,0.0008050307517751767,0.0008455653627032131,0.00165059611447839,0.0,-0.001177340360635979,-1425279.983457642,831900.4416971086,0.0,-593379.5417605335,-2.1218051895814974e-14,1.2384448633916586e-14,0.0,-8.833603261898389e-15
29064,14,14.000076681706666,28800.276054143997,29,1.9480167040417183e-06,0.024506707279272576,0.02450644761013022,2.596691423550901e-07,14.115948970466297,2.1567245124836782,14.523692912918644,10.489476829686865,16.398360690534556,0.004991650948417763,20.394376457688537,10469302.658121241,12,9,1,10,8,0,1.2,0.0056314135825871435,0.005615601694758014,-1.7274238822199387e-09,1.7957861758658406e-09,-0.0028283859632083318,0.0007940097414317959,0.0008338105311807064,0.0016278202726125023,0.0,-0.0012005656905958294,-1425506.5254569992,820421.4173967012,0.0,-605085.108060298,-2.1221424412060717e-14,1.2213561133813977e-14,0.0,-9.00786327824674e-15
32697,15,15.00008626692,32400.310560912003,29,1.9480167040417183e-06,0.024484606538247432,0.024484351751341712,2.547869057192842e-07,13.770432245071966,3.233154284040345,14.550344203992612,8.59043965005261,16.816722968653682,0.004897811597910326,21.937750097406784,11261582.127037538,12,9,0,9,8,0,1.3333333333333333,0.005654237219992922,0.005638297085374172,7.133452523658334e-09,-7.2335510879711044e-09,-0.002827220427733724,0.0007788730361989808,0.0008182788964095153,0.001597151932608496,0.0,-0.0012300684951252279,-1424919.095577797,804964.574034682,0.0,-619954.5215431149,-2.1212679381044546e-14,1.1983456095921573e-14,0.0,-9.229223285122973e-15
36330,16,16.000095852133335,36000.345067680006,25,1.6793247448635502e-06,0.024558068629747697,0.02455782538783484,2.4324191285826635e-07,14.823922675247012,2.334781281304793,15.013772281521002,11.130657143197087,17.26059971210523,0.004752397074483196,23.873477950914506,14216117.534107015,12,5,4,9,8,0,1.3333333333333333,0.0055790391746877565,0.005563519627711682,7.903269782131864e-09,-8.022670914726377e-09,-0.002830736724365915,0.0007565504849004998,0.0007937058985791213,0.0015502563834796212,0.0,-0.0012804803408862937,-1426691.309080421,781329.217273729,0.0,-645362.091806692,-2.1239062210036445e-14,1.1631598052484099e-14,0.0,-9.607464157552348e-15
39963,17,17.00010543734667,39600.37957444801,25,1.6793247448635502e-06,0.024541510626111374,0.024541272818005253,2.378081061203685e-07,14.453348917365318,3.5101912699733644,15.136984481695867,9.669362037665367,17.690719958638535,0.004668425015824306,25.42993299259398,15142951.397801401,11,7,0,7,7,0,1.5714285714285714,0.005596148046380653,0.005580533301115254,2.2197084398621736e-09,-2.21015165263384e-09,-0.00282989437598792,0.0007430134465881795,0.0007798165330444628,0.001522829979632642,0.0,-0.001307064396355278,-1426266.7654979117,767506.3097348516,0.0,-658760.4557630601,-2.123274205689442e-14,1.1425817312618913e-14,0.0,-9.806924744275507e-15
43596,18,18.000115022560003,43200.41408121601,22,1.4778057754799242e-06,0.024574050683704635,0.024573821928315327,2.2875538930808292e-07,15.404063203100327,2.6972784562478873,16.188666396239725,12.996684060564743,18.327127371270088,0.004541648210962225,27.42905388169294,18560662.258059744,11,5,3,8,6,0,1.375,0.005563037153493919,0.005547606383282338,8.38059418203872e-09,-8.508880237882985e-09,-0.002831412487585552,0.0007232925571291908,0.0007585732128938388,0.0014818657700230297,0.0,-0.0013495467175625223,-1427031.8937431183,746860.348091607,0.0,-680171.5456515113,-2.1244132472112603e-14,1.1118462202977475e-14,0.0,-1.0125670269135126e-14
47229,19,19.000124607773333,46800.448587984,21,1.4106327856853821e-06,0.024601851482596488,0.024601628431473274,2.2305112321388543e-07,15.578341403705187,3.022391225342717,16.39892304967404,12.497080470013511,18.701166018591437,0.004463888259670708,28.967476753304414,20535093.928949077,10,8,1,9,3,0,1.1111111111111112,0.005534542088845277,0.005519268776174584,7.0556233857201324e-09,-7.1890104638634676e-09,-0.0028325984748348294,0.0007111636271855106,0.0007454081126618262,0.0014565717398473366,0.0,-0.0013760267349874928,-1427629.631316754,734112.1568830577,0.0,-693517.4744336964,-2.1253030953116114e-14,1.0928680696340039e-14,0.0,-1.0324350256776074e-14
