case,dt_code,accepted_macros,BDF2_macros,event_BE_macros,history_rebuild_BE_macros,fallback_fraction,fallback_work_overhead_estimate,fallback_overhead_basis,preflight_fallbacks,internal_reject_retries,qalpha_lower_context_applications,phi_lower_context_applications,max_transport_residual,max_phase_KKT,max_mass_error,energy_rows,energy_all_pass,clipping,physical_projection,wall_seconds,accepted_physical_time_s,physical_s_per_GPU_hour
dt8,0.000390625,502,500,1,1,0.00199203187250996,0.02644930940524288,nonlinear_iteration_workload,0,1,1752,416,1.000086949000452e-12,9.972744852149162e-11,9.094947017729282e-13,500,True,0,0,74.7501175,8.06525463703125,388.4263686048721
dt16,0.0001953125,502,502,0,0,0.0,0.0,nonlinear_iteration_workload,0,0,754,16,1.000092131490395e-12,9.815526169631994e-11,9.947598300641403e-13,502,True,0,0,29.486968042,4.032627318515625,492.3347265130207
