step,age_h,temperature_K,matrix_xAg_6h_fixed,matrix_xAg_pf,kappa_L_no_dis_fixed_6h_matrix_W_mK,kappa_L_no_dis_pf_time_varying_matrix_W_mK,delta_kappa_PSD_W_mK,delta_kappa_PSD_plus_matrix_W_mK
0,6,300,0.006203008315588036,0.006203008315588036,2.2864720169483053,2.2864720169483053,0,0
0,6,350,0.006203008315588036,0.006203008315588036,2.0068480593672016,2.0068480593672016,0,0
0,6,400,0.006203008315588036,0.006203008315588036,1.7880943499369617,1.7880943499369617,0,0
0,6,450,0.006203008315588036,0.006203008315588036,1.6123294798174637,1.6123294798174637,0,0
0,6,500,0.006203008315588036,0.006203008315588036,1.4680321553445097,1.4680321553445097,0,0
0,6,550,0.006203008315588036,0.006203008315588036,1.3474530160787601,1.3474530160787601,0,0
0,6,600,0.006203008315588036,0.006203008315588036,1.2451910446363788,1.2451910446363788,0,0
3633,7.0000095845504964,300,0.006203008315588036,0.007691146078945524,2.2912446267004105,2.2377802890774237,0.0047726097521052502,-0.048691727870881607
3633,7.0000095845504964,350,0.006203008315588036,0.007691146078945524,2.010495405992704,1.9686888542830585,0.0036473466255024789,-0.038159205084143055
3633,7.0000095845504964,400,0.006203008315588036,0.007691146078945524,1.7909720268465499,1.7573857518123228,0.0028776769095881782,-0.030708598124638886
3633,7.0000095845504964,450,0.006203008315588036,0.007691146078945524,1.6146576763665945,1.5870839349750185,0.0023281965491308565,-0.025245544842445122
3633,7.0000095845504964,500,0.006203008315588036,0.007691146078945524,1.4699544446084163,1.446910952863957,0.0019222892639065847,-0.021121202480552714
3633,7.0000095845504964,550,0.006203008315588036,0.007691146078945524,1.349066988382311,1.329521698160862,0.0016139723035508702,-0.017931317917898149
3633,7.0000095845504964,600,0.006203008315588036,0.007691146078945524,1.2465653415018958,1.2297775960017765,0.001374296865517044,-0.015413448634602256
7266,8.0000191691009928,300,0.006203008315588036,0.0073805153529494872,2.2883248289270459,2.2455727712677245,0.0018528119787406538,-0.040899245680580787
7266,8.0000191691009928,350,0.006203008315588036,0.0073805153529494872,2.0082826320320835,1.9748911978108745,0.0014345726648818946,-0.031956861556327043
7266,8.0000191691009928,400,0.006203008315588036,0.0073805153529494872,1.7892373836747633,1.7624363815912794,0.0011430337378015576,-0.025657968345682347
7266,8.0000191691009928,450,0.006203008315588036,0.0073805153529494872,1.6132614014194262,1.5912748979135933,0.00093192160196253759,-0.021054581903870329
7266,8.0000191691009928,500,0.006203008315588036,0.0073805153529494872,1.4688063851804587,1.4504437700257764,0.00077422983594899186,-0.017588385318733302
7266,8.0000191691009928,550,0.006203008315588036,0.0073805153529494872,1.3481063916399989,1.3325397104362389,0.00065337556123878926,-0.014913305642521246
7266,8.0000191691009928,600,0.006203008315588036,0.0073805153529494872,1.2457497774321797,1.2323854574353112,0.00055873279580098689,-0.012805587201067503
10899,9.00002875365149,300,0.006203008315588036,0.0072702283939443989,2.2867980503535281,2.2478571311340483,0.00032603340522285862,-0.038614885814256983
10899,9.00002875365149,350,0.006203008315588036,0.0072702283939443989,2.0071104238517865,1.976713309133034,0.00026236448458494266,-0.030134750234167562
10899,9.00002875365149,400,0.006203008315588036,0.0072702283939443989,1.7883091567189033,1.7639226289328627,0.00021480678194163438,-0.024171721004099034
