step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,lineage_member_ids,lineage_group_size,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
0,0,6,0,0,1,0,8631,3053.5589421658528,8.9999320962046774,242.0000003192244,244.9999999186486,68.000001927105657
0,0,6,1,1,1,1,12177,4848.9924234131959,10.499959696903618,4.9999983630092064,236.99999475243666,135.9999555753308
0,0,6,2,2,1,2,11545,4510.7922500075583,10.249941941448572,7.0000060063990919,38.000000852953896,222.00000737180875
0,0,6,3,3,1,3,8632,3053.5675477872251,8.9999405508130792,244.99999922358776,54.000020114325565,118.99997942722375
0,0,6,4,4,1,4,7649,2572.3811511855065,8.4999343182531995,243.99999955909368,114.00000183765287,41.000002000007896
0,0,6,5,5,1,5,8104,2806.0969033420297,8.7499321439858537,4.0000001668853944,117.99999770499436,162.00000450176191
0,0,6,6,6,1,6,7144,2352.0110236654637,8.2499297009472556,245.00000140029104,143.00000038573589,243.00000170376649
0,0,6,7,7,1,7,10268,3882.3420505048307,9.7499351901615405,244.00000140015862,178.99999935547302,26.00000231399747
0,0,6,8,8,1,8,9175,3315.1653247427716,9.2499388275457459,237.00000211829402,200.99999939478826,142.99999799377059
0,0,6,9,9,1,9,10911,4188.7187486442326,9.999943136685463,245.99999400400341,213.00001456999817,195.99999531772016
0,0,6,10,10,1,10,8104,2806.098145028488,8.7499334345887814,11.999998916291002,173.99999934601414,237.00000303206923
0,0,6,11,11,1,11,7649,2572.3796833809647,8.4999327015611374,11.999999928482426,40.999999583763042,67.0000021068401
0,0,6,12,12,1,12,13523,5575.1922626987989,10.999942454090975,15.999995700611437,77.999999666590043,239.9999960989301
0,0,6,13,13,1,13,7143,2352.0100821307205,8.2499286001025744,15.00000291635749,168.99999936594685,138.00000683623185
0,0,6,14,14,1,14,12845,5203.6339500206414,10.749940068978697,17.000000686660456,234.00000088860889,35.999999888596371
0,0,6,15,15,1,15,12845,5203.6536152202343,10.749953610762049,24.000015442747209,165.00000217449954,191.99998912928837
0,0,6,16,16,1,16,12845,5203.6336065004889,10.749939832424706,26.00000005402438,197.00000073150863,112.00000194338531
0,0,6,17,17,1,17,9745,3591.2934200641685,9.499937764485793,26.000000233679238,231.0000018444309,225.00000336416167
0,0,6,18,18,1,18,9175,3315.1603270559699,9.249934179379327,29.000000672653208,69.999999989240962,104.00000196516071
0,0,6,19,19,1,19,12177,4848.9664557232236,10.499940953478109,31.999998433382697,140.00000070813968,48.999995005653588
0,0,6,20,20,1,20,9745,3591.2927889215607,9.499937207971735,33.000000221131224,74.000002521529481,169.0000026789597
0,0,6,21,21,1,21,10911,4188.7117784522916,9.9999375899167955,34.999999887083007,45.999999829500453,2.9999996518517849
