target_radius_nm,phi_l1_normalized,xB_mean_absolute,canonical_l1_relative,axis_relative_max,centroid_periodic_max_nm,far_xB_absolute,reference_axis_ratio,candidate_axis_ratio,status,failed_checks
8.0,0.0005296786922179801,6.489765121319496e-07,0.00019730269933994642,0.00035933478565063385,2.9417301306011723e-07,9.354319712058523e-09,1.348820736135157,1.348234320411724,FAIL,canonical_l1
8.5,0.00036324091298812285,2.3653340194290426e-07,0.00011298819040796248,0.00021944134312943393,3.45537991108813e-07,2.846787331214906e-08,1.3704760577820394,1.3701492055559346,FAIL,canonical_l1
9.0,0.00020219698117449216,4.6591879373134423e-07,9.311972860546391e-05,0.0001179900043611071,3.644100843303022e-08,3.635135120607508e-08,1.3909506864147223,1.3912007257338586,PASS,
9.5,0.0008112984433418933,2.28516133686237e-07,0.00030807612893410743,0.0006172560624441867,2.0713657278292885e-07,3.586565357899252e-08,1.4106370730678135,1.4117671010448203,FAIL,canonical_l1
10.0,0.00013473750282802334,4.152046043253065e-07,6.592630218040577e-05,5.9625514509135884e-05,7.26086923918956e-08,5.7428333071624094e-08,1.4324774574826271,1.4325707561672563,PASS,
10.5,0.00014266212390869632,5.004704671997473e-07,7.890444957690091e-05,7.305313756056486e-05,1.2484917277788554e-07,7.069656794179979e-08,1.4525264409437684,1.4526638308862172,PASS,
11.0,0.00015816685727997263,5.794033144161622e-07,9.280018177709837e-05,8.440283467242302e-05,1.8412863767025556e-07,8.438756810003056e-08,1.473723491719212,1.4738698095008107,PASS,
11.5,0.00017253539094885055,6.823426629420873e-07,0.0001114144586051583,0.00011012062669958084,1.6670125546625059e-07,1.0176888329358619e-07,1.4943480059356369,1.4945948046462407,FAIL,canonical_l1
