particle_id,component_cell_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm,beta_volume_fraction
1,1551,1511.8929764184459,7.119958791622604,16.5,16.5,96.5,0.000720926750382636
2,2103,2043.045567231461,7.8716023719584225,16.5,48.5,32.5,0.0009742000423581415
3,1551,1511.8929764184459,7.119958791622604,16.5,48.5,96.5,0.000720926750382636
4,1551,1511.8929764184459,7.119958791622604,16.5,80.49999999999999,96.5,0.000720926750382636
5,2103,2043.045567231461,7.8716023719584225,16.5,112.5,32.5,0.0009742000423581415
6,1551,1511.8929764184459,7.119958791622604,16.5,112.5,96.5,0.000720926750382636
7,1141,1103.1344126519857,6.409831422853405,16.5,16.5,32.5,0.0005260154784450463
8,1141,1103.1344126519857,6.409831422853405,16.5,80.5,32.5,0.0005260154784450463
9,1551,1511.8929764184459,7.119958791622604,48.5,16.5,96.5,0.000720926750382636
10,2103,2043.045567231461,7.8716023719584225,48.5,48.5,32.5,0.0009742000423581415
11,1551,1511.8929764184459,7.119958791622604,48.5,48.5,96.5,0.000720926750382636
12,1551,1511.8929764184459,7.119958791622604,48.5,80.49999999999999,96.5,0.000720926750382636
13,2103,2043.045567231461,7.8716023719584225,48.5,112.5,32.5,0.0009742000423581415
14,1551,1511.8929764184459,7.119958791622604,48.5,112.5,96.5,0.000720926750382636
15,1141,1103.1344126519857,6.409831422853405,48.5,16.5,32.5,0.0005260154784450463
16,1141,1103.1344126519857,6.409831422853405,48.5,80.5,32.5,0.0005260154784450463
17,1551,1511.8929764184459,7.119958791622604,80.49999999999999,16.5,96.5,0.000720926750382636
18,2103,2043.045567231461,7.8716023719584225,80.49999999999999,48.5,32.5,0.0009742000423581415
19,1551,1511.8929764184459,7.119958791622604,80.49999999999999,48.5,96.5,0.000720926750382636
20,1551,1511.8929764184459,7.119958791622604,80.49999999999999,80.49999999999999,96.5,0.000720926750382636
21,2103,2043.045567231461,7.8716023719584225,80.49999999999999,112.5,32.5,0.0009742000423581415
22,1551,1511.8929764184459,7.119958791622604,80.49999999999999,112.5,96.5,0.000720926750382636
23,1141,1103.1344126519857,6.409831422853405,80.5,16.5,32.5,0.0005260154784450463
24,1141,1103.1344126519857,6.409831422853405,80.5,80.5,32.5,0.0005260154784450463
25,1551,1511.8929764184459,7.119958791622604,112.5,16.5,96.5,0.000720926750382636
26,2103,2043.045567231461,7.8716023719584225,112.5,48.5,32.5,0.0009742000423581415
27,1551,1511.8929764184459,7.119958791622604,112.5,48.5,96.5,0.000720926750382636
28,1551,1511.8929764184459,7.119958791622604,112.5,80.49999999999999,96.5,0.000720926750382636
29,2103,2043.045567231461,7.8716023719584225,112.5,112.5,32.5,0.0009742000423581415
30,1551,1511.8929764184459,7.119958791622604,112.5,112.5,96.5,0.000720926750382636
31,1141,1103.1344126519857,6.409831422853405,112.5,16.5,32.5,0.0005260154784450463
32,1141,1103.1344126519857,6.409831422853405,112.5,80.5,32.5,0.0005260154784450463
