trace_kind,solver,record_kind,step_or_event_id,time_start_s,time_end_s,dt_s,velocity_frozen_at_time_s,flux_donor_density_evaluated_at_time_s,matrix_xB,critical_radius_m,Rmin_m,Rmin_hex,first_cell_center_m,first_interior_face_m,G_Rmin_m_s,G_first_center_m_s,G_first_interior_face_m_s,FV_lower_face_velocity_m_s,FV_first_interior_face_velocity_m_s,beta_n_first_cell_per_m4,cohort_equivalent_first_cell_density_per_m4,J_N_lower_out_m3_s,J_beta_volume_lower_out_s,J_mol_B_lower_out_mol_m3_s,cumulative_number_crossed_Rmin_m3,cumulative_beta_volume_crossed_Rmin,cumulative_mol_B_equivalent_returned_mol_m3,Q_matrix_mol_m3,Q_beta_resolved_mol_m3,Q_total_mol_m3,inventory_relative_residual,boundary_direction,active_cohort_count,cohort_radius_before_event_m,cohort_initial_radius_m
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,0,0.0,0.0,0.0,0.0,0.0,0.006220578557312318,8.714603508943103e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767189.594675226,-3.7688642395988286e-06,-1.879363213478065e-06,-3.7688642395988286e-06,-2.5092014586476745e-06,2.7939336866916626e-67,2.7939336866916632e-67,0.0,0.0,0.0,0.0,0.0,0.0,148.05849641561088,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,1,0.0,1.9302871112416038,1.9302871112416038,0.0,1.9302871112416038,0.006219086633723261,8.721788889087057e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767207.26031345,-3.7688699232874354e-06,-1.8793660605085582e-06,-3.7688699232874354e-06,-2.5092052512305947e-06,26.718488911010052,2.7939336866916632e-67,0.00010069835739282363,4.446805759614037e-32,1.0843487428647461e-27,0.00019437674139856812,8.583611843977906e-32,2.0931044024428554e-27,148.02276432019823,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,2,1.930287111241604,3.8580485922319436,1.9277614809903396,1.930287111241604,3.8580485922319436,0.006217614924924822,8.72889022298004e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767224.686591443,-3.7688755299650116e-06,-1.8793688689632652e-06,-3.7688755299650116e-06,-2.5092089924259848e-06,422.52233110009826,2.7939336866916632e-67,0.0015924317056004557,7.032125114645378e-31,1.7147760527312e-26,0.003264205244562875,1.4414621109915926e-30,3.514989663224152e-26,147.98751648125608,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,3,3.8580485922319436,5.767410637185884,1.9093620449539406,3.8580485922319436,5.767410637185884,0.006216175111993444,8.735850482318396e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767241.735195365,-3.7688810151308834e-06,-1.8793716165512447e-06,-3.7688810151308834e-06,-2.5092126525396606e-06,3384.5570568294943,2.7939336866916632e-67,0.01275597427125508,5.632995545064174e-30,1.3735998305406555e-25,0.027619978364506328,1.219689000413176e-29,2.9741983477119074e-25,147.95303265831433,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,4,5.767410637185884,7.674379685919986,1.9069690487341011,5.767410637185884,7.674379685919986,0.0062147545472049275,8.742730164261371e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767258.555884985,-3.768886426968302e-06,-1.8793743274080879e-06,-3.768886426968302e-06,-2.509216263723098e-06,19400.00270915952,2.7939336866916632e-67,0.07311630190403902,3.228791420700279e-29,7.873372724768414e-25,0.16705050305340696,7.376894304506814e-29,1.7988476442992546e-24,147.9190099303746,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,5,7.674379685919986,9.578993600470724,1.9046139145507384,7.674379685919986,9.578993600470724,0.006213352930412563,8.749530255826289e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767275.152214289,-3.768891766620716e-06,-1.8793770021065622e-06,-3.768891766620716e-06,-2.5092198267392914e-06,88257.28399832844,2.7939336866916632e-67,0.3326316797423867,1.4688903648531114e-28,3.5818731616306455e-24,0.8005854287111417,3.535358458299428e-28,8.620933108096827e-24,147.88544110495707,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,6,9.578993600470724,11.481289488890667,1.9022958884199432,9.578993600470724,11.481289488890667,0.006211969967467154,8.756251729363709e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767291.527666254,-3.7688970352087284e-06,-1.8793796412079914e-06,-3.7688970352087284e-06,-2.5092233423359915e-06,337849.0789096677,2.7939336866916632e-67,1.273316611863039,5.622923541201988e-28,1.371143783365112e-23,3.2228103841150135,1.4231822791627677e-27,3.4704144923377005e-23,147.85231913335565,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,7,11.481289488890667,13.36566670794599,1.8843772190553236,11.481289488890667,13.36566670794599,0.006210616601709614,8.762840812234955e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767307.552662462,-3.768902191042174e-06,-1.879382223829252e-06,-3.768902191042174e-06,-2.5092267826943955e-06,1111101.184577242,2.7939336866916632e-67,4.187625960370074,1.84924160848427e-27,4.50935552801646e-23,11.113877345761052,4.90785103871975e-27,1.1967741321953108e-22,147.8199061038448,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,8,13.36566670794599,15.247845540918814,1.882178832972823,13.36566670794599,15.247845540918814,0.006209281014748887,8.769354476344133e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767323.367142666,-3.768907279144841e-06,-1.8793847725233213e-06,-3.768907279144841e-06,-2.509230177857749e-06,3287753.51511432,2.7939336866916632e-67,12.39122142672097,5.471921909713547e-27,1.3343221999350257e-22,34.436372029814564,1.5206986632862815e-26,3.7082071332787476e-22,147.7879189620112,0.0,731.5467336438344,0.0,OUTFLOW,,,
canonical_native_policy,Eulerian_KWNSolver_frozen_78b6745,accepted_state,9,15.247845540918812,17.127859890432404,1.8800143495135921,15.247845540918812,17.127859890432404,0.006207962936648846,8.775793627426666e-09,4.724027182871601e-10,0x1.03b4c5a5fbe5ep-31,4.727981588260222e-10,4.731939303816496e-10,-11767338.974303138,-3.7689123005450896e-06,-1.8793872878053173e-06,-3.7689123005450896e-06,-2.509233528512251e-06,8904402.279376397,2.7939336866916632e-67,33.55986656717562,1.4819924754148017e-26,3.613822515581462e-22,97.52940274386617,4.3068657829372783e-26,1.0502245319167203e-21,147.7563512395102,0.0,731.5467336438344,0.0,OUTFLOW,,,
