case_name,M_ratio,step,time_code,eta_max,eta_mean,eta_far_field,eta_max_minus_far,R_avg_nm,xB_min,xB_max,Y_min,Y_max,xBtot_initial,xBtot_final,xBtot_drift,xBtot_rel_drift,clipping_count_step,nan_inf_flag,eta_bulk_rhs_absmax,phi_chem_rhs_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax
gp_eta_S218b_Mratio_1em4,0.0001,21,0.0021,nan,nan,0.00030987530279,nan,nan,0.028227813924,0.033376944671,nan,nan,nan,nan,nan,-7.0240141255e-06,0,0,0.00075664309063,1.1502991782,0.17027149924,0.04251654321
gp_eta_S218b_Mratio_1em4,0.0001,22,0.0022,nan,nan,0.00030918626542,nan,nan,0.028278186664,0.033855841178,nan,nan,nan,nan,nan,2.0072470614e-06,0,0,0.00076483077769,1.1617678921,0.17044421311,0.042559669612
gp_eta_S218b_Mratio_1em4,0.0001,23,0.0023,nan,nan,0.00030849995168,nan,nan,0.028293699562,0.034391430211,nan,nan,nan,nan,nan,1.1445426058e-05,0,0,0.00077260526554,1.1727026264,0.17058079216,0.042593773198
gp_eta_S218b_Mratio_1em4,0.0001,24,0.0024,nan,nan,0.00030781652643,nan,nan,0.028294351776,0.034984516397,nan,nan,nan,nan,nan,2.1172005235e-05,0,0,0.00077988640491,1.1830244482,0.17067500957,0.042617299148
gp_eta_S218b_Mratio_1em4,0.0001,25,0.0025,nan,nan,0.00030713615764,nan,nan,0.02826577959,0.0356348658,nan,nan,nan,nan,nan,3.1067105171e-05,0,0,0.00078661272762,1.1926092931,0.17073234973,0.042631616901
gp_eta_S218b_Mratio_1em4,0.0001,26,0.0026,nan,nan,0.00030645889113,nan,nan,0.028202575804,0.036341157399,nan,nan,nan,nan,nan,4.1011662382e-05,0,0,0.00079274098555,1.2014620756,0.17074453013,0.042634658328
gp_eta_S218b_Mratio_1em4,0.0001,27,0.0027,nan,nan,0.00030578473072,nan,nan,0.028143812758,0.037100949307,nan,nan,nan,nan,nan,5.0889886646e-05,0,0,0.00079824496326,1.2094268115,0.1707304451,0.042631141318
gp_eta_S218b_Mratio_1em4,0.0001,28,0.0028,nan,nan,0.00030511366499,nan,nan,0.028095443073,0.037910666589,nan,nan,nan,nan,nan,6.0591775079e-05,0,0,0.00080311376358,1.2166136971,0.17068840066,0.042620642882
gp_eta_S218b_Mratio_1em4,0.0001,29,0.0029,nan,nan,0.00030444567144,nan,nan,0.028058369392,0.03876561767,nan,nan,nan,nan,nan,7.0015509001e-05,0,0,0.00080734976901,1.2231460832,0.17059774062,0.042598005205
gp_eta_S218b_Mratio_1em4,0.0001,30,0.003,nan,nan,0.0003037807278,nan,nan,0.028033307065,0.039660045165,nan,nan,nan,nan,nan,7.9069528086e-05,0,0,0.00081096646357,1.2287711231,0.17049039768,0.04257120183
gp_eta_S218b_Mratio_1em4,0.0001,31,0.0031,nan,nan,0.00030311880827,nan,nan,0.028020756186,0.040587214794,nan,nan,nan,nan,nan,8.7674144632e-05,0,0,0.00081398626676,1.2339354714,0.17031152757,0.042526538225
gp_eta_S218b_Mratio_1em4,0.0001,32,0.0032,nan,nan,0.00030245988453,nan,nan,0.02802097857,0.041539543202,nan,nan,nan,nan,nan,9.5762598971e-05,0,0,0.00081643849191,1.240182424,0.16985846274,0.042413408604
gp_eta_S218b_Mratio_1em4,0.0001,33,0.0033,nan,nan,0.00030180392681,nan,nan,0.028033981654,0.042508762283,nan,nan,nan,nan,nan,0.00010328151193,0,0,0.00081835750167,1.2476338321,0.16912918192,0.042231308255
