case_name,M_ratio,step,time_code,eta_max,eta_mean,eta_far_field,eta_max_minus_far,R_avg_nm,xB_min,xB_max,Y_min,Y_max,xBtot_initial,xBtot_final,xBtot_drift,xBtot_rel_drift,clipping_count_step,nan_inf_flag,eta_bulk_rhs_absmax,phi_chem_rhs_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax
gp_eta_S218b_Mratio_1,1.0,25,0.0025,nan,nan,5.6779973072e-68,nan,nan,0.02827777356,0.035437271848,nan,nan,nan,nan,nan,0.00031083962625,0,0,5.371780991e-131,1.2596552952,2.9978069137e-127,3.7431141851e-124
gp_eta_S218b_Mratio_1,1.0,26,0.0026,nan,nan,0.0,nan,nan,0.028211306235,0.035152334272,nan,nan,nan,nan,nan,0.00031370115687,0,0,7.7031677273e-138,1.2560598432,1.5743675823e-134,1.9657829205e-131
gp_eta_S218b_Mratio_1,1.0,27,0.0027,nan,nan,5.1538703875e-75,nan,nan,0.028154646224,0.034853421642,nan,nan,nan,nan,nan,0.00031544332352,0,0,4.3328539711e-145,1.2522742888,2.6898147958e-141,3.3585498357e-138
gp_eta_S218b_Mratio_1,1.0,28,0.0028,nan,nan,0.0,nan,nan,0.028109616798,0.034548693343,nan,nan,nan,nan,nan,0.00031608815582,0,0,6.3875156846e-152,1.2484145352,1.3053014797e-148,1.6298222751e-145
gp_eta_S218b_Mratio_1,1.0,29,0.0029,nan,nan,4.7637850594e-82,nan,nan,0.028077713993,0.03425055852,nan,nan,nan,nan,nan,0.00031565541467,0,0,3.5821342518e-159,1.2445852318,2.478604347e-155,3.0948287723e-152
gp_eta_S218b_Mratio_1,1.0,30,0.003,nan,nan,1.374310108e-90,nan,nan,0.028060407945,0.034099696233,nan,nan,nan,nan,nan,0.00031417021749,0,0,5.424826589e-166,1.2408715468,1.1239078952e-162,1.4033310705e-159
gp_eta_S218b_Mratio_1,1.0,31,0.0031,nan,nan,4.4296019623e-89,nan,nan,0.028059124145,0.034449357773,nan,nan,nan,nan,nan,0.00031166956346,0,0,3.0243521903e-173,1.2373262056,2.2742619978e-169,2.8396833383e-166
gp_eta_S218b_Mratio_1,1.0,32,0.0032,nan,nan,0.0,nan,nan,0.028075216887,0.034804614242,nan,nan,nan,nan,nan,0.0003082070259,0,0,4.6647216672e-180,1.2339801436,9.7979850688e-177,1.2233935658e-173
gp_eta_S218b_Mratio_1,1.0,33,0.0033,nan,nan,4.1225112054e-96,nan,nan,0.028109932075,0.035058460521,nan,nan,nan,nan,nan,0.00030385523591,0,0,2.5805015345e-187,1.2308244861,2.05564334e-183,2.5667122557e-180
gp_eta_S218b_Mratio_1,1.0,34,0.0034,nan,nan,0.0,nan,nan,0.028164356876,0.035199580074,nan,nan,nan,nan,nan,0.00029870606283,0,0,4.029826318e-194,1.2278616045,8.5587040356e-191,1.0686547668e-187
gp_eta_S218b_Mratio_1,1.0,35,0.0035,nan,nan,3.8311143666e-103,nan,nan,0.028236083915,0.035225747882,nan,nan,nan,nan,nan,0.00029286863243,0,0,2.2107760819e-201,1.2250249068,1.8324487425e-197,2.2880275744e-194
gp_eta_S218b_Mratio_1,1.0,36,0.0036,nan,nan,0.0,nan,nan,0.02830493393,0.03514258249,nan,nan,nan,nan,nan,0.00028646549721,0,0,3.4885360102e-208,1.2222773985,7.4554571464e-205,9.3090142908e-202
gp_eta_S218b_Mratio_1,1.0,37,0.0037,nan,nan,3.5559883847e-110,nan,nan,0.028366193279,0.034961702162,nan,nan,nan,nan,nan,0.00027962736483,0,0,1.8976721521e-215,1.2195446333,1.6125831129e-211,2.0134995009e-208
gp_eta_S218b_Mratio_1,1.0,38,0.0038,nan,nan,0.0,nan,nan,0.028417192849,0.034698641414,nan,nan,nan,nan,nan,0.00027248684425,0,0,3.0219179673e-222,1.2168125321,6.4794080238e-219,8.0903022719e-216
gp_eta_S218b_Mratio_1,1.0,39,0.0039,nan,nan,3.2994086202e-117,nan,nan,0.028454813285,0.034370854853,nan,nan,nan,nan,nan,0.00026517168513,0,0,1.6304911012e-229,1.2140239936,1.4047916684e-225,1.7540474661e-222
gp_eta_S218b_Mratio_1,1.0,40,0.004,nan,nan,0.0,nan,nan,0.028473817087,0.033996038422,nan,nan,nan,nan,nan,0.00025779799219,0,0,2.6178373187e-236,1.2111613559,5.6269213507e-233,7.0258724902e-230
gp_eta_S218b_Mratio_1,1.0,41,0.0041,nan,nan,3.0615048766e-124,nan,nan,0.028466637163,0.033590880651,nan,nan,nan,nan,nan,0.00025046391588,0,0,1.401365718e-243,1.2082155434,1.2174247386e-239,1.520097838e-236
gp_eta_S218b_Mratio_1,1.0,42,0.0042,nan,nan,8.0282603713e-133,nan,nan,0.028422443158,0.033170255186,nan,nan,nan,nan,nan,0.00024324434734,0,0,2.2673439105e-250,1.2051910967,4.8858543029e-247,6.1005632029e-244
gp_eta_S218b_Mratio_1,1.0,43,0.0043,nan,nan,2.8412390454e-131,nan,nan,0.028346547995,0.032746798662,nan,nan,nan,nan,nan,0.00023618712541,0,0,1.2046184258e-257,1.2021139468,1.0524643875e-253,1.3141254562e-250
gp_eta_S218b_Mratio_1,1.0,44,0.0044,nan,nan,5.4186924297e-139,nan,nan,0.028276057292,0.03233078617,nan,nan,nan,nan,nan,0.00022931125768,0,0,1.9631383368e-264,1.1989750039,4.2419162586e-261,5.2965308896e-258
