case_name,M_ratio,step,time_code,eta_max,eta_mean,eta_far_field,eta_max_minus_far,R_avg_nm,xB_min,xB_max,Y_min,Y_max,xBtot_initial,xBtot_final,xBtot_drift,xBtot_rel_drift,clipping_count_step,nan_inf_flag,eta_bulk_rhs_absmax,phi_chem_rhs_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax
gp_eta_S218b_Mratio_1em2,0.01,1,0.0001,nan,nan,0.00017235450522,nan,nan,0.020902694635,0.029999996155,nan,nan,nan,nan,nan,2.5915300366e-05,0,0,0.00066941731419,1.087394004,0.16154425613,3.994197739
gp_eta_S218b_Mratio_1em2,0.01,2,0.0002,nan,nan,0.00015115550876,nan,nan,0.021083963232,0.029999991413,nan,nan,nan,nan,nan,2.1646394073e-06,0,0,0.00069543507512,1.0876764463,0.16111196127,3.9835092058
gp_eta_S218b_Mratio_1em2,0.01,3,0.0003,nan,nan,0.0001314706135,nan,nan,0.021324709087,0.029999982431,nan,nan,nan,nan,nan,-1.9413190756e-05,0,0,0.00071928980589,1.0877574485,0.16053607962,3.969270475
gp_eta_S218b_Mratio_1em2,0.01,4,0.0004,nan,nan,0.00010483642336,nan,nan,0.021598919934,0.030014118153,nan,nan,nan,nan,nan,-3.8359747464e-05,0,0,0.00074167108863,1.0876965833,0.16005532792,3.9573838414
gp_eta_S218b_Mratio_1em2,0.01,5,0.0005,nan,nan,9.1636746229e-05,nan,nan,0.021874757875,0.030155480663,nan,nan,nan,nan,nan,-5.4581930995e-05,0,0,0.0007631037171,1.0873442243,0.15966394461,3.9477068503
gp_eta_S218b_Mratio_1em2,0.01,6,0.0006,nan,nan,8.1349623603e-05,nan,nan,0.02212676123,0.030302956351,nan,nan,nan,nan,nan,-6.8068042157e-05,0,0,0.00078401402481,1.0869710004,0.15939939939,3.9411659437
gp_eta_S218b_Mratio_1em2,0.01,7,0.0007,nan,nan,7.3108330843e-05,nan,nan,0.022367455705,0.030452934222,nan,nan,nan,nan,nan,-7.8875937585e-05,0,0,0.00080474352215,1.0866058943,0.15936952774,3.9404273641
gp_eta_S218b_Mratio_1em2,0.01,8,0.0008,nan,nan,6.6344824123e-05,nan,nan,0.02262389374,0.030603174894,nan,nan,nan,nan,nan,-8.7117772998e-05,0,0,0.00082555804745,1.0862220247,0.15956229879,3.9451936473
gp_eta_S218b_Mratio_1em2,0.01,9,0.0009,nan,nan,6.0680397514e-05,nan,nan,0.022907358438,0.030753020121,nan,nan,nan,nan,nan,-9.2943987217e-05,0,0,0.00084665462512,1.0860245825,0.1599561663,3.9549320606
gp_eta_S218b_Mratio_1em2,0.01,10,0.001,nan,nan,5.5856828075e-05,nan,nan,0.023230506388,0.030903444536,nan,nan,nan,nan,nan,-9.652799041e-05,0,0,0.00086816724733,1.0861982567,0.16053773337,3.9693113642
gp_eta_S218b_Mratio_1em2,0.01,11,0.0011,nan,nan,5.1693474327e-05,nan,nan,0.023598134961,0.031056965737,nan,nan,nan,nan,nan,-9.8052993943e-05,0,0,0.00089017222414,1.0869258025,0.16132580177,3.9887964334
gp_eta_S218b_Mratio_1em2,0.01,12,0.0012,nan,nan,4.8060428072e-05,nan,nan,0.024012324261,0.031217449924,nan,nan,nan,nan,nan,-9.7701914959e-05,0,0,0.00091269352017,1.0881479788,0.162262172,4.01194828
gp_eta_S218b_Mratio_1em2,0.01,13,0.0013,nan,nan,4.4861586882e-05,nan,nan,0.024473003865,0.031389853906,nan,nan,nan,nan,nan,-9.5650708565e-05,0,0,0.00093570835205,1.0900134703,0.1633016312,4.0376490118
gp_eta_S218b_Mratio_1em2,0.01,14,0.0014,nan,nan,4.2023867659e-05,nan,nan,0.024979730898,0.031579939387,nan,nan,nan,nan,nan,-9.2064946099e-05,0,0,0.00095915320557,1.0926644829,0.16439338307,4.0646426849
