snapshot_id,replicate,step,age_h,particle_id,equivalent_radius_nm,per_particle_number_density_weight_m-3
A_step_000000,A,0,6,0,10.24993875132907,6.717298979454201e+19
A_step_000000,A,0,6,1,10.24993896173266,6.717298979454201e+19
A_step_000000,A,0,6,2,8.749930988174107,6.717298979454201e+19
A_step_000000,A,0,6,3,10.24995736272464,6.717298979454201e+19
A_step_000000,A,0,6,4,8.999947084532696,6.717298979454201e+19
A_step_000000,A,0,6,5,10.74996256821613,6.717298979454201e+19
A_step_000000,A,0,6,6,10.49994740534235,6.717298979454201e+19
A_step_000000,A,0,6,7,9.999938022051992,6.717298979454201e+19
A_step_000000,A,0,6,8,9.249933387557503,6.717298979454201e+19
A_step_000000,A,0,6,9,10.24996297197221,6.717298979454201e+19
A_step_000000,A,0,6,10,8.499932742373364,6.717298979454201e+19
A_step_000000,A,0,6,11,9.499938998499285,6.717298979454201e+19
A_step_000000,A,0,6,12,9.499941225609712,6.717298979454201e+19
A_step_000000,A,0,6,13,9.999936960456143,6.717298979454201e+19
A_step_000000,A,0,6,14,8.49995582810519,6.717298979454201e+19
A_step_000000,A,0,6,15,9.999966293506247,6.717298979454201e+19
A_step_000000,A,0,6,16,8.749962886368616,6.717298979454201e+19
A_step_000000,A,0,6,17,8.999931875685608,6.717298979454201e+19
A_step_000000,A,0,6,18,10.24993834489,6.717298979454201e+19
A_step_000000,A,0,6,19,9.749935683662631,6.717298979454201e+19
A_step_000000,A,0,6,20,9.499936905242919,6.717298979454201e+19
A_step_000000,A,0,6,21,9.24994174592001,6.717298979454201e+19
A_step_000000,A,0,6,22,9.999937428306534,6.717298979454201e+19
A_step_000000,A,0,6,23,9.249947827762195,6.717298979454201e+19
A_step_000000,A,0,6,24,8.749951978577119,6.717298979454201e+19
A_step_000000,A,0,6,25,9.999940878049632,6.717298979454201e+19
A_step_000000,A,0,6,26,10.49994015833022,6.717298979454201e+19
A_step_000000,A,0,6,27,9.749934942068029,6.717298979454201e+19
A_step_000000,A,0,6,28,8.499935626237574,6.717298979454201e+19
A_step_000000,A,0,6,29,8.249942263387837,6.717298979454201e+19
A_step_000000,A,0,6,30,9.249956178863478,6.717298979454201e+19
A_step_000000,A,0,6,31,8.99993913471473,6.717298979454201e+19
A_step_000000,A,0,6,32,8.249930772660043,6.717298979454201e+19
A_step_000000,A,0,6,33,8.249932391611814,6.717298979454201e+19
A_step_000000,A,0,6,34,9.499943559999341,6.717298979454201e+19
A_step_000000,A,0,6,35,10.74994043801843,6.717298979454201e+19
A_step_000000,A,0,6,36,9.749937490951346,6.717298979454201e+19
A_step_000000,A,0,6,37,10.7499406498417,6.717298979454201e+19
A_step_000000,A,0,6,38,9.74993486181557,6.717298979454201e+19
A_step_000000,A,0,6,39,9.249939848714233,6.717298979454201e+19
A_step_000000,A,0,6,40,10.49994284110185,6.717298979454201e+19
A_step_000000,A,0,6,41,8.749931996766151,6.717298979454201e+19
A_step_000000,A,0,6,42,8.999941296945364,6.717298979454201e+19
A_step_000000,A,0,6,43,8.499933810096243,6.717298979454201e+19
A_step_000000,A,0,6,44,9.499941539027219,6.717298979454201e+19
A_step_000000,A,0,6,45,8.499948499210973,6.717298979454201e+19
A_step_000000,A,0,6,46,8.749930569028766,6.717298979454201e+19
A_step_000000,A,0,6,47,10.49993998855024,6.717298979454201e+19
A_step_000000,A,0,6,48,10.7499435950132,6.717298979454201e+19
A_step_000000,A,0,6,49,10.74994110267064,6.717298979454201e+19
A_step_000000,A,0,6,50,10.24994002936206,6.717298979454201e+19
A_step_000000,A,0,6,51,8.2499582324582,6.717298979454201e+19
A_step_000000,A,0,6,52,8.749951571867653,6.717298979454201e+19
A_step_000000,A,0,6,53,8.499934516862394,6.717298979454201e+19
A_step_000000,A,0,6,54,8.999931891618189,6.717298979454201e+19
A_step_000000,A,0,6,55,8.99993240444125,6.717298979454201e+19
A_step_000000,A,0,6,56,8.499933667998512,6.717298979454201e+19
A_step_000000,A,0,6,57,8.49993305633944,6.717298979454201e+19
A_step_000000,A,0,6,58,9.999937446690344,6.717298979454201e+19
