snapshot_id,replicate,step,registered_age_h,age_h,elapsed_physical_time_s,particle_count,box_volume_nm3,Nv_nm-3,mean_radius_nm,Sv_nm-1,M6_nm3,beta_volume_fraction,matrix_xAg,matrix_xB,matrix_xAg_source_column,matrix_xB_source_column,matrix_observation_contract,full_psd_canonical_sha256
A_step_000000,A,0,6.0,6.0,0.0,96,14886936.0,6.448607020276033e-06,9.541609463914384,0.007426169031481664,5.357826016570334,0.02392960975909118,0.006203008315588036,0.006222306906439234,far_field_matrix_xAg,far_field_matrix_xB,production registered far-field matrix observation,d761f87d7ad9a2be969c929fba0d8828c2d076f677f8572c013bdc4f9c654a8f
A_step_021798,A,21798,12.0,12.0,21600.207026290725,31,14886935.999999998,2.0823626836308024e-06,13.027173999960983,0.004756563473701731,20.50380474142818,0.023155118796488197,0.006985509502374326,0.007009998998723768,far_field_matrix_xAg,far_field_matrix_xB,production registered far-field matrix observation,d0edca2efa6ac5d102caaee8b8a03d306187ad7776667a72ee8d21fa964b5710
A_step_043596,A,43596,18.0,18.0,43200.41405258145,15,14886935.999999998,1.0075948469181302e-06,16.638848694222116,0.0037562358139695334,44.08821298185542,0.023468810628888327,0.006667503948157043,0.006689808712860088,far_field_matrix_xAg,far_field_matrix_xB,production registered far-field matrix observation,99381a63d3a6257992b87153c21b71f7469130b1f4f338cefd0722b910ef8738
A_step_065393,A,65393,24.0,24.0,64799.63015277684,10,14886935.999999998,6.717298979454202e-07,18.723579109887247,0.0032619137427315177,66.09747258558703,0.02359280073378868,0.006541991190685975,0.006563462473114235,far_field_matrix_xAg,far_field_matrix_xB,production registered far-field matrix observation,96776bf816dc6a4f325cc7b78db4e23b45ecd6b2184d871fb3733258ceb26135
A_step_108989,A,108989,36.0,36.0,108000.0442053583,6,14886936.0,4.0303793876725205e-07,23.406473483058875,0.0028730488502025264,95.32215508057773,0.023799474825655496,0.006331949085975584,0.006352059869103826,far_field_matrix_xAg,far_field_matrix_xB,production registered far-field matrix observation,4c4b940232b5127028173a5e28aca8dcdc0c4e3244a0cfdcdf9278f94dd573b7
A_step_152585,A,152585,48.0,48.0,151200.45825793975,5,14886935.999999998,3.358649489727101e-07,24.859869085436504,0.0027022440128109566,116.53186425143566,0.02383033838935726,0.006300821530907528,0.006320735040543867,far_field_matrix_xAg,far_field_matrix_xB,production registered far-field matrix observation,8566bde9830f0104b0d7d0e3d4faa5ca6ef76e2aab40f58884c6bc5ac4228954
