entry_id,T_C,xB,r_seed_nm,r_star_nm,bridge_validation_status,production_valid,profile_sha256,metadata_sha256,source_dynamic_sha256,source_history_packaged,generator,source_library_sha256,scientific_status
nlib_00006,380.0,0.03,5.345573571840012,1.846372,PASS,true,e5dc0d540df9422847d14b192a1309d184dc7dcfb32cdca1199bdabde15e5753,cc61556751ca573bef2b1634b72d7c006fcba66d6b9604bb9c808d40c77d4b53,94f988d2ba7adcd2944d80b97b41cf47387341a71af41b726dafea801a93f675,false,build_runtime_profile_cache_from_nucleus_library.py,b9974b16a1ee5a66febda8c20d053b9b610ca3f966cbbd66c4921a4101310c35,VALIDATION_REFERENCE_ONLY
nlib_dc_T400_xB003,400,0.03,4.726345567891332,2.038101,PASS,true,71299e5e38dcefb8d0b3361b832cfc5b3cad510935b3154fe477e9cf184e722e,b063c13dc8e3d20691f5de9014890d00bd9bf9672e84cc8efd567ae71f4fb098,e9f1d3d4018c18f49ec969bb70f26981b3afb1dbad610a6eda96b60e41c26e60,false,build_runtime_profile_cache_from_nucleus_library.py,b9974b16a1ee5a66febda8c20d053b9b610ca3f966cbbd66c4921a4101310c35,VALIDATION_REFERENCE_ONLY
nlib_dc_T450_xB003,450,0.03,4.1896800678081085,3.179292,PASS,true,9f21cb1b751752333109a8fd0565ee3e4d2e23a9d2f2c6aa46e4bec321797f27,7d83e45df3bec8819cbc6997892619c24e63e1efd5c1a15a37bc01ef64a62c84,79776a6e75956f81829290b0424c5a0197f78ab6b531a7482b32cc599f7907b4,false,build_runtime_profile_cache_from_nucleus_library.py,b9974b16a1ee5a66febda8c20d053b9b610ca3f966cbbd66c4921a4101310c35,VALIDATION_REFERENCE_ONLY
