step,nominal_age_h,observable,A,B,B_minus_A,B_minus_A_relative_to_A
0,6,particle_count,96.0,96.0,0.0,0.0
0,6,beta_volume_fraction,0.02392960975909118,0.023929618199627172,8.440535992360054e-09,3.5272351188900526e-07
0,6,mean_radius_nm,9.541609463914384,9.541610377537319,9.136229355277692e-07,9.575144937371617e-08
0,6,Sv_nm_inv,0.007426169031481664,0.007426170620976416,1.5894947519648484e-09,2.1403966772457285e-07
0,6,M6_nm3,5.357826016570334,5.357830574247023,4.5576766893873355e-06,8.506578368337552e-07
0,6,far_field_matrix_xAg,0.006203008315588036,0.0062032544917148096,2.461761267735091e-07,3.9686570491107255e-05
0,6,mass_relative_error,1.0361453923136947e-13,1.8246585525021037e-14,-8.536795370634843e-14,-0.8238993710691824
21798,12,particle_count,31.0,26.0,-5.0,-0.16129032258064516
21798,12,beta_volume_fraction,0.023155118796488197,0.023261207225661194,0.00010608842917299646,0.004581640461679958
21798,12,mean_radius_nm,13.027173999960983,14.400873830734051,1.3736998307730683,0.10544879731990857
21798,12,Sv_nm_inv,0.004756563473701731,0.004653133544132633,-0.00010342992956909741,-0.02174467557112288
21798,12,M6_nm3,20.50380474142818,20.36025429369112,-0.14355044773705927,-0.007001161469657087
21798,12,far_field_matrix_xAg,0.006985509502374326,0.006877363584316807,-0.00010814591805751936,-0.015481464597644783
21798,12,mass_relative_error,2.664001486653073e-13,1.0426620300012023e-14,-2.559735283652953e-13,-0.9608610567514677
43596,18,particle_count,15.0,16.0,1.0,0.06666666666666667
43596,18,beta_volume_fraction,0.023468810628888327,0.02345796456185307,-1.0846067035257673e-05,-0.00046214813382604856
43596,18,mean_radius_nm,16.638848694222116,16.98230429217645,0.34345559795433545,0.02064178863971528
43596,18,Sv_nm_inv,0.0037562358139695334,0.003980398882048383,0.0002241630680788493,0.059677581275696626
43596,18,M6_nm3,44.08821298185542,33.65392780798587,-10.434285173869547,-0.236668362543154
43596,18,far_field_matrix_xAg,0.006667503948157043,0.00667776504527507,1.0261097118026419e-05,0.0015389712848783053
43596,18,mass_relative_error,2.710921278003127e-14,8.693194675135025e-14,5.982273397131898e-14,2.2067307692307683
65393,24,particle_count,10.0,13.0,3.0,0.3
65393,24,beta_volume_fraction,0.02359280073378868,0.023532755387263796,-6.004534652488333e-05,-0.0025450707273973095
65393,24,mean_radius_nm,18.723579109887247,17.921446966173246,-0.802132143714001,-0.04284074850253518
65393,24,Sv_nm_inv,0.0032619137427315177,0.0036761200961275826,0.0004142063533960649,0.12698262003985722
65393,24,M6_nm3,66.09747258558703,43.395881692890214,-22.701590892696814,-0.3434562624660332
65393,24,far_field_matrix_xAg,0.006541991190685975,0.006602755876704542,6.0764686018567084e-05,0.009288408413799082
65393,24,mass_relative_error,2.0683808020148858e-13,9.957422386511482e-14,-1.0726385633637376e-13,-0.5185885318210461
108989,36,particle_count,6.0,9.0,3.0,0.5
108989,36,beta_volume_fraction,0.023799474825655496,0.023665039522111804,-0.00013443530354369237,-0.005648666810024439
108989,36,mean_radius_nm,23.406473483058875,20.698668111447912,-2.707805371610963,-0.1156861743214251
108989,36,Sv_nm_inv,0.0028730488502025264,0.0033142431953391365,0.00044119434513661005,0.15356311992589666
108989,36,M6_nm3,95.32215508057773,60.200735237460016,-35.121419843117714,-0.3684497041997096
108989,36,far_field_matrix_xAg,0.006331949085975584,0.006468631313237943,0.00013668222726235905,0.02158612228343589
108989,36,mass_relative_error,8.119730558634366e-14,2.0279776483523384e-13,1.2160045924889017e-13,1.497592295345103
152585,48,particle_count,5.0,8.0,3.0,0.6
152585,48,beta_volume_fraction,0.02383033838935726,0.023661711537232476,-0.0001686268521247855,-0.007076141738721387
152585,48,mean_radius_nm,24.859869085436504,20.10153948446456,-4.758329600971944,-0.19140606029013585
152585,48,Sv_nm_inv,0.0027022440128109566,0.003018791134043532,0.00031654712123257555,0.11714231569461174
152585,48,M6_nm3,116.53186425143566,87.06737420255713,-29.46449004887853,-0.25284492132816394
152585,48,far_field_matrix_xAg,0.006300821530907528,0.006474212975184828,0.00017339144427730002,0.027518862965211756
152585,48,mass_relative_error,1.6708659030769273e-13,2.244330019577588e-13,5.734641165006607e-14,0.3432137285491415
