target_identity,target_kappa,target_uncertainty,equivalent_mode,matrix_xAg,N_6h_m-3,root_exists,radius_nm,kappa_W_mK,absolute_mismatch_W_mK,omega50_rad_s,sigma_long_over_short_at_omega50,branch,reachable_kappa_min_W_mK,reachable_kappa_max_W_mK,closest_radius_nm,minimum_absolute_mismatch_W_mK
T1_YU_AQ_TWO_POPULATION_300K,1.66666248947741,0.0,E1,0.0069,1.68e+24,True,3.7992686084558964,1.6666624894774889,7.882583474838611e-14,7977433713102.453,1.0790197682389162,GEOMETRIC_SIDE,0.0009839911077798669,2.3626489561500494,3.8000000000000016,0.00033264155016166086
T1_YU_AQ_TWO_POPULATION_300K,1.66666248947741,0.0,E2,0.0062,1.68e+24,True,3.8274979925877433,1.6666624894774382,2.8199664825478976e-14,7977433713102.453,1.111448363017017,GEOMETRIC_SIDE,0.000984011325711727,2.3892154836195583,3.8200000000000016,0.003448560470413309
T2_TAILORING_AQ_FIG5C_EXTRAPOLATED_300K,1.254520133173364,0.015,E1,0.0069,1.68e+24,True,4.767156877729578,1.2545201331732825,8.149037000748649e-14,8848064427480.453,4.047692092215141,GEOMETRIC_SIDE,0.0009839911077798669,2.3626489561500494,4.7600000000000025,0.002727271701279843
T2_TAILORING_AQ_FIG5C_EXTRAPOLATED_300K,1.254520133173364,0.015,E2,0.0062,1.68e+24,True,4.789960306055731,1.254520133173287,7.704947790898586e-14,8957101704699.617,4.332856114923562,GEOMETRIC_SIDE,0.000984011325711727,2.3892154836195583,4.780000000000003,0.0038050967978819905
T3_LITERAL_ENVELOPE_MIN,0.784067517601117,0.0,E1,0.0069,1.68e+24,True,6.377769808059098,0.7840675176012076,9.059419880941277e-14,10689488113474.848,27.623555890586132,GEOMETRIC_SIDE,0.0009839911077798669,2.3626489561500494,6.380000000000004,0.00047630179799162953
T3_LITERAL_ENVELOPE_MIN,0.784067517601117,0.0,E2,0.0062,1.68e+24,True,6.4004857013898455,0.7840675176010803,3.674838211509268e-14,10796170350771.215,29.154609483245014,GEOMETRIC_SIDE,0.000984011325711727,2.3892154836195583,6.400000000000004,0.00010369630113959971
T3_LITERAL_ENVELOPE_MAX,2.36264889968699,0.0,E1,0.0069,1.68e+24,True,0.1795243835449218,2.3626488996870814,9.14823772291129e-14,8303327755024.302,6.313629430615982e-06,RAYLEIGH_SIDE,0.0009839911077798669,2.3626489561500494,0.17999999999999997,9.311929005662023e-10
T3_LITERAL_ENVELOPE_MAX,2.36264889968699,0.0,E2,0.0062,1.68e+24,True,1.6395698071899818,2.362648899687082,9.192646643896296e-14,8303327755024.302,0.04392431123530689,RAYLEIGH_SIDE,0.000984011325711727,2.3892154836195583,1.6399999999999992,3.565318528409023e-05
