state,T_K,kappa_lat_W_mK,data_origin,source_location,digitization_uncertainty_W_mK
AQ,303.06,1.68,TABLE_S1_NOT_DIGITIZED,SI Table S1 PDF page 13,0
AQ,322.42,1.60,TABLE_S1_NOT_DIGITIZED,SI Table S1 PDF page 13,0
AQ,370.80,1.43,TABLE_S1_NOT_DIGITIZED,SI Table S1 PDF page 13,0
AQ,420.95,1.33,TABLE_S1_NOT_DIGITIZED,SI Table S1 PDF page 13,0
AQ,473.74,1.26,TABLE_S1_NOT_DIGITIZED,SI Table S1 PDF page 13,0
AQ,523.00,1.15,TABLE_S1_NOT_DIGITIZED,SI Table S1 PDF page 13,0
AQ,573.15,1.07,TABLE_S1_NOT_DIGITIZED,SI Table S1 PDF page 13,0
