age_h,full_PSD_sha256,kappa_W_mK,matrix_xAg,replicate
6.0,d36a6f2ad69a0c6ccacce64fd2063f64d329bf7baa9d3c7342cca3fd77bc0bdb,1.2980923110012568,0.006203008315588036,A
48.0,5a55ce737716512beb749ef855e4aea87908cf32e3d572a9bd9e544db09613db,1.295137055141791,0.006300821530907528,A
6.0,a73cd4da539e8619c5a56745812795f235209bb2f0c7b641582dddc163efa128,1.2980892222352776,0.0062032544917148096,B
48.0,278feeb5a6d0a9ace781aa6c2d5cb3348b2c361c39aff2d8402416f069b137eb,1.2930202754851177,0.006474212975184828,B
6.0,0054306d047313302d2ee43ab80e6a171f1d3a32f515a1aa194f5c056c54ce0c,1.2980934531266686,0.006202917319236994,C
48.0,a0d7471606090ed6edaab34fa03ee6f6b606a8346227934e4bdf68606277ecfc,1.2965401320709589,0.00621465105518336,C
6.0,,1.2980916621210676,PF authority,ensemble_mean
48.0,,1.2948991542326225,PF authority,ensemble_mean
6_to_48,,-0.003192507888445162,PF authority,ensemble_delta
