J_abs,J_delta,J_relative,PF_coarsening_compatible,R48_R3_equivalent_nm,R6_R3_equivalent_nm,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,delta_kappa_W_mK,forty_eight_h_state,kappa48_W_mK,kappa6_W_mK,mathematical_combination,relative_change,six_h_state
0.3430528920740291,0.0324,0.044844415225,False,11.97708777424573,11.97708777424573,356237.61016735336,False,0.0,s8_l20_f0.25,1.296599906540384,1.296599906540384,True,0.0,s8_l20_f0.25
0.3431464940261466,0.032333012217402736,0.04478362290937904,False,12.467141060824751,11.97708777424573,356237.61016735336,False,0.0001861734531998227,s8_l30_f0.25,1.2967860799935838,1.296599906540384,True,0.00014358589126893797,s8_l20_f0.25
0.3434983651822503,0.03208222516980475,0.04455583695457508,False,12.59921049894873,11.97708777424573,356237.61016735336,False,0.0008848829110039702,s8_l40_f0.25,1.297484789451388,1.296599906540384,True,0.0006824641175279998,s8_l20_f0.25
0.3444168553751314,0.031435224708586784,0.043966746012413606,False,12.6692485087159,11.97708777424573,356237.61016735336,False,0.0027001841270364313,s8_l60_f0.25,1.2993000906674204,1.296599906540384,True,0.002082511431179354,s8_l20_f0.25
0.34291099646722717,0.03250177162083043,0.044936732947745715,False,14.27531711007216,11.97708777424573,356237.61016735336,False,-0.00028247729835095825,s10_l20_f0.25,1.296317429242033,1.296599906540384,True,-0.00021786003294159593,s8_l20_f0.25
0.34312227113111887,0.03235033660069152,0.04479934709927842,False,12.114137285547596,11.97708777424573,356237.61016735336,False,0.0001380067921754602,s10_l20_f0.5,1.2967379133325594,1.296599906540384,True,0.00010643745343441595,s8_l20_f0.25
0.3430016457400423,0.032436724496603245,0.044877734011553226,True,15.32618864787106,11.97708777424573,356237.61016735336,False,-0.00010198359985724714,s10_l30_f0.25,1.2964979229405267,1.296599906540384,True,-7.865464075912361e-05,s8_l20_f0.25
0.3431008557284198,0.032365659517331176,0.04481325348191734,False,12.44739800049365,11.97708777424573,356237.61016735336,False,9.541551886127486e-05,s10_l30_f0.5,1.2966953220592452,1.296599906540384,True,7.358902185629847e-05,s8_l20_f0.25
0.3433457005871948,0.03219083246571659,0.04465452084527485,True,15.63345810720805,11.97708777424573,356237.61016735336,False,0.0005819617047477799,s10_l40_f0.25,1.2971818682451317,1.296599906540384,True,0.0004488367628381084,s8_l20_f0.25
0.34326580966822945,0.03224779009885209,0.04470625130100273,False,12.534264961527752,11.97708777424573,356237.61016735336,False,0.00042330301831450257,s10_l40_f0.5,1.2970232095586984,1.296599906540384,True,0.00032647157861052825,s8_l20_f0.25
0.34425068049868796,0.0315514703597632,0.04407274096276813,True,15.80119293381915,11.97708777424573,356237.61016735336,False,0.0023726643791468494,s10_l60_f0.25,1.2989725709195308,1.296599906540384,True,0.0018299125020590538,s8_l20_f0.25
0.3437890093425075,0.03187630282547794,0.044368570895598335,False,12.579827067572232,11.97708777424573,356237.61016735336,False,0.0014606406825712348,s10_l60_f0.5,1.2980605472229552,1.296599906540384,True,0.0011265161097138655,s8_l20_f0.25
0.3428350239578496,0.03255637135923777,0.0449862402310678,True,16.12682379199292,11.97708777424573,356237.61016735336,False,-0.00043384205641072704,s12_l20_f0.25,1.2961660644839732,1.296599906540384,True,-0.00033459978997554753,s8_l20_f0.25
0.34294930424024084,0.03247426981690149,0.04491179078840152,False,14.164895871260502,11.97708777424573,356237.61016735336,False,-0.000206186955113985,s12_l20_f0.5,1.29639371958527,1.296599906540384,True,-0.00015902126328555546,s8_l20_f0.25
0.34310092735965103,0.032365608254402975,0.04481320695990519,False,12.90513532966072,11.97708777424573,356237.61016735336,False,9.55579914632132e-05,s12_l20_f0.75,1.2966954645318471,1.296599906540384,True,7.369890355628909e-05,s8_l20_f0.25
0.3429295174780295,0.032488472634088085,0.044924672176332225,True,17.965631661368594,11.97708777424573,356237.61016735336,False,-0.00024558977708188934,s12_l30_f0.25,1.296354316763302,1.296599906540384,True,-0.0001894106083480889,s8_l20_f0.25
0.34293398877158565,0.03248526271153888,0.04492176098955156,True,14.80962409816696,11.97708777424573,356237.61016735336,False,-0.0002366852545254705,s12_l30_f0.5,1.2963632212858585,1.296599906540384,True,-0.0001825430137173149,s8_l20_f0.25
0.3430510989492358,0.032401284412984316,0.04484558063541856,False,13.115101504586832,11.97708777424573,356237.61016735336,False,-3.5677784868681783e-06,s12_l30_f0.75,1.296596338761897,1.296599906540384,True,-2.7516417893225077e-06,s8_l20_f0.25
0.34326851233997324,0.03224586187318412,0.04470450029247255,True,18.560628512578113,11.97708777424573,356237.61016735336,False,0.00042867190672080113,s12_l40_f0.25,1.2970285784471047,1.296599906540384,True,0.0003306123227053076,s8_l20_f0.25
0.34309244033941855,0.03237168246805471,0.04481871932764983,True,14.985380107695669,11.97708777424573,356237.61016735336,False,7.867700560137969e-05,s12_l40_f0.5,1.2966785835459853,1.296599906540384,True,6.0679478075320386e-05,s8_l20_f0.25
0.343092516207268,0.032371628164730736,0.04481867004800417,False,13.168321955567059,11.97708777424573,356237.61016735336,False,7.882791419255852e-05,s12_l40_f0.75,1.2966787344545765,1.296599906540384,True,6.079586601458956e-05,s8_l20_f0.25
0.34416163471939076,0.03161390795062636,0.0441296447009201,True,18.898815748423093,11.97708777424573,356237.61016735336,False,0.002196996789631367,s12_l60_f0.25,1.2987969033300153,1.296599906540384,True,0.001694429236458486,s8_l20_f0.25
0.343599678084254,0.0320103190603896,0.04449046912839936,True,15.078948822583074,11.97708777424573,356237.61016735336,False,0.0010857214742501231,s12_l60_f0.5,1.297685628014634,1.296599906540384,True,0.0008373604446317359,s8_l20_f0.25
0.3432946221527909,0.03222723874776678,0.044687587829943594,False,13.195989638053094,11.97708777424573,356237.61016735336,False,0.00048053379155010845,s12_l60_f0.75,1.297080440331934,1.296599906540384,True,0.00037061069426750086,s8_l20_f0.25
0.3427811385822683,0.03259514419481142,0.04502138809902811,True,18.12933664187429,11.97708777424573,356237.61016735336,False,-0.0005412534431159521,s15_l20_f0.25,1.296058653097268,1.296599906540384,True,-0.00041744060013095046,s8_l20_f0.25
0.3428191205162947,0.032567810538976255,0.04499661068180832,True,16.80663563842005,11.97708777424573,356237.61016735336,False,-0.00046553836945228966,s15_l20_f0.5,1.2961343681709316,1.296599906540384,True,-0.0003590455059451988,s8_l20_f0.25
0.3428707016141337,0.0325307210552689,0.04496298408156517,True,15.80119293381915,11.97708777424573,356237.61016735336,False,-0.0003627485243804518,s15_l20_f0.75,1.2962371580160035,1.296599906540384,True,-0.00027976905022949236,s8_l20_f0.25
0.34289244465909474,0.03251509729718216,0.044948817072247224,True,21.41297566510824,11.97708777424573,356237.61016735336,False,-0.0003194312801095833,s15_l30_f0.25,1.2962804752602743,1.296599906540384,True,-0.00024636071505040966,s8_l20_f0.25
0.34282795483200595,0.032561455691512774,0.044990849626432,True,18.171205928321395,11.97708777424573,356237.61016735336,False,-0.00044793069335202773,s15_l30_f0.5,1.296151975847032,1.296599906540384,True,-0.0003454656221187044,s8_l20_f0.25
0.3428404672580595,0.03255245682455732,0.04498269127599945,True,16.286505699569435,11.97708777424573,356237.61016735336,False,-0.00042299416803093237,s15_l30_f0.75,1.296176912372353,1.296599906540384,True,-0.00032623337846720554,s8_l20_f0.25
0.3432296949009367,0.032273565494954075,0.044729656028229425,True,22.673384104542134,11.97708777424573,356237.61016735336,False,0.00035155025730371214,s15_l40_f0.25,1.2969514567976876,1.296599906540384,True,0.00027113240987478254,s8_l20_f0.25
0.34298479241268487,0.03244880966081774,0.04488869701645653,True,18.57783021705989,11.97708777424573,356237.61016735336,False,-0.00013553136685096057,s15_l40_f0.5,1.296464375173533,1.296599906540384,True,-0.00010452828676548983,s8_l20_f0.25
0.34288136013804627,0.03252306144269726,0.044956038792426364,True,16.41401844618389,11.97708777424573,356237.61016735336,False,-0.00034151336477483696,s15_l40_f0.75,1.296258393175609,1.296599906540384,True,-0.00026339147724148025,s8_l20_f0.25
0.3441092278063941,0.03165070286051307,0.044163169333531586,True,23.450187160812074,11.97708777424573,356237.61016735336,False,0.0020935558769354934,s15_l60_f0.25,1.2986934624173194,1.296599906540384,True,0.0016146506461824177,s8_l20_f0.25
0.34347388969814996,0.0320996166739175,0.04457164327881046,True,18.801397442291627,11.97708777424573,356237.61016735336,False,0.000836341090282744,s15_l60_f0.5,1.2974362476306667,1.296599906540384,True,0.0006450263385521039,s8_l20_f0.25
0.3430699311691716,0.03238779704583153,0.04483334249374996,True,16.48107280291915,11.97708777424573,356237.61016735336,False,3.3900287216503955e-05,s15_l60_f0.75,1.2966338068276004,1.296599906540384,True,2.6145526500119406e-05,s8_l20_f0.25
0.34398218622912236,0.03267094742219212,0.04508994113489428,True,11.97708777424573,9.873082732111307,356237.61016735336,False,-0.0007510647885431432,s8_l20_f0.25,1.296599906540384,1.297350971328927,True,-0.0005789218223452658,s8_l20_f0.5
0.34436019707197213,0.0324,0.044844415225,False,9.873082732111307,9.873082732111307,356237.61016735336,False,0.0,s8_l20_f0.5,1.297350971328927,1.297350971328927,True,0.0,s8_l20_f0.5
0.34407578818123985,0.03260367998294434,0.04502901784757688,True,12.467141060824751,9.873082732111307,356237.61016735336,False,-0.0005648913353433205,s8_l30_f0.25,1.2967860799935838,1.297350971328927,True,-0.00043541905608216434,s8_l20_f0.5
0.3443420186279395,0.03241298657731684,0.044856191390440614,False,10.016450581232084,9.873082732111307,356237.61016735336,False,-3.607021182405745e-05,s8_l30_f0.5,1.297314901117103,1.297350971328927,True,-2.7802971301674313e-05,s8_l20_f0.5
0.34442765933734354,0.032351843383204,0.04480073992996176,True,12.59921049894873,9.873082732111307,356237.61016735336,False,0.00013381812246082703,s8_l40_f0.25,1.297484789451388,1.297350971328927,True,0.00010314720181212946,s8_l20_f0.5
0.3445172907835589,0.032287954325981735,0.044742778897538575,False,10.052632548388717,9.873082732111307,356237.61016735336,False,0.00031150753044384416,s8_l40_f0.5,1.297662478859371,1.297350971328927,True,0.00024011045378472632,s8_l20_f0.5
0.34534614953022463,0.0317021161043381,0.04421036768820582,True,12.6692485087159,9.873082732111307,356237.61016735336,False,0.0019491193384932881,s8_l60_f0.25,1.2993000906674204,1.297350971328927,True,0.0015023839975212947,s8_l20_f0.5
0.3450586687199674,0.03190429649675639,0.04439430071584967,False,10.071417015601082,9.873082732111307,356237.61016735336,False,0.001382261528267037,s8_l60_f0.5,1.298733232857194,1.297350971328927,True,0.001065449179762923,s8_l20_f0.5
0.3438402906223204,0.03277314336052726,0.04518245748725703,True,14.27531711007216,9.873082732111307,356237.61016735336,False,-0.0010335420868941014,s10_l20_f0.25,1.296317429242033,1.297350971328927,True,-0.000796655731359575,s8_l20_f0.5
0.3440515652862121,0.032621076718799276,0.04504477592695551,True,12.114137285547596,9.873082732111307,356237.61016735336,False,-0.000613057996367683,s10_l20_f0.5,1.2967379133325594,1.297350971328927,True,-0.0004725459878753579,s8_l20_f0.5
