CV48,CV6,J_abs,J_delta,J_relative,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,classification,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,relative_change
0.0,0.0,0.3994931044856409,0.0324,0.044844415225,680363.7188805351,680363.7188805351,False,0.5,1.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,0.0,1.3277590688422896,1.3277590688422896,0.0
0.0,0.0,0.3991659353093102,0.03261036973534698,0.045030706599662865,201589.25003867707,680363.7188805351,False,0.75,1.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.0005834148955738971,1.3271756539467157,1.3277590688422896,-0.00043939816286293036
0.0,0.0,0.39856407345358125,0.03300023566699284,0.04537538093941893,85045.46486006689,680363.7188805351,False,1.0,2.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.001659669896740823,1.3260993989455487,1.3277590688422896,-0.001249978204395121
0.0,0.0,0.3976804489675893,0.03357942683090708,0.0458860952290704,43543.278008354246,680363.7188805351,False,1.25,2.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.003246901285961945,1.3245121675563276,1.3277590688422896,-0.0024453994419281273
0.0,0.0,0.3965870543747641,0.034307507213549755,0.04652588122164473,25198.656254834634,680363.7188805351,False,1.5,3.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.005222858237178052,1.3225362106051115,1.3277590688422896,-0.003933588826271026
0.0,0.0,0.3954007900449117,0.03511195934522227,0.047229996511133215,15868.541548234056,680363.7188805351,False,1.75,3.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.007381854364883145,1.3203772144774064,1.3277590688422896,-0.005559633926145646
0.0,0.0,0.3942271711303716,0.03592304241570627,0.04793705812096143,10630.683107508361,680363.7188805351,False,2.0,4.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.009533750070287672,1.3182253187720019,1.3277590688422896,-0.007180331352283978
0.0,0.0,0.393130873723338,0.03669465433312138,0.048607135580987865,7466.268519951002,680363.7188805351,False,2.25,4.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.011558488021599755,1.3162005808206898,1.3277590688422896,-0.008705260082823555
0.0,0.0,0.3921389108398139,0.03740470330234864,0.04922160159939063,5442.909751044281,680363.7188805351,False,2.5,5.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.013402955774591607,1.314356113067698,1.3277590688422896,-0.010094418550104893
0.0,0.0,0.39125520324373764,0.03804694765419958,0.04977566629874008,4089.3386559310898,680363.7188805351,False,2.75,5.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.01505626791825887,1.3127028009240307,1.3277590688422896,-0.011339608421117284
0.0,0.0,0.390472694560019,0.0386233972683626,0.05027161041071592,3149.832031854329,680363.7188805351,False,3.0,6.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.016528362503641203,1.3112307063386484,1.3277590688422896,-0.012448314525957445
0.0,0.0,0.3897803807936025,0.03913957052671663,0.05071462931541521,2477.428198017424,680363.7188805351,False,3.25,6.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.01783723240764523,1.3099218364346443,1.3277590688422896,-0.013434088176251748
0.0,0.0,0.3891667039777978,0.03960202348608977,0.05111070223803375,1983.567693529257,680363.7188805351,False,3.5,7.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.019002571556474557,1.308756497285815,1.3277590688422896,-0.014311761826671937
0.0,0.0,0.3886209619217783,0.04001720751167593,0.05146562738721713,1612.7140003094166,680363.7188805351,False,3.75,7.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.020043014153646288,1.3077160546886433,1.3277590688422896,-0.015095369803139327
0.0,0.0,0.38813376634828756,0.040391008362917515,0.051784646761103593,1328.8353884385451,680363.7188805351,False,4.0,8.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02097514364447539,1.3067839251978142,1.3277590688422896,-0.015797401905726923
0.0,0.0,0.3876970846800979,0.04072860928251454,0.052072346716011776,1107.8586914399107,680363.7188805351,False,4.25,8.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.021813303036530618,1.305945765805759,1.3277590688422896,-0.016428660551759778
0.0,0.0,0.38730411978307827,0.04103449772470999,0.05233267791617792,933.2835649938753,680363.7188805351,False,4.5,9.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02256973546092711,1.3051893333813624,1.3277590688422896,-0.01699836663936801
0.0,0.0,0.38694914169212824,0.04131252902241181,0.052569020539689544,793.542754198029,680363.7188805351,False,4.75,9.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02325483763593872,1.3045042312063508,1.3277590688422896,-0.017514350443273766
