CV48,CV6,J_abs,J_delta,J_relative,M6_48h_nm6_per_nm3,M6_6h_nm6_per_nm3,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,Sv48_nm_inv,Sv6_nm_inv,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,mathematical_combination,matrix_xAg,refinement_reason,relative_change,scan_grid
0.0,0.0,0.3420670783687192,0.032379533584969936,0.04482583561210297,73.19702166298092,42.359387536447294,6.637485527095724,11.469574990821409,True,23.4,1.2,19.5,0.003067890429769701,0.0036814685157236407,356237.61016735336,False,5.686013362460329e-05,1.2960729774774742,1.2960161173438496,True,0.0062,minimum_J_abs,4.387301428097717e-05,local_refine
0.0,0.0,0.34206810654655057,0.03237765971984045,0.044824134383656664,74.13946108660913,42.686065184008555,6.553111727464388,11.381798013478164,True,23.5,1.2020460358056266,19.55,0.0030548355768770636,0.0036720529952230688,356237.61016735336,False,6.206703465649888e-05,1.296077272286774,1.2960152052521174,True,0.0062,minimum_J_abs,4.7890668570068825e-05,local_refine
0.0,0.0,0.34206825499459026,0.03237547031507673,0.04482214665090118,75.08995549921916,43.34445056267605,6.470161936899804,11.20891291982159,True,23.6,1.2010178117048347,19.65,0.0030418913583309735,0.0036533657026265134,356237.61016735336,False,6.815091519585259e-05,1.2960816840072251,1.2960135330920293,True,0.0062,minimum_J_abs,5.2585033609377616e-05,local_refine
0.0,0.0,0.3420687085171875,0.03237331149540204,0.04482018666159018,76.0485391773598,44.009571283194326,6.388606239778861,11.03951158233787,True,23.7,1.2,19.75,0.0030290563736966665,0.0036348676484359997,356237.61016735336,False,7.415000783783654e-05,1.296086211118322,1.2960120611104842,True,0.0062,minimum_J_abs,5.7213979763661555e-05,local_refine
0.0,0.0,0.3420692326564386,0.03237798796047427,0.0448244323969164,74.13946108660913,42.359387536447294,6.553111727464388,11.469574990821409,True,23.5,1.205128205128205,19.5,0.0030548355768770636,0.0036814685157236407,356237.61016735336,False,6.115494292435741e-05,1.296077272286774,1.2960161173438496,True,0.0062,minimum_J_abs,4.718686913376728e-05,local_refine
0.0,0.0,0.3420692561272768,0.03237576211829876,0.044822411586951647,75.08995549921916,43.01441809789528,6.470161936899804,11.294914435639443,True,23.6,1.2040816326530612,19.6,0.0030418913583309735,0.0036626855130923973,356237.61016735336,False,6.734004550823514e-05,1.2960816840072251,1.2960143439617169,True,0.0062,minimum_J_abs,5.1959336578318224e-05,local_refine
0.0,0.0,0.3420695865358032,0.03237356740645706,0.04482041901421595,76.0485391773598,43.676166862919544,6.388606239778861,11.123782300754574,True,23.7,1.2030456852791878,19.7,0.0030290563736966665,0.0036440932008431973,356237.61016735336,False,7.34388522443119e-05,1.296086211118322,1.2960127722660777,True,0.0062,minimum_J_abs,5.666522260880509e-05,local_refine
0.0,0.0,0.34207021942583893,0.032371403280262515,0.04481845418614704,77.01524639757999,44.344668108069015,6.308415471482727,10.956089934657626,True,23.8,1.202020202020202,19.8,0.0030163292460760925,0.0036256886897278275,356237.61016735336,False,7.945286804367235e-05,1.2960908521234695,1.2960113992554259,True,0.0062,minimum_J_abs,6.130568611458123e-05,local_refine
0.0,0.0,0.34207031951341904,0.032376072067586116,0.044822692997493245,75.08995549921916,42.686065184008555,6.470161936899804,11.381798013478164,True,23.6,1.2071611253196932,19.55,0.0030418913583309735,0.0036720529952230688,356237.61016735336,False,6.647875510767953e-05,1.2960816840072251,1.2960152052521174,True,0.0062,minimum_J_abs,5.129473391845525e-05,local_refine
0.0,0.0,0.34207052588080333,0.03237384119263012,0.04482066759579592,76.0485391773598,43.34445056267605,6.388606239778861,11.20891291982159,True,23.7,1.2061068702290076,19.65,0.0030290563736966665,0.0036533657026265134,356237.61016735336,False,7.267802629273845e-05,1.296086211118322,1.2960135330920293,True,0.0062,minimum_J_abs,5.607813841213772e-05,local_refine
