CV48,CV6,J_abs,J_delta,J_relative,M6_48h_nm6_per_nm3,M6_6h_nm6_per_nm3,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,Sv48_nm_inv,Sv6_nm_inv,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,mathematical_combination,matrix_xAg,refinement_reason,relative_change,scan_grid
0.5,0.0,0.3550268375521683,0.025834981862165735,0.038776536500244776,665052.5777504478,365.6165211595107,0.005442909751044292,1.328835388438545,True,200.0,5.0,40.0,0.0002297236353811553,0.0017947159014152746,356237.61016735336,False,0.019267359064296663,1.3169587806122225,1.2976914215479258,True,0.0062,registered_coarse_grid,0.014847411907303796,coarse
0.5,0.0,0.3550268375521683,0.025834981862165735,0.038776536500244776,665052.5777504478,365.6165211595107,0.005442909751044292,1.328835388438545,True,200.0,5.0,40.0,0.0002297236353811553,0.0017947159014152746,356237.61016735336,False,0.019267359064296663,1.3169587806122225,1.2976914215479258,True,0.0062,maximum_positive_delta,0.014847411907303796,local_refine
0.5,0.0,0.3550246510278703,0.02583628119926437,0.03877776317324497,664055.4975901251,365.6165211595107,0.005451082286844218,1.328835388438545,True,199.9,4.9975000000000005,40.0,0.0002298385546584844,0.0017947159014152746,356237.61016735336,False,0.019263317194660345,1.3169547387425862,1.2976914215479258,True,0.0062,maximum_positive_delta,0.014844297245706128,local_refine
0.5,0.0,0.35501244050742764,0.0258368509103477,0.0387782725479589,662064.3280109186,364.24717231851076,0.005467476508318023,1.333831004979521,True,199.7,4.99874843554443,39.95,0.00023006873848888858,0.0017969621040453316,356237.61016735336,False,0.01926154501691979,1.316946646127528,1.2976851011106083,True,0.0062,maximum_positive_delta,0.014843003900125714,local_refine
0.5,0.0,0.3550346752823961,0.025837014963132142,0.03877848438600267,665052.5777504478,366.98929765539634,0.005442909751044292,1.3238646876584295,True,200.0,4.993757802746567,40.05,0.0002297236353811553,0.001792475307281173,356237.61016735336,False,0.019261034708033087,1.3169587806122225,1.2976977459041894,True,0.0062,maximum_positive_delta,0.014842466027875147,local_refine
0.5,0.0,0.3550002286970686,0.025837425707593367,0.03877878674452788,660077.1427617068,362.8812468478279,0.0054839365369478334,1.338851693590779,True,199.5,5.0,39.9,0.00023029938384075706,0.0017992139362559146,356237.61016735336,False,0.019259757037656033,1.3169385416563961,1.29767878461874,True,0.0062,maximum_positive_delta,0.014841698320061986,local_refine
0.5,0.0,0.355022462934483,0.025837581519821684,0.038778990763248394,663059.4145098781,365.6165211595107,0.005459271192266776,1.328835388438545,True,199.8,4.995,40.0,0.00022995358897012525,0.0017947159014152746,356237.61016735336,False,0.019259272367512015,1.3169506939154378,1.2976914215479258,True,0.0062,maximum_positive_delta,0.014841180305052003,local_refine
0.5,0.0,0.3550102492707877,0.025838153149969036,0.038779501950187346,661070.2375944583,364.24717231851076,0.005475698276127322,1.333831004979521,True,199.6,4.996245306633291,39.95,0.00023018400338793105,0.0017969621040453316,356237.61016735336,False,0.019257494264992125,1.3169425953756004,1.2976851011106083,True,0.0062,maximum_positive_delta,0.014839882378637799,local_refine
0.5,0.0,0.35503248875809806,0.025838314351355224,0.038779711083833934,664055.4975901251,366.98929765539634,0.005451082286844218,1.3238646876584295,True,199.9,4.991260923845194,40.05,0.0002298385546584844,0.001792475307281173,356237.61016735336,False,0.01925699283839677,1.3169547387425862,1.2976977459041894,True,0.0062,maximum_positive_delta,0.014839351381456848,local_refine
0.5,0.0,0.3549980343103944,0.02583872987064093,0.03878001796305283,659085.0430138736,362.8812468478279,0.0054921913321569005,1.338851693590779,True,199.4,4.99749373433584,39.9,0.00023041488002121898,0.0017992139362559146,356237.61016735336,False,0.01925570034790991,1.31693448496665,1.29767878461874,True,0.0062,maximum_positive_delta,0.014838572207657122,local_refine
