matrix_mode,descriptor_model,kappa_MAPE_percent,kappa_RMS_relative_percent,kappa_max_relative_percent,delta_kappa_signal_NRMSE_percent,delta_kappa_max_abs_error_W_mK,ABC_delta_order_exact_fraction,comparison_cells
fixed_6h_matrix,Nv_plus_mean_R,0.34927962785633992,0.4062246614425209,1.2938191563343189,291.29645685303586,0.027503927404390449,0.31493506493506496,945
fixed_6h_matrix,Nv_plus_mean_R_plus_CV_lognormal,0.037118469418077393,0.052305290971219866,0.17340896714056495,42.941691147863182,0.0039508662299798658,0.25974025974025972,945
fixed_6h_matrix,Sv_geometric_limit,3.8969956313865564,4.0897480500625454,8.793786468650886,3223.1129186761264,0.1458509349515249,0.45454545454545453,945
fixed_6h_matrix,Sv_plus_M6,0.095118114603498283,0.10573587313581477,0.28406346379900238,63.220292684760395,0.0054457504293075054,0.2564935064935065,945
fixed_6h_matrix,full_PSD,0,0,0,0,0,1,945
pf_time_varying_matrix,Nv_plus_mean_R,0.35062681682792129,0.40780583837604806,1.2966960882193428,52.636827672264651,0.027488947434686217,0.44155844155844154,945
pf_time_varying_matrix,Nv_plus_mean_R_plus_CV_lognormal,0.03732372729816983,0.052583661210141006,0.17415200513380738,7.7717805556508202,0.0039509426639550149,0.70779220779220775,945
pf_time_varying_matrix,Sv_geometric_limit,3.9180725655950237,4.1161210529550303,8.793786468650886,583.37139675390426,0.1458510233374386,0.6428571428571429,945
pf_time_varying_matrix,Sv_plus_M6,0.095525833831816981,0.10621226965119374,0.28539821782690933,11.426841375477752,0.0054431521097351165,0.50974025974025972,945
pf_time_varying_matrix,full_PSD,0,0,0,0,0,1,945
