replicate,step,age_h,elapsed_physical_time_s,particle_count,Nv_m-3,mean_radius_nm,std_radius_nm,CV,Sv_nm-1,M6_nm3,beta_volume_fraction,matrix_xAg,matrix_xB,full_psd_multiset_sha256,registered_id_radius_sha256
A,0,6,0,96,6.4486070202760325e+21,9.5416094639143871,0.77364551645683621,0.081081238902378311,0.0074261690314816695,5.357826016570332,0.02392960975909118,0.006203008315588036,0.0062223069064392339,a7150a4ca2a2550e9f79b3dbc9fe03912c6b3fb7ab3647119d41aa1e7008d36d,d761f87d7ad9a2be969c929fba0d8828c2d076f677f8572c013bdc4f9c654a8f
A,3633,7.0000095845504964,3600.0345043817879,85,5.7097041325360708e+21,9.4003622822620247,2.0238532257497583,0.21529523703237055,0.0066342292682680104,6.3710865091365063,0.022464857437152434,0.007691146078945524,0.0077208527203709151,7e4ab59c1258b6ddc05990fefddd5ab7f6d0526764e6174c50172aee1e327068,6bc24b8109e6a846a2ed5d61b2f91d7c16ffc0279e95d450fc94c06dd0da8b3c
A,7266,8.0000191691009928,7200.0690087635758,61,4.0975523774670627e+21,10.593892082114651,2.120463871874998,0.20015909690593442,0.0060104278867226359,9.0588980473208593,0.022764745030450645,0.0073805153529494872,0.0074078571086864673,ac9366fe5511c5dea761d34c158f2bca0e6c25758ec0a4c1af86d1982b037f0a,721c84f4dd4ff3f190630642e071301f3b74119cc4611ef9bf13cc9307e01bec
A,10899,9.00002875365149,10800.103513145363,49,3.2914764999325584e+21,11.193285311704186,2.8732920178828198,0.25669782712305034,0.0055236950742713602,12.048478303782233,0.022875862324521257,0.0072702283939443989,0.0072967600761607229,200d36e6f0826bc5ddbf91dc25ec3b23d11242f2352a069e81eea05a9648bd50,f445b088fd05569e6948a4b79232f7a94da547b3b29cb943bd9c72bd5c2f1bc3
A,14532,10.000038338201986,14400.138017527152,37,2.4854006223980541e+21,12.649657017302065,2.2849452223919595,0.18063297836981951,0.0051606900814325559,15.000087618532305,0.023075413772433148,0.0070666959836979968,0.0070917566679025781,c1df585b9c6e75863ccb336242620b659cdd83ae67c2a5d749f2a6c5c64f3b9a,8b121f9489fce3cb553e016c9d6f83c66852691ba6f8e4d5327e2ed695ff2cfd
A,18165,11.000047922752483,18000.172521908939,33,2.2167086632198862e+21,13.096196340475631,2.5386749437363356,0.19384826538452274,0.0049571177653076883,17.537418714586682,0.023156531166415265,0.0069821933843130643,0.007006657211737397,7cc8c81b73d515cbd67358886bea373c6c8d5364976c7f0c2b7aff0b787531d4,a7003457ef23cf4e67508a35bc0b4fcd94ab83a3409282f83780f4cbd8d3c4e2
A,21798,12.00005750730298,21600.207026290725,31,2.0823626836308022e+21,13.027173999960985,3.4734375871945242,0.26663016761769875,0.0047565634737017307,20.503804741428183,0.023155118796488197,0.0069855095023743262,0.0070099989987237677,9b91a20e8563e70ac809662525fdb4524bce2ea23066958ac3a7c21e88da62bb,d0edca2efa6ac5d102caaee8b8a03d306187ad7776667a72ee8d21fa964b5710
A,25431,13.000067091853477,25200.241530672516,27,1.8136707244526343e+21,13.468937432225955,4.0105866605609801,0.29776563153119995,0.0045012070233184853,24.434606774025994,0.023203847776354713,0.0069379930449437093,0.0069621495507189201,43a06a4520bd1962f786b88389341c88d39483d8aaefc11d07c831c0d060208d,942fed19886ec38dcffe86a77b14201807334457932ae8f5d9a4c8b40e6c5f01
A,29064,14.000076676403973,28800.276035054303,22,1.4778057754799241e+21,14.750672942695275,3.6284120451764323,0.24598281442971517,0.0042851364322066335,28.295499010761553,0.023308506205909418,0.0068318822625362706,0.0068553025006848666,88142e90603138ef79e9f63acb5e9cb113cda24f0a224dd7f3ba5120069c4cd7,ec08e28b2f9d638b8b575b77d0454ddfb6fec439a3c5dbb6a69071cae486a802
A,32697,15.00008626095447,32400.31053943609,19,1.2762868060962981e+21,15.627657887354994,3.5343614157596668,0.22616065959694892,0.004117276833469157,31.956988037551053,0.023392905366125354,0.0067448879252799392,0.0067677137687702201,17ad6e3450cbb420714986a69e81995b2925ba1e2c40e1188751ea34794cd3a3,3b36a2993088cc396f25500e1cf6352a8434c32677466ef9ac8393b97436149e
