replicate,step,age_h,temperature_K,matrix_xAg_6h_fixed,matrix_xAg_pf,kappa_L_no_dis_fixed_6h_matrix_W_mK,kappa_L_no_dis_pf_time_varying_matrix_W_mK,delta_kappa_PSD_W_mK,delta_kappa_PSD_plus_matrix_W_mK,delta_kappa_matrix_given_PSD_W_mK
A,0,6,300,0.006203008315588036,0.006203008315588036,2.2864720169483053,2.2864720169483053,0,0,0
A,0,6,350,0.006203008315588036,0.006203008315588036,2.0068480593672016,2.0068480593672016,0,0,0
A,0,6,400,0.006203008315588036,0.006203008315588036,1.7880943499369617,1.7880943499369617,0,0,0
A,0,6,450,0.006203008315588036,0.006203008315588036,1.6123294798174637,1.6123294798174637,0,0,0
A,0,6,500,0.006203008315588036,0.006203008315588036,1.4680321553445097,1.4680321553445097,0,0,0
A,0,6,550,0.006203008315588036,0.006203008315588036,1.3474530160787601,1.3474530160787601,0,0,0
A,0,6,600,0.006203008315588036,0.006203008315588036,1.2451910446363788,1.2451910446363788,0,0,0
A,3633,7.0000095845504964,300,0.006203008315588036,0.007691146078945524,2.2912446267004105,2.2377802890774237,0.0047726097521052502,-0.048691727870881607,-0.053464337622986857
A,3633,7.0000095845504964,350,0.006203008315588036,0.007691146078945524,2.010495405992704,1.9686888542830585,0.0036473466255024789,-0.038159205084143055,-0.041806551709645534
A,3633,7.0000095845504964,400,0.006203008315588036,0.007691146078945524,1.7909720268465499,1.7573857518123228,0.0028776769095881782,-0.030708598124638886,-0.033586275034227064
A,3633,7.0000095845504964,450,0.006203008315588036,0.007691146078945524,1.6146576763665945,1.5870839349750185,0.0023281965491308565,-0.025245544842445122,-0.027573741391575979
A,3633,7.0000095845504964,500,0.006203008315588036,0.007691146078945524,1.4699544446084163,1.446910952863957,0.0019222892639065847,-0.021121202480552714,-0.023043491744459299
A,3633,7.0000095845504964,550,0.006203008315588036,0.007691146078945524,1.349066988382311,1.329521698160862,0.0016139723035508702,-0.017931317917898149,-0.019545290221449019
A,3633,7.0000095845504964,600,0.006203008315588036,0.007691146078945524,1.2465653415018958,1.2297775960017765,0.001374296865517044,-0.015413448634602256,-0.0167877455001193
A,7266,8.0000191691009928,300,0.006203008315588036,0.0073805153529494872,2.2883248289270459,2.2455727712677245,0.0018528119787406538,-0.040899245680580787,-0.042752057659321441
A,7266,8.0000191691009928,350,0.006203008315588036,0.0073805153529494872,2.0082826320320835,1.9748911978108745,0.0014345726648818946,-0.031956861556327043,-0.033391434221208938
A,7266,8.0000191691009928,400,0.006203008315588036,0.0073805153529494872,1.7892373836747633,1.7624363815912794,0.0011430337378015576,-0.025657968345682347,-0.026801002083483905
A,7266,8.0000191691009928,450,0.006203008315588036,0.0073805153529494872,1.6132614014194262,1.5912748979135933,0.00093192160196253759,-0.021054581903870329,-0.021986503505832866
A,7266,8.0000191691009928,500,0.006203008315588036,0.0073805153529494872,1.4688063851804587,1.4504437700257764,0.00077422983594899186,-0.017588385318733302,-0.018362615154682294
A,7266,8.0000191691009928,550,0.006203008315588036,0.0073805153529494872,1.3481063916399989,1.3325397104362389,0.00065337556123878926,-0.014913305642521246,-0.015566681203760036
A,7266,8.0000191691009928,600,0.006203008315588036,0.0073805153529494872,1.2457497774321797,1.2323854574353112,0.00055873279580098689,-0.012805587201067503,-0.01336431999686849
A,10899,9.00002875365149,300,0.006203008315588036,0.0072702283939443989,2.2867980503535281,2.2478571311340483,0.00032603340522285862,-0.038614885814256983,-0.038940919219479841
A,10899,9.00002875365149,350,0.006203008315588036,0.0072702283939443989,2.0071104238517865,1.976713309133034,0.00026236448458494266,-0.030134750234167562,-0.030397114718752505
A,10899,9.00002875365149,400,0.006203008315588036,0.0072702283939443989,1.7883091567189033,1.7639226289328627,0.00021480678194163438,-0.024171721004099034,-0.024386527786040668
A,10899,9.00002875365149,450,0.006203008315588036,0.0072702283939443989,1.6125082072460042,1.5925098350507432,0.00017872742854052603,-0.01981964476672049,-0.019998372195261016
A,10899,9.00002875365149,500,0.006203008315588036,0.0072702283939443989,1.4681830069877293,1.4514859311903414,0.0001508516432195961,-0.016546224154168288,-0.016697075797387884
A,10899,9.00002875365149,550,0.006203008315588036,0.0072702283939443989,1.3475819458073262,1.3334308376832524,0.00012892972856604068,-0.014022178395507678,-0.014151108124073719
A,10899,9.00002875365149,600,0.006203008315588036,0.0072702283939443989,1.2453024530501942,1.2331560909513579,0.00011140841381540589,-0.012034953685020833,-0.012146362098836239
A,14532,10.000038338201986,300,0.006203008315588036,0.0070666959836979968,2.2852401573300063,2.253506683195404,-0.0012318596182989694,-0.032965333752901227,-0.031733474134602258
A,14532,10.000038338201986,350,0.006203008315588036,0.0070666959836979968,2.0059062674997064,1.9811543451817766,-0.00094179186749521193,-0.025693714185424987,-0.024751922317929775
A,14532,10.000038338201986,400,0.006203008315588036,0.0070666959836979968,1.7873507157376984,1.7675053277137915,-0.00074363419926326557,-0.020589022223170161,-0.019845388023906896
A,14532,10.000038338201986,450,0.006203008315588036,0.0070666959836979968,1.6117273262504357,1.5954611200457103,-0.00060215356702797429,-0.016868359771753383,-0.016266206204725409
A,14532,10.000038338201986,500,0.006203008315588036,0.0070666959836979968,1.4675345768675991,1.4539592420327128,-0.00049757847691056512,-0.014072913311796942,-0.013575334834886377
A,14532,10.000038338201986,550,0.006203008315588036,0.0070666959836979968,1.3470349305072262,1.3355336269257967,-0.00041808557153388826,-0.011919389152963422,-0.011501303581429534
A,14532,10.000038338201986,600,0.006203008315588036,0.0070666959836979968,1.244834802909643,1.2349658457479866,-0.00035624172673576204,-0.010225198888392129,-0.0098689571616563665
A,18165,11.000047922752483,300,0.006203008315588036,0.0069821933843130643,2.2845841834566984,2.2558636640590133,-0.0018878334916068162,-0.030608352889291979,-0.028720519397685162
A,18165,11.000047922752483,350,0.006203008315588036,0.0069821933843130643,2.0053899517475062,1.9829963315801031,-0.0014581076196953369,-0.023851727787098431,-0.022393620167403094
A,18165,11.000047922752483,400,0.006203008315588036,0.0069821933843130643,1.7869340956823832,1.7689847381042698,-0.0011602542545785521,-0.019109611832691886,-0.017949357578113334
A,18165,11.000047922752483,450,0.006203008315588036,0.0069821933843130643,1.6113842412122819,1.5966755773108201,-0.00094523860518180847,-0.015653902506643558,-0.014708663901461749
A,18165,11.000047922752483,500,0.006203008315588036,0.0069821933843130643,1.4672472285834492,1.4549741741235891,-0.000784926761060456,-0.013057981220920611,-0.012273054459860155
A,18165,11.000047922752483,550,0.006203008315588036,0.0069821933843130643,1.3467908086416973,1.3363945355089586,-0.00066220743706280061,-0.011058480569801521,-0.01039627313273872
A,18165,11.000047922752483,600,0.006203008315588036,0.0069821933843130643,1.2446248661725741,1.2357053605587027,-0.00056617846380468961,-0.0094856840776760265,-0.0089195056138713369
A,21798,12.00005750730298,300,0.006203008315588036,0.0069855095023743262,2.2843640018064093,2.2554958398609664,-0.0021080151418959581,-0.030976177087338908,-0.028868161945442949
A,21798,12.00005750730298,350,0.006203008315588036,0.0069855095023743262,2.0052011022441816,1.9826951585910411,-0.0016469571230199875,-0.024152900776160502,-0.022505943653140514
A,21798,12.00005750730298,400,0.006203008315588036,0.0069855095023743262,1.7867724067837345,1.7687347035637817,-0.0013219431532272008,-0.019359646373179995,-0.018037703219952794
A,21798,12.00005750730298,450,0.006203008315588036,0.0069855095023743262,1.6112451792199018,1.5964651977146553,-0.0010843005975618158,-0.015864282102808325,-0.014779981505246509
A,21798,12.00005750730298,500,0.006203008315588036,0.0069855095023743262,1.4671268206870489,1.4547949789800503,-0.00090533465746078789,-0.013237176364459424,-0.012331841706998636
A,21798,12.00005750730298,550,0.006203008315588036,0.0069855095023743262,1.3466857891792501,1.3362402189777187,-0.00076722689951003176,-0.011212797101041394,-0.010445570201531362
A,21798,12.00005750730298,600,0.006203008315588036,0.0069855095023743262,1.2445326068371529,1.2355711650628962,-0.00065843779922580836,-0.0096198795734825371,-0.0089614417742567287
A,25431,13.000067091853477,300,0.006203008315588036,0.0069379930449437093,2.2839316323642924,2.2567487654626919,-0.0025403845840128447,-0.029723251485613389,-0.027182866901600544
A,25431,13.000067091853477,350,0.006203008315588036,0.0069379930449437093,2.0048378895996071,1.9836522341794396,-0.0020101697675944941,-0.023195825187761976,-0.021185655420167482
A,25431,13.000067091853477,400,0.006203008315588036,0.0069379930449437093,1.786465582515085,1.7694900493546322,-0.0016287674218766757,-0.018604300582329536,-0.01697553316045286
A,25431,13.000067091853477,450,0.006203008315588036,0.0069379930449437093,1.6109837563994303,1.5970767450984436,-0.0013457234180334066,-0.015252734719020111,-0.013907011300986705
A,25431,13.000067091853477,500,0.006203008315588036,0.0069379930449437093,1.4669020255579879,1.4553003610954931,-0.0011301297865218274,-0.012731794249016604,-0.011601664462494776
A,25431,13.000067091853477,550,0.006203008315588036,0.0069379930449437093,1.346490760914073,1.3366649589261639,-0.00096225516468706473,-0.010788057152596231,-0.0098258019879091663
A,25431,13.000067091853477,600,0.006203008315588036,0.0069379930449437093,1.2443619928592757,1.2359331925666523,-0.00082905177710301814,-0.0092578520697264022,-0.008428800292623384
A,29064,14.000076676403973,300,0.006203008315588036,0.0068318822625362706,2.2833340804536122,2.2599857518210782,-0.0031379364946930721,-0.026486265127227071,-0.023348328632533999
A,29064,14.000076676403973,350,0.006203008315588036,0.0068318822625362706,2.0043493162296948,1.9861602086609922,-0.0024987431375067537,-0.020687850706209376,-0.018189107568702623
A,29064,14.000076676403973,400,0.006203008315588036,0.0068318822625362706,1.7860603076885728,1.771490912353813,-0.0020340422483888787,-0.01660343758314875,-0.014569395334759871
A,29064,14.000076676403973,450,0.006203008315588036,0.0068318822625362706,1.6106429345738642,1.598710505282475,-0.0016865452435994577,-0.013618974534988615,-0.011932429291389157
A,29064,14.000076676403973,500,0.006203008315588036,0.0068318822625362706,1.4666118212530375,1.4566597538048249,-0.0014203340914722418,-0.011372401539684773,-0.0099520674482125315
A,29064,14.000076676403973,550,0.006203008315588036,0.0068318822625362706,1.3462409034718659,1.3378138652059877,-0.0012121126068942445,-0.0096391508727724506,-0.0084270382658782061
A,29064,14.000076676403973,600,0.006203008315588036,0.0068318822625362706,1.2441447474376055,1.2369170634299045,-0.0010462971987732494,-0.0082739812064742679,-0.0072276840077010185
A,32697,15.00008626095447,300,0.006203008315588036,0.0067448879252799392,2.2829249900820798,2.2627427645202971,-0.0035470268662254334,-0.023729252428008163,-0.02018222556178273
A,32697,15.00008626095447,350,0.006203008315588036,0.0067448879252799392,2.0040059855430763,1.9882890680154355,-0.0028420738241252685,-0.018558991351766085,-0.015716917527640817
A,32697,15.00008626095447,400,0.006203008315588036,0.0067448879252799392,1.7857703381672119,1.7731847650295873,-0.0023240117697498341,-0.014909584907374374,-0.012585573137624539
A,32697,15.00008626095447,450,0.006203008315588036,0.0067448879252799392,1.6103958423005333,1.6000905763376605,-0.0019336375169303199,-0.012238903479803165,-0.010305265962872845
A,32697,15.00008626095447,500,0.006203008315588036,0.0067448879252799392,1.4663992918924915,1.4578059951167706,-0.0016328634520181851,-0.010226160227739145,-0.00859329677572096
A,32697,15.00008626095447,550,0.006203008315588036,0.0067448879252799392,1.3460564561227553,1.3387811577754416,-0.0013965599560048503,-0.0086718583033185137,-0.0072752983473136634
A,32697,15.00008626095447,600,0.006203008315588036,0.0067448879252799392,1.2439833336501949,1.2377443389454832,-0.0012077109861838853,-0.0074467056908955609,-0.0062389947047116756
A,36330,16.000095845504966,300,0.006203008315588036,0.0066998670904765325,2.2827612152735401,2.2642106859384565,-0.0037108016747651185,-0.022261331009848728,-0.01855052933508361
A,36330,16.000095845504966,350,0.006203008315588036,0.0066998670904765325,2.0038293349830565,1.9893874141133125,-0.0030187243841450773,-0.017460645253889018,-0.014441920869743941
A,36330,16.000095845504966,400,0.006203008315588036,0.0066998670904765325,1.7855988734101793,1.7740369594818335,-0.002495476526782392,-0.014057390455128216,-0.011561913928345824
A,36330,16.000095845504966,450,0.006203008315588036,0.0066998670904765325,1.610236078167224,1.6007707616058975,-0.0020934016502396346,-0.011558718211566177,-0.0094653165613265422
A,36330,16.000095845504966,500,0.006203008315588036,0.0066998670904765325,1.46625301284781,1.4583613320873867,-0.0017791424966997482,-0.0096708232571229846,-0.0078916807604232364
A,36330,16.000095845504966,550,0.006203008315588036,0.0066998670904765325,1.3459234905528465,1.3392430488602391,-0.0015295255259135665,-0.0082099672185209638,-0.0066804416926073973
A,36330,16.000095845504966,600,0.006203008315588036,0.0066998670904765325,1.2438627414519747,1.2381344901765925,-0.0013283031844040227,-0.0070565544597862573,-0.0057282512753822346
A,39963,17.000105430055463,300,0.006203008315588036,0.0066532051736125546,2.2826233424214517,2.265789512233543,-0.0038486745268535572,-0.020682504714762295,-0.016833830187908738
A,39963,17.000105430055463,350,0.006203008315588036,0.0066532051736125546,2.0037097046231152,1.9906064835387696,-0.0031383547440864135,-0.016241575828431998,-0.013103221084345584
A,39963,17.000105430055463,400,0.006203008315588036,0.0066532051736125546,1.7854955314045893,1.7750067685770758,-0.0025988185323724267,-0.013087581359885858,-0.010488762827513431
A,39963,17.000105430055463,450,0.006203008315588036,0.0066532051736125546,1.6101465616488249,1.6015607397345777,-0.0021829181686388033,-0.010768740082885975,-0.0085858219142471714
A,39963,17.000105430055463,500,0.006203008315588036,0.0066532051736125546,1.4661750485892837,1.4590172994653743,-0.0018571067552259901,-0.0090148558791354194,-0.0071577491239094293
A,39963,17.000105430055463,550,0.006203008315588036,0.0066532051736125546,1.3458551553796467,1.3397964682630275,-0.0015978606991133848,-0.0076565478157326616,-0.0060586871166192768
A,39963,17.000105430055463,600,0.006203008315588036,0.0066532051736125546,1.2438024574987736,1.2386076840545688,-0.0013885871376051462,-0.0065833605818099716,-0.0051947734442048255
A,43596,18.00011501460596,300,0.006203008315588036,0.0066675039481570433,2.2827781430373664,2.2654097789820589,-0.0036938739109388941,-0.0210622379662464,-0.017368364055307506
