scenario,parameter_set,time_s,time_h,matrix_xB,g_number_density_m3,g_mean_radius_m,g_mean_radius_nm,g_mean_radius_cubed_m3,g_specific_surface_area_m_inv,g_volume_fraction,g_B_inventory_mol_m3,beta_number_density_m3,beta_mean_radius_m,beta_mean_radius_nm,beta_mean_radius_cubed_m3,beta_specific_surface_area_m_inv,beta_volume_fraction,beta_B_inventory_mol_m3,C_B_total_mol_m3,C_B_matrix_mol_m3,C_B_GP_mol_m3,C_B_beta_mol_m3,inventory_residual_mol_m3,inventory_relative_residual,matrix_Ag_at_fraction
effective_cnt,1,0.0,0.0,0.007830537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,0.0,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,1800.0,0.5,0.007830537,4.235996192915859e-20,3.92387588875568e-09,3.92387588875568,6.042712911436447e-26,8.196433846025878e-36,1.0722008122172597e-44,4.24577978200645e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,4.24577978200645e-42,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,3600.0,1.0,0.007830537,8.471992385831719e-20,3.9057413205091846e-09,3.9057413205091844,5.963289103089031e-26,1.624535769931617e-35,2.1162161808870308e-44,8.37994876779149e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,8.37994876779149e-42,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,7200.0,2.0,0.007830537,1.6942501168257196e-19,3.850144518573895e-09,3.850144518573895,5.737919899081645e-26,3.1619460277818133e-35,4.072120442505961e-44,1.6125082584980956e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,1.6125082584980956e-41,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,14400.0,4.0,0.007830537,3.2198709808768905e-19,3.709299264053872e-09,3.709299264053872,5.258516368222345e-26,5.629012683614759e-35,7.09235244915975e-44,2.808481983261611e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,2.808481983261611e-41,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,21600.0,6.0,0.007830537,4.129694300118091e-19,3.6450458141240066e-09,3.6450458141240065,5.0718433004265453e-26,7.013274209766865e-35,8.77348909683565e-44,3.47419086056902e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,3.47419086056902e-41,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,28800.0,8.0,0.007830537,4.565975099359967e-19,3.6330840861594495e-09,3.6330840861594496,5.079993346637909e-26,7.732324479344662e-35,9.715950454759147e-44,3.847393653665124e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,3.847393653665124e-41,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,57600.0,16.0,0.007830537,5.07064172199073e-19,3.765113143281273e-09,3.7651131432812734,6.448846701915571e-26,9.550351020303605e-35,1.369725648486444e-43,5.423940551969116e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,5.423940551969116e-41,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,86400.0,24.0,0.007830537,5.34613538266559e-19,4.060982711664541e-09,4.060982711664542,1.1260537737802265e-25,1.2851781515984565e-34,2.521666750584739e-43,9.985481809559704e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,9.985481809559704e-41,0.0,0.0,0.0,0.007799997913867769
effective_cnt,1,172800.0,48.0,0.007830537,6.15758683173617e-19,5.5607081204064015e-09,5.560708120406401,6.421503138433789e-25,3.815050460022509e-34,1.6562879919409357e-42,6.55869123510601e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,6.55869123510601e-40,0.0,0.0,0.0,0.007799997913867769
effective_cnt,2,0.0,0.0,0.007830537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,0.0,0.0,0.0,0.0,0.007799997913867769
effective_cnt,2,1800.0,0.5,0.005694442794145844,4.3137783390445104e+24,1.054230306121839e-09,1.054230306121839,1.1807582830256825e-27,60386624.84822541,0.021335726498181905,55.05106878659793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,135.89572338097503,55.05106878659793,0.0,0.0,0.0,0.005678275486681689
effective_cnt,2,3600.0,1.0,0.005651188195300548,4.102557767715305e+24,1.0739552300058504e-09,1.0739552300058504,1.2661433365995847e-27,59852141.588373385,0.0217583615048151,56.141564056293625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.80522811127935,56.141564056293625,0.0,0.0,0.0,0.005635265223147329
effective_cnt,2,7200.0,2.0,0.005654488989001392,3.55052728125996e+24,1.114262814802899e-09,1.114262814802899,1.4608336547079357e-27,56320724.38935551,0.021726122748314192,56.05838066894203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.88841149863094,56.05838066894203,0.0,0.0,0.0,0.005638547436803708
effective_cnt,2,14400.0,4.0,0.0057616089681435225,1.78397527818347e+24,1.3626117463253095e-09,1.3626117463253096,2.7672374644710744e-27,42854604.410136655,0.020678730339021834,53.355867980872674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,137.5909241867003,53.355867980872674,0.0,2.842170943040401e-14,1.4884622625899578e-16,0.005745058577631826
effective_cnt,2,21600.0,6.0,0.005749161704805703,1.1387784369842094e+24,1.5801753208749696e-09,1.5801753208749696,4.3606076274361766e-27,37013168.574909426,0.020800551721500644,53.670195093525294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,137.2765970740477,53.670195093525294,0.0,2.842170943040401e-14,1.4884622625899578e-16,0.005732682645041365
effective_cnt,2,28800.0,8.0,0.005739165857651954,9.318847053890649e+23,1.7135576725257002e-09,1.7135576725257002,5.353790778170444e-27,35134573.018898085,0.02089835915076109,53.92256069806732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,137.02423146950565,53.92256069806732,0.0,0.0,0.0,0.005722743969251748
effective_cnt,2,57600.0,16.0,0.005733210870852031,6.831933792347448e+23,1.8888575211306163e-09,1.8888575211306162,7.32299848206948e-27,31556132.546435818,0.02095661825682759,54.0728825563732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,136.87390961119976,54.0728825563732,0.0,0.0,0.0,0.005716822994981249
effective_cnt,2,86400.0,24.0,0.005729439596276548,6.030340492947658e+23,1.980627813705871e-09,1.9806278137058708,8.31102544785627e-27,30430826.56936002,0.02099350998152286,54.16807166905838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,136.7787204985146,54.16807166905838,0.0,0.0,0.0,0.005713073242251258
effective_cnt,2,172800.0,48.0,0.005724568531964258,4.626522907497167e+23,2.1444797799185284e-09,2.1444797799185285,1.0857410832199973e-26,27593125.57633372,0.021041156060639297,54.2910094832019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,136.65578268437108,54.2910094832019,0.0,0.0,0.0,0.005708229955176947
effective_cnt,6,0.0,0.0,0.007830537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,0.0,0.0,0.0,0.0,0.007799997913867769
effective_cnt,6,1800.0,0.5,0.005644499433666533,2.305983016418392e+24,3.215720647519935e-09,3.215720647519935,3.512718015116018e-26,305634587.50453806,0.33930323607762125,100.00815650746962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,90.93863566010334,100.00815650746962,0.0,0.0,0.0,0.005628614079175416
effective_cnt,6,3600.0,1.0,0.005643979871086197,2.224302679074751e+24,3.247145984674569e-09,3.247145984674569,3.6422830590740294e-26,301151398.0598645,0.3393565125430066,100.02385951446128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,90.92293265311169,100.02385951446128,0.0,0.0,0.0,0.005628097436763395
