population_branch,T_K,kappa_min_W_mK,kappa_max_W_mK,source_identity
T-A_all_host_modes,300.0,0.784067517601117,2.36264889968699,LITERAL_INPUT_ENVELOPE_NOT_A_UNIQUE_TAILORING_MODEL
T-B_count_fraction_diagnostic,300.0,1.9052375168212652,2.3299325607374404,LITERAL_INPUT_ENVELOPE_NOT_A_UNIQUE_TAILORING_MODEL
T-A_plus_T-B_literal_envelope,300.0,0.784067517601117,2.36264889968699,LITERAL_INPUT_ENVELOPE_NOT_A_UNIQUE_TAILORING_MODEL
