T_K,omega_rad_s,frequency_THz,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,small_precipitate_rate_s-1,big_precipitate_rate_s-1,total_rate_s-1,dkappa_dx_W_mK
300.0,391268356.674686,6.227229304021906e-05,390.36220917076776,170192307.69230768,8.27333082120506e-08,1.599815369334271e-07,0.0004616467225135095,170192698.05497876,1.3961021030155467e-05
300.0,2061505199.0329795,0.00032809874263574026,10836.45378915143,170192307.69230768,6.375573003041663e-05,0.0001232845621552585,0.35575301466261267,170203144.50203687,0.0003875341161441354
300.0,5066126476.407215,0.0008062990710489347,65444.08048923082,170192307.69230768,0.0023253353642905773,0.004496504896327435,12.975226932612232,170257764.75484565,0.0023396655447149492
300.0,9405348936.2302,0.001496907774705136,225563.14398635188,170192307.69230768,0.027623654593639534,0.053415907245978805,154.13827609738777,170418025.05560967,0.008056435724158775
300.0,15078603415.881594,0.002399834268559894,579749.7264161836,170192307.69230768,0.18248449121817484,0.35287056691533236,1018.2520751354377,170773076.20615402,0.020663861521676603
300.0,22085058399.26676,0.003514946212716487,1243699.3819222355,170192307.69230768,0.8397996577383664,1.6239220075201435,4686.028788295454,171440695.5667399,0.044156213481222555
300.0,30423669356.733692,0.004842077365117591,2360160.2929594885,170192307.69230768,3.024320793654401,5.84813419402947,16875.507259011712,172569352.36498114,0.0832469145700378
300.0,40093188073.957214,0.006381029066283318,4098826.1377867204,170192307.69230768,9.121449337215747,17.638161890140264,50896.98468844823,174342057.57439408,0.14310263459750042
300.0,51092165276.787865,0.008131570657068885,6656208.713020527,170192307.69230768,24.054632092355437,46.51448243920362,134222.4060717365,176982809.38051447,0.22892125739864652
300.0,63418951659.32775,0.01009343964228797,10255490.38734214,170192307.69230768,57.1028415424343,110.41986048456513,318624.97153585,180766590.5738877,0.345325387620069
300.0,77071698446.63803,0.012266341780270395,15146356.47833818,170192307.69230768,124.55501095798415,240.85223354492715,694983.8279595494,186034013.4058499,0.49557115096685894
300.0,92048357809.83005,0.014649951148925922,21604807.657821342,170192307.69230768,253.42278821158587,490.04407014138144,1413978.281845093,193211837.09883246,0.680623300883759
300.0,108346683239.1127,0.017243910205116595,29932952.50375366,170192307.69230768,486.4564536819409,940.6616582082664,2714009.42668359,202840696.74085683,0.8982237309005948
300.0,125964229914.63347,0.020047829843677912,40458780.32949065,170192307.69230768,888.7312045228692,1718.5410128105234,4957772.118466922,215611467.41248256,1.1421703873271443
300.0,144898355091.66205,0.023061289458722718,53535914.43351287,170192307.69230768,1556.0921312580547,3009.017938523733,8678934.852374325,232411722.08826464,1.4020937108140847
300.0,165146218507.5888,0.02628383700841701,69543345.92519349,170192307.69230768,2625.765998401667,5077.448040422501,14640331.797030455,254383688.62857044,1.6640103339588774
300.0,186704782814.29456,0.02971498908379373,88885148.2944025,170192307.69230768,4289.466288089893,8294.547953689846,23904869.16676253,282994909.1677145,1.9117896136068107
300.0,209570814037.68094,0.03335423098188929,111990172.90491301,170192307.69230768,6809.334778589439,13167.22156919194,37919903.13615247,320122360.28972095,2.129380201537137
300.0,233740882065.28702,0.03720101678335018,139311725.60362864,170192307.69230768,10537.078116945582,20375.56439380049,58615020.295098536,368149966.23354566,2.303307715035241
300.0,259211361162.47665,0.041254769434586704,171327224.64958742,170192307.69230768,15936.671321034193,30816.765232124508,88511752.35043624,430078038.1288845,2.4247550628664465
300.0,285978430517.424,0.04551488083451017,208537840.1784844,170192307.69230768,23611.01183042757,45656.6469528164,130841537.1886079,509640952.7181833,2.490628600882734
300.0,314038074815.03455,0.0499807119258752,251468115.4301844,170192307.69230768,34332.91754305911,66389.60706012374,189664912.5653177,611426058.212413,2.503381317681788
300.0,343386084839.8015,0.05465159279122736,300665569.9781652,170192307.69230768,49080.8701568939,94907.73399250997,269980225.0550478,740982091.3296701,2.4698100754481374
300.0,374018058107.6119,0.05952682275345818,356700285.21130764,170192307.69230768,69079.91102019679,133579.88638824996,377803914.07572526,904899166.7767491,2.3993318752649984
300.0,405929399526.4286,0.06460567048095599,420164472.32961035,170192307.69230768,95848.10052438134,185341.52987647892,520196885.3914555,1110834855.0437744,2.302270243537818
300.0,439115322085.80225,0.06988737409734515,491672023.1265661,170192307.69230768,131248.9538004413,253796.1291654803,705203473.2073562,1367452849.109196,2.188512089869453
300.0,473570847575.1185,0.07537114129579864,571858043.8418027,170192307.69230768,177550.2650609162,343328.8922122099,941662914.2091107,1684234144.900494,2.0666686066161377
