target_radius_nm,converged_iter,F_surf_hat,F_el_hat,F_chem_excess_hat,F_total_excess_hat,total_interface_sum,total_el_core_sum,projected_kkt_rms,mass_error_relative,energy_trace_sha256,run_log_sha256,profile_manifest_sha256,orientation_label,elastic_runtime_marker
8.0,1071,0.000299987075,0.000111609331,-0.000286972514,0.000124623892,265.409365,49.181187,0.000449112485,0.0,7e1bb8b84b6fa2a91e37f9f4332bb08d400ca47daed57d0e0bc1bb04b53e516b,28a2da8ecaf0c7a7bd235db663c580a78cb584c1fede599f71dd0ca161d3f657,29b33f22041fcfa3a7089ebbf0b7b0c369907a727dfd65d006f7e6c18aac968c,variant_100_identity,PASS
8.5,1460,0.000339518681,0.000134612792,-0.000343665606,0.000130465866,300.3844,60.0796972,0.000477409474,0.0,56296acbccdd2aaf870ae57463f158af00ba285ebd7a54defc858aefbcabfb8d,d3b51fab251c00c259332ad75dd54b69436edad6f7aa2b215f146ecb233a74b9,952114eec5f2a2fe5e6c11217b40aceb516712b69de8ac45ad4d152c20bff848,variant_100_identity,PASS
9.0,1125,0.000381542086,0.000160617006,-0.000407406092,0.000134752999,337.564019,72.5070123,0.000523235638,0.0,0c2f3e3ad483f76ef7b4d252c153ea86b11c357d5d67a1098beab48c2ea31588,fc300a051332e91186bddb101be7f633b10e0b2f1ba8b3e6a00c81862cb155f5,76850f1eb340c71a6a159219455d434e1121a40d30a5410e435dd98af75e2d2d,variant_100_identity,PASS
9.5,1089,0.000426056596,0.000189820375,-0.000478608954,0.000137268017,376.947609,86.584565,0.000529076455,0.0,2e7283964678468e2a88e32f4e573b99ab8163544748e06bccbe955b5946eb10,b79ecc8f965b2aec0daa7805a2dacaac2ce7751cbd4c46be8d9baf978295a78f,4c5716ce6370a95d27ba9cd5c9e49169bf241e3d123c9dd3c0644d0a147de566,variant_100_identity,PASS
10.0,1790,0.000473154867,0.000222356976,-0.000557688454,0.000137823389,418.617144,102.362001,0.000589216203,1.8631802335437667e-16,043487181ff40692a641258cc073b0b449ef20a162713d76ad7cb34197cf2825,bc836baf2721f4a2fb81a1cddf6100421a4a0c55dc5086660d196b4b13192fa8,2b537bb4e76190b7a7c1ef68138cca711bb476d32948b1db1a479dea63c3a96f,variant_100_identity,PASS
10.5,2324,0.00052275575,0.000258526499,-0.000645059596,0.000136222653,462.500832,120.05367,0.000606760558,0.0,162cb11c60307e940c3d6e6401352d946f40394465f17729cb987819401f6ab1,d31b9d915a38f045346ec9f4d0da8dbc44863ca66730787f81bfef32e5805005,44cca7821df88214b6cef6370157413f0a3f2cd0b9eb6ea0f2a67216e4749e6b,variant_100_identity,PASS
11.0,2861,0.000574949015,0.000298461835,-0.000741136685,0.000132274165,508.678091,139.711472,0.000640053127,1.6313298826830598e-16,7f4dcf27001b9e6899dfa1370ae31fd7b062207a5ff50ad0a98f5c6521cceb91,344b78b4a2293c2219e7a135e342ece2949b63b2acf669d6f37c7a72842f38bf,15f73f25c57a62e917848313068e7f153b8e7c1182015de9f0b4a0c73ceb9f19,variant_100_identity,PASS
11.5,3236,0.000629710458,0.000342447964,-0.00084633469,0.000125823732,557.127512,161.524692,0.000665177376,0.0,82f0ee421f1f641581cb11a1112ad2021b1a3415c842dbf7357043a79e5c1f95,ec4935ad89618f4eb91994fa76ad2bc13da03e9554cfcdcf39e857efe534b8fd,c0826fc8d1d5e11fcfa0deda34e282e2d71fdd14e583352fdc0326c637acf7b3,variant_100_identity,PASS
