case,status,reason
R1,NOT_RUN_PENDING_STEP2_6H12H_QUALIFICATION,The exact 15-entry library is now locally field-validated. R1/R2 materialization and the required dynamic 6--12 h qualification are a distinct next execution stage; no 48 h PF run has been started.
R2,NOT_RUN_PENDING_STEP2_6H12H_QUALIFICATION,The exact 15-entry library is now locally field-validated. R1/R2 materialization and the required dynamic 6--12 h qualification are a distinct next execution stage; no 48 h PF run has been started.
