case_index,case,source_radius_nm,dt,phi0_mean,phi1500_mean,phi1500_min,phi1500_max,vf_phi_gt_0p5,equiv_radius_phi_gt_0p5_nm,xB0_mean,xB1500_mean,xB1500_min,xB1500_max,xB_matrix_mean_phi_lt_0p05,xB_interface_mean_phi_0p1_0p9,xB_precip_mean_phi_gt_0p9,xBtot0_mean,xBtot1500_mean,xBtot_delta,xBtot_rel_delta_pct
0,cntcon_T400_xB0p030_strictref_exx_sm0p01,2.935828,0.025,0.0016836485592648387,0.007489760871976614,0.0,1.0,0.007425984375,4.841149175849228,0.02999992109835148,0.024585073813796043,0.018050000071525574,0.025359999388456345,0.024644160643219948,0.018991466611623764,0.018144670873880386,0.03160665184259415,0.031892091035842896,0.0002854391932487488,0.903098464012146
1,cntcon_T400_xB0p030_strictref_exx_sm0p0075,2.826345,0.025,0.0015041643055155873,0.007118509616702795,-0.0,1.0,0.007058703125,4.759983279128645,0.030000073835253716,0.024784885346889496,0.017740000039339066,0.025599999353289604,0.024845464155077934,0.018781637772917747,0.017848346382379532,0.03143364191055298,0.03173023462295532,0.00029659271240234375,0.9435518383979797
2,cntcon_T400_xB0p030_strictref_exx_sm0p005,2.72898,0.025,0.0013557467609643936,0.007273613475263119,-0.0,1.0,0.007211796875,4.794149985995562,0.030000194907188416,0.024511460214853287,0.016950000077486038,0.02538999915122986,0.02457759715616703,0.018109237775206566,0.01708792708814144,0.031290628015995026,0.03161417320370674,0.0003235451877117157,1.034000277519226
3,cntcon_T400_xB0p030_strictref_exx_sm0p0025,2.642111,0.025,0.0012319216039031744,0.00805889442563057,-0.0,1.0,0.007994484375,4.961663124752959,0.03000028431415558,0.0236576609313488,0.015690000727772713,0.024630000814795494,0.023734014481306076,0.01696961559355259,0.015878891572356224,0.031171340495347977,0.031540073454380035,0.0003687329590320587,1.1829229593276978
