snapshot_id,replicate,step,age_h,particle_id,equivalent_radius_nm,per_particle_number_density_weight_m-3
B_step_000000,B,0,6,0,8.49993320634238,6.717298979454201e+19
B_step_000000,B,0,6,1,8.749930858302097,6.717298979454201e+19
B_step_000000,B,0,6,2,9.249945091020773,6.717298979454201e+19
B_step_000000,B,0,6,3,8.499940787205443,6.717298979454201e+19
B_step_000000,B,0,6,4,10.49994596170341,6.717298979454201e+19
B_step_000000,B,0,6,5,10.24994620881751,6.717298979454201e+19
B_step_000000,B,0,6,6,8.749930889927326,6.717298979454201e+19
B_step_000000,B,0,6,7,10.24995030224874,6.717298979454201e+19
B_step_000000,B,0,6,8,8.999931221664987,6.717298979454201e+19
B_step_000000,B,0,6,9,9.749936869320956,6.717298979454201e+19
B_step_000000,B,0,6,10,10.49995892328951,6.717298979454201e+19
B_step_000000,B,0,6,11,9.749958278002904,6.717298979454201e+19
B_step_000000,B,0,6,12,10.74995545132087,6.717298979454201e+19
B_step_000000,B,0,6,13,9.999947069720569,6.717298979454201e+19
B_step_000000,B,0,6,14,8.499936242367239,6.717298979454201e+19
B_step_000000,B,0,6,15,10.99993933089783,6.717298979454201e+19
B_step_000000,B,0,6,16,9.499938419402204,6.717298979454201e+19
B_step_000000,B,0,6,17,8.249926888373775,6.717298979454201e+19
B_step_000000,B,0,6,18,9.249967855465465,6.717298979454201e+19
B_step_000000,B,0,6,19,9.749951135327455,6.717298979454201e+19
B_step_000000,B,0,6,20,9.999955600705478,6.717298979454201e+19
B_step_000000,B,0,6,21,10.74995242713775,6.717298979454201e+19
B_step_000000,B,0,6,22,9.499943557422309,6.717298979454201e+19
B_step_000000,B,0,6,23,8.499933929519198,6.717298979454201e+19
B_step_000000,B,0,6,24,10.24994147088186,6.717298979454201e+19
B_step_000000,B,0,6,25,8.749931137817242,6.717298979454201e+19
B_step_000000,B,0,6,26,8.9999446270626,6.717298979454201e+19
B_step_000000,B,0,6,27,8.999931556923087,6.717298979454201e+19
B_step_000000,B,0,6,28,10.49993951169421,6.717298979454201e+19
B_step_000000,B,0,6,29,9.749968570994833,6.717298979454201e+19
B_step_000000,B,0,6,30,9.249933240055803,6.717298979454201e+19
B_step_000000,B,0,6,31,8.4999561104698,6.717298979454201e+19
B_step_000000,B,0,6,32,10.99994183828476,6.717298979454201e+19
B_step_000000,B,0,6,33,9.499960462376146,6.717298979454201e+19
B_step_000000,B,0,6,34,8.499933917378542,6.717298979454201e+19
B_step_000000,B,0,6,35,8.749947831544207,6.717298979454201e+19
B_step_000000,B,0,6,36,8.749940206980167,6.717298979454201e+19
B_step_000000,B,0,6,37,9.999936678427661,6.717298979454201e+19
B_step_000000,B,0,6,38,8.999965506905097,6.717298979454201e+19
B_step_000000,B,0,6,39,10.74996168411487,6.717298979454201e+19
B_step_000000,B,0,6,40,9.499948804388046,6.717298979454201e+19
B_step_000000,B,0,6,41,9.499947045732746,6.717298979454201e+19
B_step_000000,B,0,6,42,9.749952142651766,6.717298979454201e+19
B_step_000000,B,0,6,43,10.74994884319359,6.717298979454201e+19
B_step_000000,B,0,6,44,9.249940320277222,6.717298979454201e+19
B_step_000000,B,0,6,45,9.999959041277879,6.717298979454201e+19
B_step_000000,B,0,6,46,10.49994403557792,6.717298979454201e+19
B_step_000000,B,0,6,47,9.749953245872859,6.717298979454201e+19
B_step_000000,B,0,6,48,8.999935590735607,6.717298979454201e+19
B_step_000000,B,0,6,49,10.24995301004775,6.717298979454201e+19
B_step_000000,B,0,6,50,8.749932953249509,6.717298979454201e+19
B_step_000000,B,0,6,51,10.74994742508062,6.717298979454201e+19
B_step_000000,B,0,6,52,8.249950859499972,6.717298979454201e+19
B_step_000000,B,0,6,53,10.74993950577141,6.717298979454201e+19
B_step_000000,B,0,6,54,9.24993363684001,6.717298979454201e+19
B_step_000000,B,0,6,55,9.249943370512637,6.717298979454201e+19
B_step_000000,B,0,6,56,9.499938531110358,6.717298979454201e+19
B_step_000000,B,0,6,57,8.749931193030827,6.717298979454201e+19
B_step_000000,B,0,6,58,10.24996048776044,6.717298979454201e+19
B_step_000000,B,0,6,59,9.999947087098596,6.717298979454201e+19
B_step_000000,B,0,6,60,8.999932760081228,6.717298979454201e+19
B_step_000000,B,0,6,61,10.49995266825006,6.717298979454201e+19
B_step_000000,B,0,6,62,9.999946261665613,6.717298979454201e+19
B_step_000000,B,0,6,63,8.999933693901278,6.717298979454201e+19
B_step_000000,B,0,6,64,8.499933331519482,6.717298979454201e+19
B_step_000000,B,0,6,65,9.499938652610851,6.717298979454201e+19
B_step_000000,B,0,6,66,8.74994120803589,6.717298979454201e+19
B_step_000000,B,0,6,67,10.7499414342121,6.717298979454201e+19
B_step_000000,B,0,6,68,9.749933469896014,6.717298979454201e+19
B_step_000000,B,0,6,69,10.24994930780313,6.717298979454201e+19
B_step_000000,B,0,6,70,9.499937233213677,6.717298979454201e+19
B_step_000000,B,0,6,71,8.499933597657584,6.717298979454201e+19
B_step_000000,B,0,6,72,9.249934768797383,6.717298979454201e+19
B_step_000000,B,0,6,73,8.999931207045323,6.717298979454201e+19
B_step_000000,B,0,6,74,9.49994051910509,6.717298979454201e+19
B_step_000000,B,0,6,75,8.999931184216537,6.717298979454201e+19
B_step_000000,B,0,6,76,10.49994843400043,6.717298979454201e+19
B_step_000000,B,0,6,77,9.999936192628363,6.717298979454201e+19
B_step_000000,B,0,6,78,9.249944031051879,6.717298979454201e+19
B_step_000000,B,0,6,79,8.249971025790725,6.717298979454201e+19
B_step_000000,B,0,6,80,8.999958597263937,6.717298979454201e+19
B_step_000000,B,0,6,81,9.499944599107296,6.717298979454201e+19
B_step_000000,B,0,6,82,10.49994530959535,6.717298979454201e+19
B_step_000000,B,0,6,83,9.999946198469425,6.717298979454201e+19
B_step_000000,B,0,6,84,10.49993957055313,6.717298979454201e+19
B_step_000000,B,0,6,85,9.749950356238759,6.717298979454201e+19
B_step_000000,B,0,6,86,10.24994107638425,6.717298979454201e+19
B_step_000000,B,0,6,87,10.74993935066702,6.717298979454201e+19
B_step_000000,B,0,6,88,8.749942839098791,6.717298979454201e+19
