workflow_name,base_case_tag,T_C,T_K,xB,strain,n_points,rc_schur_nm,excess_peak_radius_nm,excess_peak_kBT,excess_peak_J,excess_refsub_peak_radius_nm,excess_refsub_peak_kBT,excess_refsub_peak_J,cnt_absolute_peak_radius_nm,cnt_absolute_peak_kBT,cnt_absolute_peak_J,cnt_refsub_peak_radius_nm,cnt_refsub_peak_kBT,cnt_refsub_peak_J,J_per_hat,w_phys_J_m3,V_box_m3,reference_source
cnt_no_strain_T410C_xB0p030_400cube_dx0p1,cntcon_T410_xB0p030_strictref_exx_s000,410.0,683.15,0.03,0.0,11,2.41941606326159,2.919416,837.4822619876572,7.899051998208007e-18,2.919416,831.5148139167317,7.842767603005447e-18,2.219416,363.0089706363319,3.423865632768004e-18,2.219416,357.0415225654063,3.3675812375654432e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p030_400cube_dx0p1/raw/chel_T410_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T410_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T410C_xB0p035_400cube_dx0p1,cntcon_T410_xB0p035_strictref_exx_s000,410.0,683.15,0.035,0.0,11,2.1901601281585044,2.69016,780.6011089659418,7.362554443776008e-18,2.69016,772.4783962364073,7.285941799987208e-18,1.99016,304.3406008222122,2.8705112217600027e-18,1.99016,296.2178880926777,2.7938985779712023e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p035_400cube_dx0p1/raw/chel_T410_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T410_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T410C_xB0p040_400cube_dx0p1,cntcon_T410_xB0p040_strictref_exx_s000,410.0,683.15,0.04,0.0,11,2.0347642147247207,2.534764,735.1380399797026,6.933751157760007e-18,2.534764,724.5292945655403,6.833690493235206e-18,1.834764,268.0979197304076,2.5286737459200025e-18,1.834764,257.48917431624545,2.4286130813952022e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p040_400cube_dx0p1/raw/chel_T410_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T410_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T410C_xB0p045_400cube_dx0p1,cntcon_T410_xB0p045_strictref_exx_s000,410.0,683.15,0.045,0.0,11,1.9232980133221196,2.423298,699.9105326990299,6.6014887034880064e-18,2.423298,686.4831929827683,6.474843329095686e-18,1.823298,244.9068317181014,2.309937638400002e-18,1.823298,231.47949200183976,2.183292264007682e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p045_400cube_dx0p1/raw/chel_T410_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T410_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T410C_xB0p050_400cube_dx0p1,cntcon_T410_xB0p050_strictref_exx_s000,410.0,683.15,0.05,0.0,11,1.8402413775046675,2.340241,672.6448692800416,6.344321593344006e-18,2.340241,656.0679064582393,6.187969277306886e-18,1.740241,229.5336606823767,2.164939370496002e-18,1.740241,212.9566978605745,2.0085870544588817e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p050_400cube_dx0p1/raw/chel_T410_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T410_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T420C_xB0p030_400cube_dx0p1,cntcon_T420_xB0p030_strictref_exx_s000,420.0,693.15,0.03,0.0,11,2.6326988029013334,2.832699,603.1712805945031,5.772330181632006e-18,2.832699,597.2897777669363,5.7160443845836854e-18,2.432699,417.17858926836965,3.9923859763200045e-18,2.432699,411.29708644080284,3.936100179271684e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p030_400cube_dx0p1/raw/chel_T420_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T420_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T420C_xB0p035_400cube_dx0p1,cntcon_T420_xB0p035_strictref_exx_s000,420.0,693.15,0.035,0.0,11,2.357600826765117,2.857601,603.766296207994,5.7780244623360055e-18,2.857601,595.7607689755314,5.701411818547206e-18,2.157601,343.33458350431863,3.2857011640320035e-18,2.157601,335.32905627185596,3.209088520243203e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p035_400cube_dx0p1/raw/chel_T420_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T420_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T420C_xB0p040_400cube_dx0p1,cntcon_T420_xB0p040_strictref_exx_s000,420.0,693.15,0.04,0.0,11,2.1740942494161857,2.674094,595.933549689416,5.703065324544006e-18,2.674094,585.4776643194391,5.603002830458885e-18,1.974094,298.37052893924204,2.855396576256003e-18,1.974094,287.91464356926525,2.755334082170883e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p040_400cube_dx0p1/raw/chel_T420_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T420_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T420C_xB0p045_400cube_dx0p1,cntcon_T420_xB0p045_strictref_exx_s000,420.0,693.15,0.045,0.0,11,2.043816988796803,2.543817,583.0783510708627,5.5800414781440055e-18,2.543817,569.8447261308581,5.453396103751685e-18,1.843817,269.18438853570746,2.5760861306880023e-18,1.843817,255.95076359570297,2.4494407562956824e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p045_400cube_dx0p1/raw/chel_T420_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T420_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T420C_xB0p050_400cube_dx0p1,cntcon_T420_xB0p050_strictref_exx_s000,420.0,693.15,0.05,0.0,11,1.947389769553322,2.44739,570.3349129500725,5.458087176192005e-18,2.44739,553.9971041760494,5.3017348601548856e-18,1.84739,249.89823466957378,2.3915182448640023e-18,1.84739,233.5604258955506,2.235165928826882e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p050_400cube_dx0p1/raw/chel_T420_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T420_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T430C_xB0p030_400cube_dx0p1,cntcon_T430_xB0p030_strictref_exx_s000,430.0,703.15,0.03,0.0,11,2.8872206884631875,2.487221,429.11070661846804,4.165821090816004e-18,2.487221,423.31270405776536,4.109533888051204e-18,2.587221,486.87188857890385,4.726568577024004e-18,2.587221,481.0738860182012,4.670281374259204e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p030_400cube_dx0p1/raw/chel_T430_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T430_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T430C_xB0p035_400cube_dx0p1,cntcon_T430_xB0p035_strictref_exx_s000,430.0,703.15,0.035,0.0,11,2.5527630048218803,2.452763,431.76502825322234,4.191589334016005e-18,2.452763,423.8733533599826,4.1149766902272044e-18,2.352763,391.02633234351646,3.7960967116800036e-18,2.352763,383.1346574502768,3.719484067891203e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p035_400cube_dx0p1/raw/chel_T430_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T430_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T430C_xB0p040_400cube_dx0p1,cntcon_T430_xB0p040_strictref_exx_s000,430.0,703.15,0.04,0.0,11,2.3339080959662963,2.433908,433.7527990667767,4.210886679552004e-18,2.433908,423.4454253449239,4.1108223507456034e-18,2.133908,334.69663226505793,3.2492460994560033e-18,2.133908,324.38925854320513,3.1491817706496034e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p040_400cube_dx0p1/raw/chel_T430_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T430_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T430C_xB0p045_400cube_dx0p1,cntcon_T430_xB0p045_strictref_exx_s000,430.0,703.15,0.045,0.0,11,2.1804497787152246,2.48045,435.1294999854317,4.224251738112004e-18,2.48045,422.08407990840107,4.097606363719684e-18,1.98045,298.45071739714,2.8973695457280025e-18,1.98045,285.40529732010936,2.7707241713356825e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p045_400cube_dx0p1/raw/chel_T430_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T430_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T430C_xB0p050_400cube_dx0p1,cntcon_T430_xB0p050_strictref_exx_s000,430.0,703.15,0.05,0.0,11,2.0677870501670523,2.467787,436.9575175396855,4.2419981936640045e-18,2.467787,420.85206045127734,4.085645877626884e-18,1.867787,274.1170205776087,2.6611372032000025e-18,1.867787,258.0115634892005,2.5047848871628822e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p050_400cube_dx0p1/raw/chel_T430_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T430_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T440C_xB0p030_400cube_dx0p1,cntcon_T440_xB0p030_strictref_exx_s000,440.0,713.15,0.03,0.0,11,3.196222448720347,2.696222,236.72486291127834,2.3308162805760023e-18,2.696222,231.00801851533345,2.274527668439042e-18,2.896222,576.5238024659188,5.6765100564480055e-18,2.896222,570.806958069974,5.620221444311045e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p030_400cube_dx0p1/raw/chel_T440_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T440_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T440C_xB0p035_400cube_dx0p1,cntcon_T440_xB0p035_strictref_exx_s000,440.0,713.15,0.035,0.0,11,2.7831523332688826,2.283152,316.9009376628722,3.120237797376003e-18,2.283152,309.119922166579,3.0436251535872025e-18,2.483152,451.0031461714502,4.4406213304320046e-18,2.483152,443.222130675157,4.364008686643204e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p035_400cube_dx0p1/raw/chel_T440_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T440_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T440C_xB0p040_400cube_dx0p1,cntcon_T440_xB0p040_strictref_exx_s000,440.0,713.15,0.04,0.0,11,2.519081336881562,2.119081,325.5932105651127,3.205822771200003e-18,2.119081,315.4301830624858,3.1057566029414433e-18,2.319081,378.79986514640115,3.729700724736004e-18,2.319081,368.6368376437742,3.629634556477444e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p040_400cube_dx0p1/raw/chel_T440_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T440_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T440C_xB0p045_400cube_dx0p1,cntcon_T440_xB0p045_strictref_exx_s000,440.0,713.15,0.045,0.0,11,2.336659617658979,2.13666,328.4961189207731,3.234405092352003e-18,2.13666,315.63362557832886,3.107759717959683e-18,2.13666,333.4237093375425,3.282922632192003e-18,2.13666,320.5612159950982,3.1562772577996826e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p045_400cube_dx0p1/raw/chel_T440_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T440_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T440C_xB0p050_400cube_dx0p1,cntcon_T440_xB0p050_strictref_exx_s000,440.0,713.15,0.05,0.0,11,2.204052491451324,2.104052,331.41703008991516,3.2631646709760032e-18,2.104052,315.5374084791542,3.106812354938883e-18,2.004052,303.08650505507745,2.984219535360003e-18,2.004052,287.20688344431653,2.8278672193228827e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p050_400cube_dx0p1/raw/chel_T440_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T440_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T450C_xB0p030_400cube_dx0p1,cntcon_T450_xB0p030_strictref_exx_s000,450.0,723.15,0.03,0.0,11,3.579292463459268,3.079292,-188.19317368393968,-1.878951367372802e-18,3.079292,-193.8311048331931,-1.935241392322562e-18,3.179292,696.8611782714595,6.957575761920007e-18,3.179292,691.223247122206,6.9012857369702466e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p030_400cube_dx0p1/raw/chel_T450_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T450_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T450C_xB0p035_400cube_dx0p1,cntcon_T450_xB0p035_strictref_exx_s000,450.0,723.15,0.035,0.0,11,3.0592528607380163,2.559253,128.09037365696005,1.2788752005120013e-18,2.559253,120.41695707508704,1.2022625567232013e-18,2.759253,527.7369758462529,5.2690121164800055e-18,2.759253,520.0635592643798,5.192399472691205e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p035_400cube_dx0p1/raw/chel_T450_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T450_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T450C_xB0p040_400cube_dx0p1,cntcon_T450_xB0p040_strictref_exx_s000,450.0,723.15,0.04,0.0,11,2.7361702225497986,2.23617,222.4446847619296,2.220924045312002e-18,2.23617,212.4220108316143,2.1208560326553624e-18,2.43617,433.51214970106116,4.328256070656004e-18,2.43617,423.4894757707459,4.228188057999365e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p040_400cube_dx0p1/raw/chel_T450_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T450_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T450C_xB0p045_400cube_dx0p1,cntcon_T450_xB0p045_strictref_exx_s000,450.0,723.15,0.045,0.0,11,2.516978766278332,2.016979,251.85310576537773,2.5145425213440023e-18,2.016979,239.16847999318094,2.3878971469516824e-18,2.316979,375.68191248574954,3.750869541888004e-18,2.316979,362.9972867135527,3.624224167495684e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p045_400cube_dx0p1/raw/chel_T450_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T450_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T450C_xB0p050_400cube_dx0p1,cntcon_T450_xB0p050_strictref_exx_s000,450.0,723.15,0.05,0.0,11,2.3595445056126527,1.859545,259.33692463188567,2.5892621905920024e-18,1.859545,243.67689261679308,2.432909874554882e-18,2.159545,337.61768931678057,3.3708301240320033e-18,2.159545,321.957657301688,3.214477807994883e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p050_400cube_dx0p1/raw/chel_T450_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T450_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
