workflow_name,base_case_tag,T_C,T_K,xB,strain,n_points,rc_schur_nm,excess_peak_radius_nm,excess_peak_kBT,excess_peak_J,excess_refsub_peak_radius_nm,excess_refsub_peak_kBT,excess_refsub_peak_J,cnt_absolute_peak_radius_nm,cnt_absolute_peak_kBT,cnt_absolute_peak_J,cnt_refsub_peak_radius_nm,cnt_refsub_peak_kBT,cnt_refsub_peak_J,J_per_hat,w_phys_J_m3,V_box_m3,reference_source
cnt_no_strain_T370C_xB0p030_400cube_dx0p1,cntcon_T370_xB0p030_strictref_exx_s000,370.0,643.15,0.03,0.0,11,1.8272819412731849,2.327282,1189.7678736946107,1.0564715212800011e-17,2.327282,1183.4299139463349,1.0508436386273292e-17,1.727282,229.49513371312673,2.037835097088002e-18,1.727282,223.15717396485095,1.981556270561282e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T370C_xB0p030_400cube_dx0p1/raw/chel_T370_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T370_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T370C_xB0p035_400cube_dx0p1,cntcon_T370_xB0p035_strictref_exx_s000,370.0,643.15,0.035,0.0,11,1.7056171557158761,2.205617,1069.681384588489,9.49838993510401e-18,2.205617,1061.053488761417,9.42177729131521e-18,1.605617,204.33717587211095,1.814441386598402e-18,1.605617,195.70928004503872,1.7378287428096017e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T370C_xB0p035_400cube_dx0p1/raw/chel_T370_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T370_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T370C_xB0p040_400cube_dx0p1,cntcon_T370_xB0p040_strictref_exx_s000,370.0,643.15,0.04,0.0,11,1.61958917595627,2.119589,988.3459642425933,8.776160354304008e-18,2.119589,977.0782380119005,8.676106956195847e-18,1.519589,188.47336657152135,1.6735764068352018e-18,1.519589,177.20564034082855,1.5735230087270417e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T370C_xB0p040_400cube_dx0p1/raw/chel_T370_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T370_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T370C_xB0p045_400cube_dx0p1,cntcon_T370_xB0p045_strictref_exx_s000,370.0,643.15,0.045,0.0,11,1.5562295490148326,2.05623,930.3963645217945,8.261588536320008e-18,2.05623,916.1339263236073,8.134943161927688e-18,1.45623,178.3296338261604,1.5835036707840015e-18,1.45623,164.06719562797318,1.4568582963916814e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T370C_xB0p045_400cube_dx0p1/raw/chel_T370_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T370_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T370C_xB0p050_400cube_dx0p1,cntcon_T370_xB0p050_strictref_exx_s000,370.0,643.15,0.05,0.0,11,1.5082880317915266,2.008288,887.6736964727642,7.882226451456008e-18,2.008288,870.0657478578,7.725874135418888e-18,1.408288,172.01775000660268,1.5274563892224016e-18,1.408288,154.40980139163855,1.3711040731852814e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T370C_xB0p050_400cube_dx0p1/raw/chel_T370_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T370_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T380C_xB0p030_400cube_dx0p1,cntcon_T380_xB0p030_strictref_exx_s000,380.0,653.15,0.03,0.0,11,1.9463719637939816,2.446372,1155.5196670665323,1.0420140036096011e-17,2.446372,1149.2785903981435,1.036385982320641e-17,1.846372,253.82199061390705,2.2888928348160025e-18,1.846372,247.58091394551806,2.232612621926402e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T380C_xB0p030_400cube_dx0p1/raw/chel_T380_cuda_400x400x400_dt0.02_steps1_r0.000nm_xB0.030/cntcon_T380_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T380C_xB0p035_400cube_dx0p1,cntcon_T380_xB0p035_strictref_exx_s000,380.0,653.15,0.035,0.0,11,1.8054763952265556,2.305476,1035.9776553238462,9.342144967680008e-18,2.305476,1027.4818561947313,9.265532323891209e-18,1.705476,223.29327400403716,2.013593754009602e-18,1.705476,214.79747487492213,1.936981110220802e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T380C_xB0p035_400cube_dx0p1/raw/chel_T380_cuda_400x400x400_dt0.02_steps1_r0.000nm_xB0.035/cntcon_T380_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T380C_xB0p040_400cube_dx0p1,cntcon_T380_xB0p040_strictref_exx_s000,380.0,653.15,0.04,0.0,11,1.7066455311123165,2.206646,955.336049358933,8.614942436352008e-18,2.206646,944.2406361629106,8.514887229542408e-18,1.606646,204.0394560924766,1.8399684280320018e-18,1.606646,192.94404289645408,1.7399132212224015e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T380C_xB0p040_400cube_dx0p1/raw/chel_T380_cuda_400x400x400_dt0.02_steps1_r0.000nm_xB0.040/cntcon_T380_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T380C_xB0p045_400cube_dx0p1,cntcon_T380_xB0p045_strictref_exx_s000,380.0,653.15,0.045,0.0,11,1.6342029525110104,2.134203,898.0805716491363,8.098629202944009e-18,2.134203,884.0364973520161,7.97198382855169e-18,1.534203,191.58528008129005,1.7276602936320016e-18,1.534203,177.54120578416976,1.6010149192396815e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T380C_xB0p045_400cube_dx0p1/raw/chel_T380_cuda_400x400x400_dt0.02_steps1_r0.000nm_xB0.045/cntcon_T380_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T380C_xB0p050_400cube_dx0p1,cntcon_T380_xB0p050_strictref_exx_s000,380.0,653.15,0.05,0.0,11,1.5795187035770775,2.079519,855.9822523697543,7.718998812672007e-18,2.079519,838.643888821237,7.562646496634889e-18,1.479519,183.60775922162048,1.6557213324288017e-18,1.479519,166.26939567310305,1.4993690163916816e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T380C_xB0p050_400cube_dx0p1/raw/chel_T380_cuda_400x400x400_dt0.02_steps1_r0.000nm_xB0.050/cntcon_T380_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
