T_C,xB,rc_schur_nm,rc_fit_nm,delta_fit_minus_schur_nm,F_CNT_fit_hat_excess,DeltaG_CNT_refsub_kBT,DeltaG_CNT_refsub_J,peak_radius_physical_nm,fit_method,status,fitted_table
380.0,0.045,1.6342029525110104,1.5298383916409395,-0.10436456087007095,7.445380856441892e-06,177.54120578416976,1.6010149192396815e-18,1.534203,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T380C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
380.0,0.05,1.5795187035770775,1.4812323188998908,-0.09828638467718664,6.972540597304784e-06,166.26939567310305,1.4993690163916816e-18,1.479519,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T380C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
390.0,0.03,2.0820671854242097,1.9217588567356818,-0.16030832868852785,1.181538331785417e-05,277.1521638060437,2.5375425320448025e-18,1.882067,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
390.0,0.035,1.9177557730594754,1.7792448371366523,-0.13851093592282315,1.0111638026561958e-05,237.14776336733811,2.171271288883202e-18,1.817756,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
390.0,0.04,1.8035924528783476,1.6793715359379686,-0.12422091694037896,8.995780190644326e-06,211.1474393650101,1.9332182024601617e-18,1.703592,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
390.0,0.045,1.7204020639417825,1.606145786665752,-0.1142562772760305,8.218487398742248e-06,192.97958312323854,1.7668774194892817e-18,1.620402,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
390.0,0.05,1.6578107616986597,1.5507987496231503,-0.10701201207550937,7.653992323307985e-06,179.7567024435952,1.6458117144268816e-18,1.557811,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
400.0,0.03,2.23810087249612,2.05581238030185,-0.18228849219427,1.3537344025540636e-05,313.1559344112783,2.910420755988483e-18,2.038101,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
400.0,0.035,2.044926103991229,1.8897023169983012,-0.15522378699292805,1.1420724281876305e-05,263.80926572692715,2.451800774707202e-18,1.844926,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
400.0,0.04,1.9122169714135353,1.774447669789677,-0.13776930162385836,1.005660497233904e-05,232.36440032714478,2.159557266370562e-18,1.812217,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
