step,stable_particle_id,equivalent_radius_nm,lineage_member_ids,component_label
0,0,10.249938751329069,0,0
0,1,10.249938961732658,1,1
0,2,8.749930988174107,2,2
0,3,10.249957362724642,3,3
0,4,8.9999470845326961,4,4
0,5,10.74996256821613,5,5
0,6,10.49994740534235,6,6
0,7,9.9999380220519924,7,7
0,8,9.2499333875575029,8,8
0,9,10.249962971972208,9,9
0,10,8.4999327423733639,10,10
0,11,9.4999389984992852,11,11
0,12,9.499941225609712,12,12
0,13,9.999936960456143,13,13
0,14,8.4999558281051897,14,14
0,15,9.9999662935062474,15,15
0,16,8.7499628863686159,16,16
0,17,8.9999318756856077,17,17
0,18,10.249938344889999,18,18
0,19,9.7499356836626312,19,19
0,20,9.4999369052429188,20,20
0,21,9.24994174592001,21,21
0,22,9.9999374283065343,22,22
0,23,9.2499478277621954,23,23
0,24,8.7499519785771191,24,24
0,25,9.9999408780496317,25,25
0,26,10.499940158330221,26,26
0,27,9.7499349420680286,27,27
0,28,8.4999356262375745,28,28
0,29,8.2499422633878368,29,29
0,30,9.2499561788634779,30,30
0,31,8.9999391347147295,31,31
0,32,8.2499307726600435,32,32
0,33,8.2499323916118144,33,33
0,34,9.4999435599993411,34,34
0,35,10.749940438018434,35,35
0,36,9.7499374909513463,36,36
0,37,10.749940649841703,37,37
0,38,9.7499348618155697,38,38
0,39,9.2499398487142326,39,39
0,40,10.499942841101847,40,40
0,41,8.7499319967661506,41,41
0,42,8.999941296945364,42,42
0,43,8.4999338100962429,43,43
0,44,9.4999415390272191,44,44
0,45,8.4999484992109728,45,45
0,46,8.7499305690287663,46,46
0,47,10.49993998855024,47,47
0,48,10.749943595013198,48,48
0,49,10.749941102670636,49,49
0,50,10.249940029362063,50,50
0,51,8.2499582324581997,51,51
0,52,8.749951571867653,52,52
0,53,8.4999345168623943,53,53
0,54,8.9999318916181892,54,54
0,55,8.9999324044412496,55,55
0,56,8.499933667998512,56,56
0,57,8.4999330563394402,57,57
0,58,9.9999374466903443,58,58
0,59,9.499945247656477,59,59
0,60,8.4999336246471966,60,60
0,61,10.499960040975987,61,61
0,62,9.2499521348420775,62,62
0,63,9.7499385595318326,63,63
0,64,9.7499605055605176,64,64
0,65,10.499975943474185,65,65
0,66,8.9999311974527405,66,66
0,67,10.999939472824266,67,67
0,68,10.749952230951763,68,68
0,69,10.749944336734194,69,69
0,70,8.7499308309739927,70,70
0,71,9.9999652683520317,71,71
0,72,9.7499328899284521,72,72
0,73,9.2499600328313054,73,73
0,74,9.7499380025787659,74,74
0,75,9.9999378594234329,75,75
0,76,8.4999653420426053,76,76
0,77,10.99993961956597,77,77
0,78,9.4999408253739226,78,78
0,79,8.9999309156848373,79,79
0,80,10.749942379358519,80,80
0,81,10.249941761259658,81,81
0,82,9.4999373119463328,82,82
0,83,10.499939480156476,83,83
0,84,8.7499310869765949,84,84
0,85,9.2499368846982843,85,85
0,86,8.7499464702742831,86,86
0,87,10.499944058382322,87,87
0,88,8.7499339066656017,88,88
0,89,10.499948791359746,89,89
0,90,9.2499724731775768,90,90
0,91,9.9999370520042064,91,91
0,92,9.4999395205923314,92,92
0,93,8.999958611149582,93,93
0,94,8.9999352131713763,94,94
0,95,9.499937173290073,95,95
21798,0,14.052566738222691,0,0
21798,1,15.377888775944641,1,1
21798,3,6.3419891431352111,3,6
21798,5,17.943842193526073,5,2
21798,6,15.444483091207069,6,3
21798,7,10.434444709088002,7,4
21798,9,9.9036783632902505,9,5
21798,18,13.121182135334491,18,7
21798,19,3.4026749732096717,19,8
21798,25,8.5974670448034001,25,11
21798,26,15.027920928995202,26,9
21798,27,12.65601449723585,27,10
21798,35,17.099324639131996,35,12
21798,37,16.426834312349563,37,13
21798,38,11.183384295379325,38,14
21798,40,11.275402889527571,40,15
21798,47,15.783574615152343,47,16
21798,48,14.773051465239384,48,17
21798,49,13.839186796927947,49,19
21798,50,17.504442279345852,50,18
21798,61,9.1405192827528143,61,20
21798,64,9.9141279190826808,64,21
21798,65,10.5882706926801,65,22
21798,67,10.013249536236426,67,24
21798,68,13.838736029301465,68,23
21798,69,12.165633933653092,69,25
21798,75,12.700161258249562,75,27
21798,77,18.317476093710095,77,26
21798,80,16.32262656539617,80,28
21798,83,14.07583065081457,83,29
21798,89,16.57640814986701,89,30
43596,0,7.9515273697959215,0,14
43596,1,14.762996519757658,1,0
43596,5,21.705613977649321,5,1
43596,6,16.158620840109723,6,2
43596,26,22.242700804565743,26+37,3
43596,35,20.296878937415379,35,4
43596,47,16.89979289801418,47,5
43596,48,14.792936055845793,48,7
43596,49,10.043463296610192,49,8
43596,50,21.790205048360136,50,6
43596,68,11.353551517494257,68,9
43596,77,21.633418007121751,77,10
43596,80,17.961399625542711,80,11
43596,83,12.956270641303073,83,12
43596,89,19.033354873745921,89,13
65393,5,24.35671698878674,5,0
65393,6,12.576214212037772,6,1
65393,26,23.704312531225508,26+37,2
65393,35,21.937890595316347,35,3
65393,47,14.229841976093789,47,5
65393,48,5.6112836012399931,48,6
65393,50,24.193787923213197,50,4
65393,77,24.046942690080432,77,7
65393,80,17.039642660891005,80,8
65393,89,19.539157919987684,89,9
108989,5,27.766636773798098,5,0
108989,26,24.005747977616611,26+37,2
108989,35,21.317194572069511,35,1
108989,50,26.519791530842866,50,3
108989,77,26.119673048052622,77,4
108989,89,14.709796995973552,89,5
152585,5,29.874979145413594,5,0
152585,26,23.032858843182559,26+37,1
152585,35,16.54322616648712,35,2
152585,50,27.860538505413242,50,3
152585,77,26.987742766685994,77,4
