particle_id,component_cell_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm,overlap_parent_count,age_h,step,source_phi,canonical_particle_id
19,45296,25208.53889429396,18.189455067442964,168.44995366167763,128.76305639170056,27.402424522623743,0,14.0,29064,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_29064.vtk,66
20,19037,8678.706694726103,12.748393708016028,164.95612241955493,210.62070036286713,129.79361027392815,0,14.0,29064,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_29064.vtk,74
21,21178,9941.903049571743,13.339113609756351,183.58308756556153,74.3976193552443,116.84799677205507,0,14.0,29064,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_29064.vtk,84
22,42875,23644.981188417867,17.80533385283462,210.4613242687852,25.276308089156927,218.47454104535564,0,14.0,29064,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_29064.vtk,89
23,30275,15503.912547178914,15.468596116839816,217.32067300365551,172.07541618380498,227.45234304470682,0,14.0,29064,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_29064.vtk,90
24,26052,12873.700230462051,14.53912468366907,223.1331963770798,178.97263417837678,81.18566483664904,0,14.0,29064,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_29064.vtk,24
1,37006,19747.029031470374,16.7676056632547,233.7505978234433,231.49143837819489,65.73543751641502,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,1
2,6385,2017.5681856168053,7.838745008626448,6.3871138424418366,6.5149082604847655,144.48243186500744,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,3
3,25711,12652.244990825866,14.45527398909521,233.72810507605703,30.629958066416624,87.2458588803304,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,5
5,50905,28925.47972899064,19.042793314525497,220.1106529026458,88.81646204473195,149.5317274546463,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,11
6,41042,22386.97314282657,17.483790328732447,18.814919300827682,118.18935408871842,209.7388730224685,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,10
7,38294,20656.573263535094,17.02118881956675,18.119581846705056,194.33609332385,151.63550280130576,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,21
9,39077,21096.947815831547,17.14129673525774,57.26241257799193,170.14413731032798,26.990557543602225,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,28
10,21863,10333.262796157233,13.511895830898052,60.43747128980172,206.36065601527383,64.14938586828099,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,31
11,30863,15851.397275463358,15.583307735649564,69.79390040244435,1.6557678697524714,6.8633991554941245,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,37
12,43855,24209.291034258156,17.945868758811628,91.01995836789088,50.46788280473571,172.46800645869897,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,43
14,43318,23779.966547904693,17.839152166741357,112.87526368304438,94.99604759169272,128.65148905683336,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,46
