merge_group_id,age_h,step,lineage_parent_ids,tracked_child_id,state,component_count,h_volume_nm3,equivalent_group_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
MG_15h_46_68_to_46,14.0,29064,46+68,46,pre_merge_members,2,33987.485274400875,20.094481647257254,128.87749806893052,95.99689660994092,135.12567430179368
MG_15h_46_68_to_46,15.0,32697,46+68,46,pre_merge_members,2,36205.81291683102,20.522482683898943,127.52264664094167,95.73815072106194,134.54634438341995
MG_15h_46_68_to_46,16.0,36330,46+68,46,merged_child,1,38097.23750258787,20.8738051594973,128.07855203818212,95.4585899054908,134.51195821496378
MG_15h_46_68_to_46,17.0,39963,46+68,46,post_merge_continuation,1,40541.99746104345,21.311082529480366,127.05766988677212,95.0442984863685,133.88821131486137
