case_id,case_label,family,count,mean_radius_nm,std_radius_nm,CV,skewness,kurtosis,Q10_nm,Q50_nm,Q90_nm,M3_number_nm3,M6_number_nm6
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,8.87841796875,0.7278553934262108,0.08198030279584664,0.34029646053681545,1.9187931901199113,8.0,9.0,9.75,714.0947570800781,541662.768394947
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,8.87841796875,0.7278553934262108,0.08198030279584664,0.34029646053681545,1.9187931901199113,8.0,9.0,9.75,714.0947570800781,541662.768394947
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,8.87841796875,0.7278553934262108,0.08198030279584664,0.34029646053681545,1.9187931901199113,8.0,9.0,9.75,714.0947570800781,541662.768394947
004,NARROW_N512_A,NARROW,512,8.9365234375,0.12450693158689437,0.01393236782264013,-2.3857265524915743,14.207399397540032,8.75,9.0,9.0,714.0947265625,510765.7177410126
005,NARROW_N512_B,NARROW,512,8.9365234375,0.12450693158689437,0.01393236782264013,-2.3857265524915743,14.207399397540032,8.75,9.0,9.0,714.0947265625,510765.7177410126
006,NARROW_N512_C,NARROW,512,8.9365234375,0.12450693158689437,0.01393236782264013,-2.3857265524915743,14.207399397540032,8.75,9.0,9.0,714.0947265625,510765.7177410126
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,8.71484375,1.3625087352787641,0.156343449677886,1.454877251181698,3.215358957826031,8.0,8.0,11.5,714.0947875976562,661693.6366643906
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,8.71484375,1.3625087352787641,0.156343449677886,1.454877251181698,3.215358957826031,8.0,8.0,11.5,714.0947875976562,661693.6366643906
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,8.71484375,1.3625087352787641,0.156343449677886,1.454877251181698,3.215358957826031,8.0,8.0,11.5,714.0947875976562,661693.6366643906
010,BIMODAL_N512_A,BIMODAL,512,8.79736328125,1.1056618673454075,0.12568105146935643,0.7185095778932452,1.5925093537657167,8.0,8.0,10.5,714.0948181152344,589573.2796874046
011,BIMODAL_N512_B,BIMODAL,512,8.79736328125,1.1056618673454075,0.12568105146935643,0.7185095778932452,1.5925093537657167,8.0,8.0,10.5,714.0948181152344,589573.2796874046
012,BIMODAL_N512_C,BIMODAL,512,8.79736328125,1.1056618673454075,0.12568105146935643,0.7185095778932452,1.5925093537657167,8.0,8.0,10.5,714.0948181152344,589573.2796874046
013,NARROW_N256_A,NARROW,256,11.259765625,0.13941263417767907,0.012381486331131255,-2.2828310456054535,15.959701298488683,11.25,11.25,11.5,1428.1895751953125,2042388.9621925354
014,NARROW_N256_B,NARROW,256,11.259765625,0.13941263417767907,0.012381486331131255,-2.2828310456054535,15.959701298488683,11.25,11.25,11.5,1428.1895751953125,2042388.9621925354
015,NARROW_N256_C,NARROW,256,11.259765625,0.13941263417767907,0.012381486331131255,-2.2828310456054535,15.959701298488683,11.25,11.25,11.5,1428.1895751953125,2042388.9621925354
016,NARROW_N640_A,NARROW,640,8.29609375,0.1083630643297683,0.013061938256154385,2.7528602076145314,15.356185592173519,8.25,8.25,8.5,571.275830078125,326894.8663368225
017,NARROW_N640_B,NARROW,640,8.29609375,0.1083630643297683,0.013061938256154385,2.7528602076145314,15.356185592173519,8.25,8.25,8.5,571.275830078125,326894.8663368225
018,NARROW_N640_C,NARROW,640,8.29609375,0.1083630643297683,0.013061938256154385,2.7528602076145314,15.356185592173519,8.25,8.25,8.5,571.275830078125,326894.8663368225
019,NARROW_N704_A,NARROW,704,8.036576704545455,0.10822463130433,0.013466508848614434,3.4823961957231924,18.01245420406684,8.0,8.0,8.25,519.3416859019886,270199.14724003186
020,NARROW_N704_B,NARROW,704,8.036576704545455,0.10822463130433,0.013466508848614434,3.4823961957231924,18.01245420406684,8.0,8.0,8.25,519.3416859019886,270199.14724003186
021,NARROW_N704_C,NARROW,704,8.036576704545455,0.10822463130433,0.013466508848614434,3.4823961957231924,18.01245420406684,8.0,8.0,8.25,519.3416859019886,270199.14724003186
