family,particle_count,candidate_common_target_h_volume_nm3,selected_h_volume_nm3,absolute_h_volume_error_nm3,relative_h_volume_error,shape_contract_status,count,mean_radius_nm,std_radius_nm,CV,skewness,kurtosis,Q10_nm,Q50_nm,Q90_nm,M3_number_nm3,M6_number_nm6
NARROW,256,1531490.9025410344,1531490.944854684,0.042313649551942945,2.7629057072253294e-08,PASS,256,11.259765625,0.13941263417767907,0.012381486331131255,-2.2828310456054535,15.959701298488683,11.25,11.25,11.5,1428.1895751953125,2042388.9621925354
NARROW,512,1531490.9025410344,1531490.8139438564,0.0885971779935062,5.785028030300842e-08,PASS,512,8.9365234375,0.12450693158689437,0.01393236782264013,-2.3857265524915743,14.207399397540032,8.75,9.0,9.0,714.0947265625,510765.7177410126
NARROW,640,1531490.9025410344,1531490.944829923,0.042288888711482286,2.761288927104757e-08,PASS,640,8.29609375,0.1083630643297683,0.013061938256154385,2.7528602076145314,15.356185592173519,8.25,8.25,8.5,571.275830078125,326894.8663368225
NARROW,704,1531490.9025410344,1531491.010272792,0.1077317576855421,7.034436672577987e-08,PASS,704,8.036576704545455,0.10822463130433,0.013466508848614434,3.4823961957231924,18.01245420406684,8.0,8.0,8.25,519.3416859019886,270199.14724003186
REF_BROAD_METHOD1LIKE,512,1531490.9025410344,1531490.87938799,0.023153044283390045,1.5117977028119948e-08,PASS,512,8.87841796875,0.7278553934262108,0.08198030279584664,0.34029646053681545,1.9187931901199113,8.0,9.0,9.75,714.0947570800781,541662.768394947
SMALL_RICH_LONGTAIL,512,1531490.9025410344,1531490.9448364251,0.042295390740036964,2.7617134825849032e-08,PASS,512,8.71484375,1.3625087352787641,0.156343449677886,1.454877251181698,3.215358957826031,8.0,8.0,11.5,714.0947875976562,661693.6366643906
BIMODAL,512,1531490.9025410344,1531491.0102864276,0.10774539317935705,7.035327013734588e-08,PASS,512,8.79736328125,1.1056618673454075,0.12568105146935643,0.7185095778932452,1.5925093537657167,8.0,8.0,10.5,714.0948181152344,589573.2796874046
