step,nominal_age_h,observable,sample_count,mean,sample_std,minimum,maximum,range,coefficient_of_variation
0,6,particle_count,3,96.0,0.0,96.0,96.0,0.0,0.0
0,6,number_density_m3,3,6.448607020276032e+21,0.0,6.448607020276032e+21,6.448607020276032e+21,0.0,0.0
0,6,beta_volume_fraction,3,0.02392961142634886,6.1126301224639485e-09,0.02392960632032822,0.023929618199627172,1.187929895077322e-08,2.554420969716767e-07
0,6,mean_radius_nm,3,9.54160960956291,7.06501130167083e-07,9.541608987237025,9.541610377537319,1.3903002944459786e-06,7.404422933621228e-08
0,6,Sv_nm_inv,3,0.00742616931834586,1.18552071566963e-09,0.007426168302579498,0.007426170620976416,2.3183969180204378e-09,1.596409487649143e-07
0,6,M6_nm3,3,5.3578270469787475,3.1414703689535867e-06,5.3578245501188855,5.357830574247023,6.024128137660512e-06,5.863329184403305e-07
0,6,far_field_matrix_xAg,3,0.006203060042179947,1.7443637860853434e-07,0.006202917319236994,0.0062032544917148096,3.3717247781544363e-07,2.812102049994538e-05
0,6,mass_relative_error,3,7.36380058688349e-14,4.802456913087e-14,1.8246585525021037e-14,1.0361453923136947e-13,8.536795370634843e-14,0.6521709620492993
21798,12,particle_count,3,27.666666666666668,2.886751345948129,26.0,31.0,5.0,0.10434041009451069
21798,12,number_density_m3,3,1.8584527176489954e+21,1.9391171870075404e+20,1.7464977346580922e+21,2.0823626836308022e+21,3.3586494897271e+20,0.10434041009451067
21798,12,beta_volume_fraction,3,0.023223765455971913,5.953148378304243e-05,0.023155118796488197,0.023261207225661194,0.00010608842917299646,0.002563386367981688
21798,12,mean_radius_nm,3,13.873483240617437,0.740300368440476,13.027173999960983,14.400873830734051,1.3736998307730683,0.05336081469959155
21798,12,Sv_nm_inv,3,0.004669211157943432,8.052639279109595e-05,0.0045979364559959315,0.004756563473701731,0.00015862701770579923,0.017246252111366073
21798,12,M6_nm3,3,20.8384703623596,0.7076257229118142,20.36025429369112,21.6513520519595,1.2910977582683785,0.03395766150811118
21798,12,far_field_matrix_xAg,3,0.006915451506585005,6.074906664991184e-05,0.006877363584316807,0.006985509502374326,0.00010814591805751936,0.00878454090699148
21798,12,mass_relative_error,3,1.255538861126448e-13,1.2991039951031597e-13,1.0426620300012023e-14,2.664001486653073e-13,2.559735283652953e-13,1.0346983556826157
43596,18,particle_count,3,16.0,1.0,15.0,17.0,2.0,0.0625
43596,18,number_density_m3,3,1.0747678367126722e+21,6.717298979454203e+19,1.0075948469181301e+21,1.1419408265072142e+21,1.3434597958908405e+20,0.06250000000000001
43596,18,beta_volume_fraction,3,0.023440249223792856,4.044208217137239e-05,0.023393972480637175,0.023468810628888327,7.483814825115162e-05,0.0017253264581471237
43596,18,mean_radius_nm,3,16.454740521513624,0.6398032144167249,15.743068578142307,16.98230429217645,1.2392357140341446,0.03888260733010157
43596,18,Sv_nm_inv,3,0.003866727154017168,0.00011211537103994832,0.0037562358139695334,0.003980398882048383,0.0002241630680788493,0.028994901003933246
43596,18,M6_nm3,3,39.786400033298264,5.4527114184675085,33.65392780798587,44.08821298185542,10.434285173869547,0.13704963037379592
43596,18,far_field_matrix_xAg,3,0.006697197239972405,4.285215977460549e-05,0.006667503948157043,0.006746322726485103,7.881877832805959e-05,0.00639852138725155
43596,18,mass_relative_error,3,8.775738752510117e-14,6.106507945354411e-14,2.710921278003127e-14,1.4923100304392197e-13,1.221217902638907e-13,0.6958397597703979
65393,24,particle_count,3,11.0,1.7320508075688772,10.0,13.0,3.0,0.15745916432444337
65393,24,number_density_m3,3,7.389028877399622e+20,1.163470312204524e+20,6.717298979454201e+20,8.732488673290461e+20,2.0151896938362595e+20,0.15745916432444332
65393,24,beta_volume_fraction,3,0.023590372165826944,5.644169426817846e-05,0.023532755387263796,0.023645560376428353,0.00011280498916455689,0.002392573286738562
65393,24,mean_radius_nm,3,18.61317659720151,0.6436690981281631,17.921446966173246,19.194503715544034,1.273056749370788,0.03458136738599142
65393,24,Sv_nm_inv,3,0.0034161192969270567,0.00022646456940913603,0.0032619137427315177,0.0036761200961275826,0.0004142063533960649,0.0662929335087479
65393,24,M6_nm3,3,58.633828088064384,13.197362795714708,43.395881692890214,66.4081299857159,23.01224829282569,0.22508103642649915
65393,24,far_field_matrix_xAg,3,0.0065444378833196095,5.713395183658547e-05,0.006488566582568312,0.006602755876704542,0.00011418929413623078,0.00873015419432857
65393,24,mass_relative_error,3,1.1252061073762977e-13,8.855689431435046e-14,3.1149528146285894e-14,2.0683808020148858e-13,1.7568855205520268e-13,0.7870282051778339
108989,36,particle_count,3,6.666666666666667,2.0816659994661326,5.0,9.0,4.0,0.31224989991991986
108989,36,number_density_m3,3,4.478199319636134e+20,1.3983172893778364e+20,3.358649489727101e+20,6.045569081508781e+20,2.6869195917816804e+20,0.31224989991991997
108989,36,beta_volume_fraction,3,0.02375545318155001,7.830949511198949e-05,0.023665039522111804,0.02380184519688273,0.0001368056747709269,0.0032964850012968646
