matrix_mode,descriptor_model,kappa_MAPE_percent,kappa_RMS_relative_percent,kappa_max_relative_percent,delta_kappa_signal_NRMSE_percent,delta_kappa_max_abs_error_W_mK,comparison_cells
fixed_6h_matrix,Nv_plus_mean_R,0.33625705611773743,0.38276523989237987,0.91568207107725585,265.4776943996111,0.01883292033682249,315
fixed_6h_matrix,Nv_plus_mean_R_plus_CV_lognormal,0.041635831867919193,0.05720384355286269,0.17340896714056495,46.113266057263083,0.0039508662299798658,315
fixed_6h_matrix,Sv_geometric_limit,3.8334059389997628,4.0267369944334925,8.7937530873127994,3205.3856190414117,0.1324740506995159,315
fixed_6h_matrix,Sv_plus_M6,0.08264986295110778,0.089949981326262654,0.19309614205298556,48.740239408860887,0.0033695831806439536,315
fixed_6h_matrix,full_PSD,0,0,0,0,0,315
pf_time_varying_matrix,Nv_plus_mean_R,0.33759678106262048,0.38445339744317547,0.91926523823530459,50.330922324307451,0.018810482118451599,315
pf_time_varying_matrix,Nv_plus_mean_R_plus_CV_lognormal,0.041857420775590813,0.057504036908960346,0.17415200513380738,8.7588789044887339,0.0039509426639550149,315
pf_time_varying_matrix,Sv_geometric_limit,3.8532576796858469,4.052281201209845,8.7937530873127994,608.87523739797712,0.13247528505081263,315
pf_time_varying_matrix,Sv_plus_M6,0.083029848321381591,0.090447033567859339,0.19510519054032119,9.2386347615045654,0.0033591538786983399,315
pf_time_varying_matrix,full_PSD,0,0,0,0,0,315
