step,age_h,elapsed_physical_time_s,particle_count,Nv_m-3,mean_radius_nm,std_radius_nm,CV,Sv_nm-1,M6_nm3,matrix_xAg,matrix_xB,full_psd_multiset_sha256
0,6,0,96,6.4486070202760325e+21,9.5416094639143871,0.77364551645683621,0.081081238902378311,0.0074261690314816695,5.357826016570332,0.006203008315588036,0.0062223069064392339,a7150a4ca2a2550e9f79b3dbc9fe03912c6b3fb7ab3647119d41aa1e7008d36d
3633,7.0000095845504964,3600.0345043817879,85,5.7097041325360708e+21,9.4003622822620247,2.0238532257497583,0.21529523703237055,0.0066342292682680104,6.3710865091365054,0.007691146078945524,0.0077208527203709151,7e4ab59c1258b6ddc05990fefddd5ab7f6d0526764e6174c50172aee1e327068
7266,8.0000191691009928,7200.0690087635758,61,4.0975523774670627e+21,10.593892082114651,2.120463871874998,0.20015909690593442,0.0060104278867226359,9.0588980473208611,0.0073805153529494872,0.0074078571086864673,ac9366fe5511c5dea761d34c158f2bca0e6c25758ec0a4c1af86d1982b037f0a
10899,9.00002875365149,10800.103513145363,49,3.2914764999325584e+21,11.193285311704189,2.8732920178828198,0.25669782712305028,0.0055236950742713602,12.048478303782233,0.0072702283939443989,0.0072967600761607229,200d36e6f0826bc5ddbf91dc25ec3b23d11242f2352a069e81eea05a9648bd50
14532,10.000038338201986,14400.138017527152,37,2.4854006223980541e+21,12.649657017302065,2.2849452223919595,0.18063297836981951,0.0051606900814325559,15.000087618532305,0.0070666959836979968,0.0070917566679025781,c1df585b9c6e75863ccb336242620b659cdd83ae67c2a5d749f2a6c5c64f3b9a
18165,11.000047922752483,18000.172521908939,33,2.2167086632198862e+21,13.096196340475631,2.5386749437363356,0.19384826538452274,0.0049571177653076883,17.537418714586686,0.0069821933843130643,0.007006657211737397,7cc8c81b73d515cbd67358886bea373c6c8d5364976c7f0c2b7aff0b787531d4
21798,12.00005750730298,21600.207026290725,31,2.0823626836308022e+21,13.027173999960985,3.4734375871945242,0.26663016761769875,0.0047565634737017307,20.503804741428187,0.0069855095023743262,0.0070099989987237677,9b91a20e8563e70ac809662525fdb4524bce2ea23066958ac3a7c21e88da62bb
25431,13.000067091853477,25200.241530672516,27,1.8136707244526343e+21,13.468937432225955,4.0105866605609801,0.29776563153119995,0.0045012070233184862,24.434606774025994,0.0069379930449437093,0.0069621495507189201,43a06a4520bd1962f786b88389341c88d39483d8aaefc11d07c831c0d060208d
29064,14.000076676403973,28800.276035054303,22,1.4778057754799241e+21,14.750672942695275,3.6284120451764323,0.24598281442971517,0.0042851364322066326,28.295499010761553,0.0068318822625362706,0.0068553025006848666,88142e90603138ef79e9f63acb5e9cb113cda24f0a224dd7f3ba5120069c4cd7
32697,15.00008626095447,32400.31053943609,19,1.2762868060962981e+21,15.627657887354994,3.5343614157596668,0.22616065959694892,0.004117276833469157,31.956988037551053,0.0067448879252799392,0.0067677137687702201,17ad6e3450cbb420714986a69e81995b2925ba1e2c40e1188751ea34794cd3a3
36330,16.000095845504966,36000.345043817877,16,1.0747678367126722e+21,16.381544648883995,4.2854523863070675,0.26160246046144475,0.0038724219733598593,38.492257475626772,0.0066998670904765325,0.0067223896800947449,b1b9352d8570289d44fa415e27a986226ee11c3850cff7d12faf355d1bea02d0
39963,17.000105430055463,39600.379548199664,15,1.0075948469181301e+21,17.014806331352222,3.5525346067851711,0.20879077537539267,0.0038254384976029975,40.954737466020056,0.0066532051736125546,0.0066754132685215208,4d9673c9b122228b3080906740e53baad950fa1d68f723e0fe180ca2ca5c8062
43596,18.00011501460596,43200.414052581451,15,1.0075948469181301e+21,16.638848694222116,4.4505489032837566,0.26747937823541973,0.0037562358139695338,44.088212981855442,0.0066675039481570433,0.006689808712860088,15af7487fe7c6bc857d46e205e816c8d8d0c9f46bba88219f358463928861e76
47229,19.000124599156457,46800.448556963245,13,8.7324886732904609e+20,17.674827528563814,4.2025706224855925,0.23777152086457032,0.0036219485311266625,48.231955392537046,0.0066424609369539226,0.0066645985516493025,a23e8f1a47e21f38b7cd534d72d254e1897952766bed0387806182765a08713a
50862,20.000134183706955,50400.483061345032,12,8.0607587753450406e+20,18.238383780781994,4.1365021161420117,0.2268020108503635,0.0035427673504422044,51.656761946128945,0.0065932029847887283,0.0066150118366036766,75134195865ee63efbb62f205d40fe6d7f31b7772ee4dda1778ff9386e769207
54495,21.000143768257452,54000.517565726819,11,7.3890288773996203e+20,18.862931758256103,4.0209123798426942,0.2131647631117991,0.0034539369241743697,55.180912164331744,0.0066076795368715481,0.0066295860363913429,0a1916966a8df235ee6a979fa019b807c9612b1346e2849886002ad40b3d0f70
58128,22.000153352807946,57600.552070108606,11,7.3890288773996203e+20,18.560343019442364,4.7910677368283787,0.25813465472107011,0.0034118069063058371,58.432208446311876,0.0065680375946212417,0.0065896804074456533,773b392ba707ca54b8109cc7d50f7a68de7cc4c2fbe93bd1af65c4010aeb6143
61761,23.000162937358443,61200.586574490393,10,6.7172989794542014e+20,19.310522866376051,4.6350060107658129,0.24002488398884306,0.0033290395624603901,62.394724771539742,0.0065315122196698784,0.0065529137261388275,e5fb1cf672eafd652253cfb0460e3ca756197011a215a4725681976604b366c3
65393,23.999897264660234,64799.630152776837,10,6.7172989794542014e+20,18.723579109887247,5.9879045020072397,0.31980554929507271,0.0032619137427315182,66.097472585587056,0.0065419911906859753,0.0065634624731142352,77da08d61b1e55585e05c72c2dd5783d59da40476d14a4fbd8d6a4d656afa72e
65394,24.00017252190894,64800.62107887218,10,6.7172989794542014e+20,18.72315386243535,5.9888689088804563,0.31986432162457673,0.0032618768238878476,66.098705221907011,0.0065420033285479434,0.006563474691634201,515dcad04032d9f9707a689c11543a5fdeb1c82fd415c8df25ae0e854cda0979
69027,25.000182106459437,68400.655583253974,9,6.0455690815087811e+20,19.921300895120872,5.0259461538246768,0.25229005777708186,0.00320686958398377,69.538540058637636,0.0065083019202310452,0.0065295520380331982,c6e658917deb12706476b13fd4f2fb17104ac33a0fafe65a0d223599e94867e5
72660,26.000191691009931,72000.690087635754,9,6.0455690815087811e+20,19.269077348659899,6.4699718912485693,0.33576967771622623,0.0031387960001166403,73.681345384170513,0.0065039692321014284,0.0065251915110441623,4b2d01a64d1f9ce5797f675311569f20ae54d2f0d69ae300e3c0a8ebfe066107
76293,27.000201275560428,75600.724592017548,8,5.3738391835633608e+20,20.282253363425252,6.4377365271185329,0.31740736158673705,0.0030578390200927119,77.833325761327771,0.0064599518506295601,0.006480887386881992,d80de3850dbbca4292ed4849e0595a2e89327293da5ce9f8fbfad5a837161e2e
79926,28.000210860110926,79200.759096399328,7,4.7021092856179406e+20,22.259579100838803,4.0496455298184193,0.18192821667799719,0.0030246696437959421,80.415078624648785,0.0063948851556156171,0.0064153988483531153,d3ddb043c7290e0e72e287c119a2a703364f792821d9beecce3d35c48104f724
