temperature,s_GP,dt_code,dt_physical_s,array_job_id,array_task_id,event_id,atomic_handoff_step,atomic_GP_debit_m3,final_system_relative_drift,restart_status,real_GP_sites,runtime_candidate_limit,quantitative_population_burst_verified,classification,task_status
T380,0.01,0.02,0.9909260953431841,71156,0,15533,91,8.689976500400955e-25,5.4304220748480144e-11,PASS_FIXED_DT_RAW_CHECKPOINT_AND_LEDGER_BYTEWISE,15729,1,false,ANALYTICAL_BURST_NOT_QUANTITATIVE_POPULATION_VALIDATION,PASS_LOW_S001_CLUSTER_TASK_V1
T400,0.01,0.02,0.8225917084910954,71156,1,15533,91,5.898725086352716e-25,9.621994329507444e-11,PASS_FIXED_DT_RAW_CHECKPOINT_AND_LEDGER_BYTEWISE,15729,1,false,ANALYTICAL_BURST_NOT_QUANTITATIVE_POPULATION_VALIDATION,PASS_LOW_S001_CLUSTER_TASK_V1
