age_h,threshold_h,connected,left_marker_h,right_marker_h,left_component_label,right_component_label,connected_component_cell_count,straight_line_min_h,straight_line_min_fraction,straight_line_mean_h,source_phi
15.0,0.75,0,1.0,1.0,9,14,0,2.5951735006627345e-05,0.671875,0.7811190549028496,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk
16.0,0.0001,1,1.0,1.0,10,10,71668,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.0005,1,1.0,1.0,10,10,65953,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.001,1,1.0,1.0,10,10,63505,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.005,0,1.0,1.0,10,14,0,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.01,0,1.0,1.0,10,14,0,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.05,0,1.0,1.0,10,14,0,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.1,0,1.0,1.0,10,14,0,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.25,0,1.0,1.0,10,14,0,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.5,0,1.0,1.0,9,13,0,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
16.0,0.75,0,1.0,1.0,8,12,0,0.0002187235077873473,0.69921875,0.8072742874086185,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
17.0,0.0001,1,1.0,1.0,10,10,75019,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.0005,1,1.0,1.0,10,10,69281,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.001,1,1.0,1.0,10,10,66878,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.005,1,1.0,1.0,10,10,61126,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.01,1,1.0,1.0,10,10,58645,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.05,1,1.0,1.0,10,10,52447,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.1,0,1.0,1.0,10,13,0,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.25,0,1.0,1.0,10,13,0,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.5,0,1.0,1.0,9,12,0,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
17.0,0.75,0,1.0,1.0,9,12,0,0.01158314885429764,0.697265625,0.8628759963723995,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
