age_h,left_parent_id,right_parent_id,left_marker_x_nm,left_marker_y_nm,left_marker_z_nm,right_marker_x_nm,right_marker_y_nm,right_marker_z_nm,marker_periodic_distance_nm,straight_line_min_h,straight_line_min_fraction,max_registered_connected_threshold_h,connected_threshold_count,source_phi
14.0,46,68,101.5,93.5,128.5,152.5,94.5,145.5,53.76802023508026,1.3924983939206374e-06,0.6669921875,0.0,0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_29064.vtk
15.0,46,68,101.5,90.5,128.5,152.5,96.5,145.5,54.092513345194085,2.5951735006627345e-05,0.671875,0.0,0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk
16.0,46,68,101.5,90.5,128.5,151.5,95.5,145.5,53.04714883949938,0.0002187235077873473,0.69921875,0.001,3,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk
17.0,46,68,100.5,94.5,128.5,153.5,95.5,145.5,55.66866263886712,0.01158314885429764,0.697265625,0.05,6,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk
