target_radius_nm,phi_l1_normalized,xB_mean_absolute,canonical_l1_relative,axis_relative_max,centroid_periodic_max_nm,far_xB_absolute,reference_min_pseudo_time,candidate_min_pseudo_time,reference_converged_pseudo_time,candidate_converged_pseudo_time,pseudo_time_difference,pseudo_time_alignment_max,reference_axis_ratio,candidate_axis_ratio,status,failed_checks
8.0,0.00010171102523854062,8.863917925260914e-08,1.456284317316965e-05,1.4221319077488774e-05,2.0297014913239764e-07,1.0754160188232442e-08,300.0,300.0,300.95,300.475,0.4749999999999659,7.5,1.3489234952349012,1.3489602014635131,PASS,
8.5,0.00011860269697915438,1.4818283747430045e-07,2.419799785342738e-05,2.3207954269684035e-05,5.514070267054194e-08,1.8511094854005428e-08,300.0,300.0,300.95,300.475,0.4749999999999659,7.5,1.3705858689474806,1.3706472262562235,PASS,
9.0,0.00011650325002967836,1.9336982446345541e-07,3.2346737704460186e-05,3.194887036131759e-05,5.196932306716917e-08,2.5182393214966126e-08,300.0,300.0,300.95,300.475,0.4749999999999659,7.5,1.3914850962230718,1.3915709648828687,PASS,
9.5,0.00011249916086352527,2.0663229298270928e-07,3.52470052518878e-05,3.510300866884321e-05,4.159198851994006e-08,2.7707181124089764e-08,300.0,300.0,300.95,300.475,0.4749999999999659,7.5,1.4120043551682635,1.4121006089575903,PASS,
10.0,0.0001282793430700659,2.8246356972893906e-07,4.9764395083022667e-05,5.024064709206232e-05,4.243809570425583e-08,3.875465915889609e-08,300.0,300.0,300.95,300.475,0.4749999999999659,7.5,1.432877127744296,1.4330169825738504,PASS,
10.5,0.0001355296017352856,3.352417697053388e-07,6.0959062726700926e-05,6.23767518720456e-05,1.861590703811089e-08,4.758904080873205e-08,300.0,300.0,300.95,300.55,0.39999999999997726,7.5,1.4528739690469545,1.4530486346351046,PASS,
11.0,0.00014761270934116936,3.8773255419330117e-07,7.21544047974677e-05,7.354232424796693e-05,4.7643936795793707e-08,5.6789156059090795e-08,300.0,300.0,302.6,300.475,2.125,7.5,1.4740618353551052,1.4742703823774537,PASS,
11.5,0.0001561935557479088,4.569722965350028e-07,8.679487446209613e-05,8.631569681085635e-05,1.1738102045910637e-08,6.818570233001892e-08,314.0,310.0,320.45000000000005,314.175,6.275000000000034,7.5,1.4947403264139607,1.4949940289748813,PASS,
