step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_total,dxB,deta,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
126,1.2600000000e-02,1.0000000000e-04,409977,44,46,57,-2.7916702386e+03,4.8361634202e-01,4.8937444758e-01,2.8466769595e-02,-3.5301380456e+00,4.6930262307e-01,1.8709757978e+00,-2.7916702386e+03,3.2107075357e-02,-2.7916381315e+03,-1.2696929696e-05,1.2874038464e-04,-1.1480769797e+00,-1.1374562259e+00,1.0620753819e-02,interface,1,0,1,447024,48,48,48,9.9997363134e-01
127,1.2700000000e-02,1.0000000000e-04,465081,50,44,57,-2.7918891895e+03,4.8374508241e-01,4.8930744847e-01,2.8454072665e-02,-3.5305972404e+00,4.6954349727e-01,1.8710387592e+00,-2.7918891895e+03,3.1855318640e-02,-2.7918573342e+03,-1.2337140160e-05,1.2875120593e-04,-1.1478331702e+00,-1.1371455086e+00,1.0687661580e-02,interface,1,0,1,447024,48,48,48,9.9998106856e-01
128,1.2800000000e-02,1.0000000000e-04,410361,44,50,57,-2.7921200695e+03,4.8387383361e-01,4.8924066871e-01,2.8441735525e-02,-3.5310436136e+00,4.6978439979e-01,1.8711012302e+00,-2.7921200695e+03,3.1603528075e-02,-2.7920884659e+03,-1.1884856484e-05,1.2876248937e-04,-1.1475957241e+00,-1.1368413749e+00,1.0754349154e-02,interface,1,0,1,447024,48,48,48,9.9998850258e-01
129,1.2900000000e-02,1.0000000000e-04,410361,44,50,57,-2.7923668887e+03,4.8400259610e-01,4.8917411019e-01,2.8429850668e-02,-3.5314738004e+00,4.7002533144e-01,1.8711632108e+00,-2.7923668887e+03,3.1351702855e-02,-2.7923355370e+03,-1.1355265471e-05,1.2877451717e-04,-1.1473663374e+00,-1.1365455227e+00,1.0820814635e-02,interface,1,0,1,447024,48,48,48,9.9999593455e-01
130,1.3000000000e-02,1.0000000000e-04,502232,54,47,56,-2.7926392601e+03,4.8426619907e-01,4.8910776958e-01,2.8416431721e-02,-3.5319597254e+00,4.7051859218e-01,1.8712885511e+00,-2.7926392601e+03,3.0836126646e-02,-2.7926084240e+03,-1.0626332208e-05,1.3101735476e-04,-1.1471088587e+00,-1.1362217974e+00,1.0887061375e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
131,1.3100000000e-02,1.0000000000e-04,438392,47,54,56,-2.7929340579e+03,4.8439721642e-01,4.8904165969e-01,2.8405805389e-02,-3.5323446827e+00,4.7076376749e-01,1.8713500752e+00,-2.7929340579e+03,3.0579852999e-02,-2.7929034780e+03,-9.9835151658e-06,1.3103276020e-04,-1.1469020654e+00,-1.1359489888e+00,1.0953076572e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
132,1.3200000000e-02,1.0000000000e-04,438392,47,54,56,-2.7932531088e+03,4.8452824918e-01,4.8897577858e-01,2.8395821873e-02,-3.5327064802e+00,4.7100897966e-01,1.8714110929e+00,-2.7932531088e+03,3.0323536606e-02,-2.7932227852e+03,-9.3049348059e-06,1.3104902836e-04,-1.1467068565e+00,-1.1356879943e+00,1.1018862174e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
133,1.3300000000e-02,1.0000000000e-04,438392,47,54,56,-2.7935979954e+03,4.8465929821e-01,4.8891012927e-01,2.8386516939e-02,-3.5330437975e+00,4.7125423023e-01,1.8714716045e+00,-2.7935979954e+03,3.0067175881e-02,-2.7935679282e+03,-8.6031846625e-06,1.3106663103e-04,-1.1465239025e+00,-1.1354394873e+00,1.1084415172e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
134,1.3400000000e-02,1.0000000000e-04,438392,47,54,56,-2.7939697563e+03,4.8479036484e-01,4.8884471489e-01,2.8377913754e-02,-3.5333557708e+00,4.7149952165e-01,1.8715316104e+00,-2.7939697563e+03,2.9810768314e-02,-2.7939399455e+03,-7.8899041652e-06,1.3108550820e-04,-1.1463536444e+00,-1.1352039120e+00,1.1149732440e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
135,1.3500000000e-02,1.0000000000e-04,438392,47,54,56,-2.7943689246e+03,4.8492145035e-01,4.8877953864e-01,2.8370023850e-02,-3.5336419595e+00,4.7174485623e-01,1.8715911109e+00,-2.7943689246e+03,2.9554311513e-02,-2.7943393703e+03,-7.1758010970e-06,1.3110572671e-04,-1.1461963101e+00,-1.1349814993e+00,1.1214810794e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
136,1.3600000000e-02,1.0000000000e-04,502232,54,47,56,-2.7947955675e+03,4.8505255608e-01,4.8871460373e-01,2.8362848049e-02,-3.5339023128e+00,4.7199023641e-01,1.8716501064e+00,-2.7947955675e+03,2.9297802955e-02,-2.7947662697e+03,-6.4706958057e-06,1.3112721492e-04,-1.1460519309e+00,-1.1347722839e+00,1.1279647031e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
137,1.3700000000e-02,1.0000000000e-04,457014,49,56,54,-2.7952493229e+03,4.8518368329e-01,4.8864991335e-01,2.8356377353e-02,-3.5341371383e+00,4.7223566452e-01,1.8717085971e+00,-2.7952493229e+03,2.9041240254e-02,-2.7952202816e+03,-5.7835814602e-06,1.3114984048e-04,-1.1459203577e+00,-1.1345761197e+00,1.1344237977e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
138,1.3800000000e-02,1.0000000000e-04,438392,47,54,56,-2.7957294346e+03,4.8531483313e-01,4.8858547061e-01,2.8350593771e-02,-3.5343470719e+00,4.7248114261e-01,1.8717665833e+00,-2.7957294346e+03,2.8784621286e-02,-2.7957006500e+03,-5.1226934888e-06,1.3117401069e-04,-1.1458012752e+00,-1.1343926946e+00,1.1408580523e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
139,1.3900000000e-02,1.0000000000e-04,438392,47,54,56,-2.7962347853e+03,4.8544600714e-01,4.8852127854e-01,2.8345471078e-02,-3.5345330513e+00,4.7272667352e-01,1.8718240654e+00,-2.7962347853e+03,2.8527943129e-02,-2.7962062573e+03,-4.4955791861e-06,1.3119957987e-04,-1.1456942162e+00,-1.1342215446e+00,1.1472671662e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
140,1.4000000000e-02,1.0000000000e-04,438392,47,54,56,-2.7967639255e+03,4.8557720672e-01,4.8845734002e-01,2.8340975499e-02,-3.5346962901e+00,4.7297225979e-01,1.8718810436e+00,-2.7967639255e+03,2.8271203145e-02,-2.7967356543e+03,-3.9091658226e-06,1.3122630925e-04,-1.1455985740e+00,-1.1340620655e+00,1.1536508525e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
141,1.4100000000e-02,1.0000000000e-04,438392,47,54,56,-2.7973151005e+03,4.8570843303e-01,4.8839365776e-01,2.8337066333e-02,-3.5348382562e+00,4.7321790354e-01,1.8719375182e+00,-2.7973151005e+03,2.8014399162e-02,-2.7972870861e+03,-3.3698201340e-06,1.3125402939e-04,-1.1455136133e+00,-1.1339135249e+00,1.1600088407e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
142,1.4200000000e-02,1.0000000000e-04,438392,47,54,56,-2.7978862747e+03,4.8583968706e-01,4.8833023429e-01,2.8333696513e-02,-3.5349606505e+00,4.7346360656e-01,1.8719934892e+00,-2.7978862747e+03,2.7757529341e-02,-2.7978585171e+03,-2.8833959920e-06,1.3128257826e-04,-1.1454384810e+00,-1.1337750722e+00,1.1663408798e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
143,1.4300000000e-02,1.0000000000e-04,502232,54,47,56,-2.7984751544e+03,4.8597096964e-01,4.8826707190e-01,2.8330813117e-02,-3.5350653888e+00,4.7370937034e-01,1.8720489567e+00,-2.7984751544e+03,2.7500592158e-02,-2.7984476538e+03,-2.4552685388e-06,1.3131185022e-04,-1.1453722156e+00,-1.1336457482e+00,1.1726467408e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
144,1.4400000000e-02,1.0000000000e-04,502232,54,47,56,-2.7990792090e+03,4.8610228149e-01,4.8820417265e-01,2.8328357848e-02,-3.5351545836e+00,4.7395519617e-01,1.8721039205e+00,-2.7990792090e+03,2.7243586299e-02,-2.7990519654e+03,-2.0903535172e-06,1.3134162842e-04,-1.1453137561e+00,-1.1335244939e+00,1.1789262193e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
145,1.4500000000e-02,1.0000000000e-04,438392,47,54,56,-2.7996956909e+03,4.8623362312e-01,4.8814153833e-01,2.8326267495e-02,-3.5352305278e+00,4.7420108493e-01,1.8721583805e+00,-2.7996956909e+03,2.6986510870e-02,-2.7996687044e+03,-1.7931118485e-06,1.3137211775e-04,-1.1452619503e+00,-1.1334101590e+00,1.1851791375e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
146,1.4600000000e-02,1.0000000000e-04,502232,54,47,56,-2.8003216564e+03,4.8636499524e-01,4.8807917044e-01,2.8324474383e-02,-3.5352956773e+00,4.7444703789e-01,1.8722123366e+00,-2.8003216564e+03,2.6729364580e-02,-2.8002949270e+03,-1.5675395319e-06,1.3140317947e-04,-1.1452155639e+00,-1.1333015104e+00,1.1914053462e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
147,1.4700000000e-02,1.0000000000e-04,438392,47,54,56,-2.8009539859e+03,4.8649639842e-01,4.8801707019e-01,2.8322906843e-02,-3.5353526343e+00,4.7469305606e-01,1.8722657887e+00,-2.8009539859e+03,2.6472146406e-02,-2.8009275137e+03,-1.4171455097e-06,1.3143456315e-04,-1.1451732884e+00,-1.1331972411e+00,1.1976047269e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
148,1.4800000000e-02,1.0000000000e-04,456824,49,54,56,-2.8015894053e+03,4.8662783298e-01,4.8795523843e-01,2.8321489698e-02,-3.5354041293e+00,4.7493913998e-01,1.8723187365e+00,-2.8015894053e+03,2.6214855817e-02,-2.8015631905e+03,-1.3449195393e-06,1.3146588789e-04,-1.1451337508e+00,-1.1330959788e+00,1.2037771933e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
149,1.4900000000e-02,1.0000000000e-04,438392,47,54,56,-2.8022245091e+03,4.8675929887e-01,4.8789367571e-01,2.8320144778e-02,-3.5354530021e+00,4.7518528948e-01,1.8723711796e+00,-2.8022245091e+03,2.5957493027e-02,-2.8021985516e+03,-1.3532928842e-06,1.3149681466e-04,-1.1450955227e+00,-1.1329962958e+00,1.2099226926e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
150,1.5000000000e-02,1.0000000000e-04,438392,47,54,56,-2.8028557845e+03,4.8689079568e-01,4.8783238222e-01,2.8318791485e-02,-3.5355021815e+00,4.7543150375e-01,1.8724231174e+00,-2.8028557845e+03,2.5700058916e-02,-2.8028300844e+03,-1.4440948601e-06,1.3152726789e-04,-1.1450571311e+00,-1.1328967191e+00,1.2160412070e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
151,1.5100000000e-02,1.0000000000e-04,502232,54,47,56,-2.8034796380e+03,4.8702232295e-01,4.8777135779e-01,2.8317347390e-02,-3.5355546632e+00,4.7567778183e-01,1.8724745494e+00,-2.8034796380e+03,2.5442554510e-02,-2.8034541954e+03,-1.6185080711e-06,1.3155767880e-04,-1.1450170689e+00,-1.1327957414e+00,1.2221327543e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
152,1.5200000000e-02,1.0000000000e-04,502232,54,47,56,-2.8040924241e+03,4.8715388063e-01,4.8771060187e-01,2.8315728882e-02,-3.5356134866e+00,4.7592412359e-01,1.8725254752e+00,-2.8040924241e+03,2.5184979990e-02,-2.8040672391e+03,-1.8770244690e-06,1.3158751827e-04,-1.1449738069e+00,-1.1326918330e+00,1.2281973891e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
153,1.5300000000e-02,1.0000000000e-04,502232,54,47,56,-2.8046904742e+03,4.8728546815e-01,4.8765011357e-01,2.8313851858e-02,-3.5356817096e+00,4.7617052790e-01,1.8725758942e+00,-2.8046904742e+03,2.4927336577e-02,-2.8046655468e+03,-2.2194082905e-06,1.3161679812e-04,-1.1449258064e+00,-1.1325834544e+00,1.2342352031e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
154,1.5400000000e-02,1.0000000000e-04,438392,47,54,56,-2.8052701284e+03,4.8741708495e-01,4.8758989159e-01,2.8311632450e-02,-3.5357623827e+00,4.7641699363e-01,1.8726258058e+00,-2.8052701284e+03,2.4669625466e-02,-2.8052454588e+03,-2.6446651211e-06,1.3164532052e-04,-1.1448715323e+00,-1.1324690690e+00,1.2402463248e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
155,1.5500000000e-02,1.0000000000e-04,438392,47,54,56,-2.8058277681e+03,4.8754873027e-01,4.8752993429e-01,2.8308987785e-02,-3.5358585215e+00,4.7666351931e-01,1.8726752093e+00,-2.8058277681e+03,2.4411848240e-02,-2.8058033563e+03,-3.1510217218e-06,1.3167322600e-04,-1.1448094665e+00,-1.1323471573e+00,1.2462309201e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
156,1.5600000000e-02,1.0000000000e-04,438392,47,54,56,-2.8063598496e+03,4.8768040349e-01,4.8747023965e-01,2.8305836763e-02,-3.5359730787e+00,4.7691010372e-01,1.8727241042e+00,-2.8063598496e+03,2.4154006210e-02,-2.8063356956e+03,-3.7359153801e-06,1.3170014557e-04,-1.1447381224e+00,-1.1322162305e+00,1.2521891914e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
157,1.5700000000e-02,1.0000000000e-04,438392,47,54,56,-2.8068629371e+03,4.8781210364e-01,4.8741080530e-01,2.8302100847e-02,-3.5361089160e+00,4.7715674495e-01,1.8727724897e+00,-2.8068629371e+03,2.3896101405e-02,-2.8068390410e+03,-4.3959973409e-06,1.3172563866e-04,-1.1446560586e+00,-1.1320748449e+00,1.2581213768e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
158,1.5800000000e-02,1.0000000000e-04,456824,49,54,56,-2.8073337370e+03,4.8794382928e-01,4.8735162850e-01,2.8297704850e-02,-3.5362687762e+00,4.7740344026e-01,1.8728203650e+00,-2.8073337370e+03,2.3638136722e-02,-2.8073100989e+03,-5.1271494621e-06,1.3174970567e-04,-1.1445618930e+00,-1.1319216155e+00,1.2640277490e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
159,1.5900000000e-02,1.0000000000e-04,438392,47,54,56,-2.8077691302e+03,4.8807557898e-01,4.8729270620e-01,2.8292577701e-02,-3.5364552551e+00,4.7765018692e-01,1.8728677293e+00,-2.8077691302e+03,2.3380115055e-02,-2.8077457500e+03,-5.9245136513e-06,1.3177205907e-04,-1.1444543166e+00,-1.1317552304e+00,1.2699086142e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
160,1.6000000000e-02,1.0000000000e-04,502232,54,47,56,-2.8081662036e+03,4.8820735104e-01,4.8723403503e-01,2.8286653187e-02,-3.5366707757e+00,4.7789698165e-01,1.8729145816e+00,-2.8081662036e+03,2.3122039862e-02,-2.8081430816e+03,-6.7825350901e-06,1.3179282332e-04,-1.1443321066e+00,-1.1315744635e+00,1.2757643097e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
161,1.6100000000e-02,1.0000000000e-04,502232,54,47,56,-2.8085222806e+03,4.8833914386e-01,4.8717561132e-01,2.8279870652e-02,-3.5369175630e+00,4.7814382141e-01,1.8729609212e+00,-2.8085222806e+03,2.2863914360e-02,-2.8084994167e+03,-7.6950165473e-06,1.3181185075e-04,-1.1441941390e+00,-1.1313781870e+00,1.2815952026e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
162,1.6200000000e-02,1.0000000000e-04,502424,54,49,56,-2.8088349477e+03,4.8847095572e-01,4.8711743114e-01,2.8272175635e-02,-3.5371976213e+00,4.7839070288e-01,1.8730067471e+00,-2.8088349477e+03,2.2605742052e-02,-2.8088123419e+03,-8.6551850480e-06,1.3182904979e-04,-1.1440393999e+00,-1.1311653831e+00,1.2874016867e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
163,1.6300000000e-02,1.0000000000e-04,438392,47,54,56,-2.8091020794e+03,4.8860278477e-01,4.8705949029e-01,2.8263520450e-02,-3.5375127130e+00,4.7863762257e-01,1.8730520585e+00,-2.8091020794e+03,2.2347526625e-02,-2.8090797319e+03,-9.6557672560e-06,1.3184417177e-04,-1.1438669958e+00,-1.1309351540e+00,1.2931841805e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
164,1.6400000000e-02,1.0000000000e-04,502232,54,47,56,-2.8093218599e+03,4.8873462894e-01,4.8700178438e-01,2.8253864683e-02,-3.5378643415e+00,4.7888457653e-01,1.8730968544e+00,-2.8093218599e+03,2.2089272250e-02,-2.8092997706e+03,-1.0689072983e-05,1.3185702149e-04,-1.1436761627e+00,-1.1306867314e+00,1.2989431239e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
165,1.6500000000e-02,1.0000000000e-04,438392,47,54,56,-2.8094928012e+03,4.8886648596e-01,4.8694430882e-01,2.8243175610e-02,-3.5382537354e+00,4.7913156043e-01,1.8731411339e+00,-2.8094928012e+03,2.1830983484e-02,-2.8094709702e+03,-1.1747084410e-05,1.3186748509e-04,-1.1434662734e+00,-1.1304194836e+00,1.3046789757e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
166,1.6600000000e-02,1.0000000000e-04,520662,56,47,54,-2.8096137575e+03,4.8899835344e-01,4.8688705886e-01,2.8231428526e-02,-3.5386818368e+00,4.7937856973e-01,1.8731848961e+00,-2.8096137575e+03,2.1572665107e-02,-2.8095921848e+03,-1.2821548853e-05,1.3187549913e-04,-1.1432368440e+00,-1.1301329219e+00,1.3103922096e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
167,1.6700000000e-02,1.0000000000e-04,520662,56,47,54,-2.8096839361e+03,4.8913022894e-01,4.8683002966e-01,2.8218606977e-02,-3.5391492926e+00,4.7962559978e-01,1.8732281400e+00,-2.8096839361e+03,2.1314322022e-02,-2.8096626218e+03,-1.3904073399e-05,1.3188111911e-04,-1.1429875380e+00,-1.1298267049e+00,1.3160833118e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
168,1.6800000000e-02,1.0000000000e-04,502232,54,47,56,-2.8097029045e+03,4.8926211006e-01,4.8677321625e-01,2.8204702903e-02,-3.5396564489e+00,4.7987264603e-01,1.8732708646e+00,-2.8097029045e+03,2.1055959027e-02,-2.8096818486e+03,-1.4986218707e-05,1.3188425297e-04,-1.1427181694e+00,-1.1295006416e+00,1.3217527766e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
169,1.6900000000e-02,1.0000000000e-04,502232,54,47,56,-2.8096705933e+03,4.8939399431e-01,4.8671661364e-01,2.8189716685e-02,-3.5402033488e+00,4.8011970374e-01,1.8733130693e+00,-2.8096705933e+03,2.0797581099e-02,-2.8096497957e+03,-1.6059590553e-05,1.3188437304e-04,-1.1424287035e+00,-1.1291546924e+00,1.3274011037e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
170,1.7000000000e-02,1.0000000000e-04,502232,54,47,56,-2.8095872950e+03,4.8952587869e-01,4.8666021681e-01,2.8173657094e-02,-3.5407897332e+00,4.8036676722e-01,1.8733547528e+00,-2.8095872950e+03,2.0539194250e-02,-2.8095667558e+03,-1.7115928615e-05,1.3188216205e-04,-1.1421192571e+00,-1.1287889692e+00,1.3330287941e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
171,1.7100000000e-02,1.0000000000e-04,502232,54,47,56,-2.8094536611e+03,4.8965776085e-01,4.8660402077e-01,2.8156541166e-02,-3.5414150451e+00,4.8061383201e-01,1.8733959146e+00,-2.8094536611e+03,2.0280803155e-02,-2.8094333803e+03,-1.8147187750e-05,1.3187785764e-04,-1.1417900966e+00,-1.1284037331e+00,1.3386363471e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
172,1.7200000000e-02,1.0000000000e-04,438392,47,54,56,-2.8092706937e+03,4.8978963871e-01,4.8654802059e-01,2.8138393978e-02,-3.5420784362e+00,4.8086089414e-01,1.8734365539e+00,-2.8092706937e+03,2.0022412024e-02,-2.8092506713e+03,-1.9145613204e-05,1.3187137915e-04,-1.1414416345e+00,-1.1279993919e+00,1.3442242562e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
173,1.7300000000e-02,1.0000000000e-04,438392,47,54,56,-2.8090397348e+03,4.8992151009e-01,4.8649221139e-01,2.8119248365e-02,-3.5427787764e+00,4.8110794945e-01,1.8734766701e+00,-2.8090397348e+03,1.9764025227e-02,-2.8090199708e+03,-2.0103808716e-05,1.3186267322e-04,-1.1410744251e+00,-1.1275764950e+00,1.3497930063e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
174,1.7400000000e-02,1.0000000000e-04,502232,54,47,56,-2.8087624529e+03,4.9005337276e-01,4.8643658846e-01,2.8099144556e-02,-3.5435146657e+00,4.8135499371e-01,1.8735162627e+00,-2.8087624529e+03,1.9505647237e-02,-2.8087429473e+03,-2.1014796105e-05,1.3185190280e-04,-1.1406891588e+00,-1.1271357281e+00,1.3553430702e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
175,1.7500000000e-02,1.0000000000e-04,502232,54,47,56,-2.8084408271e+03,4.9018522466e-01,4.8638114722e-01,2.8078129760e-02,-3.5442844479e+00,4.8160202297e-01,1.8735553312e+00,-2.8084408271e+03,1.9247282208e-02,-2.8084215799e+03,-2.1872065761e-05,1.3183900633e-04,-1.1402866554e+00,-1.1266779063e+00,1.3608749052e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
176,1.7600000000e-02,1.0000000000e-04,437240,47,42,56,-2.8080771287e+03,4.9031706367e-01,4.8632588327e-01,2.8056257694e-02,-3.5450862267e+00,4.8184903319e-01,1.8735938749e+00,-2.8080771287e+03,1.8988934418e-02,-2.8080581398e+03,-2.2669618976e-05,1.3182416220e-04,-1.1398678565e+00,-1.1262039669e+00,1.3663889507e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
177,1.7700000000e-02,1.0000000000e-04,437240,47,42,56,-2.8076739013e+03,4.9044888783e-01,4.8627079242e-01,2.8033588075e-02,-3.5459178829e+00,4.8209602065e-01,1.8736318935e+00,-2.8076739013e+03,1.8730607793e-02,-2.8076551707e+03,-2.3402001109e-05,1.3180744831e-04,-1.1394338168e+00,-1.1257149605e+00,1.3718856248e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
178,1.7800000000e-02,1.0000000000e-04,438392,47,54,56,-2.8072339391e+03,4.9058069528e-01,4.8621587072e-01,2.8010186074e-02,-3.5467770925e+00,4.8234298176e-01,1.8736693866e+00,-2.8072339391e+03,1.8472306108e-02,-2.8072154668e+03,-2.4064326826e-05,1.3178902003e-04,-1.1389856955e+00,-1.1252120423e+00,1.3773653220e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
179,1.7900000000e-02,1.0000000000e-04,438392,47,54,56,-2.8067602645e+03,4.9071248430e-01,4.8616111449e-01,2.7986121747e-02,-3.5476613470e+00,4.8258991326e-01,1.8737063540e+00,-2.8067602645e+03,1.8214032833e-02,-2.8067420505e+03,-2.4652297484e-05,1.3176904330e-04,-1.1385247466e+00,-1.1246964624e+00,1.3828284106e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
180,1.8000000000e-02,1.0000000000e-04,438392,47,54,56,-2.8062561039e+03,4.9084425334e-01,4.8610652032e-01,2.7961469450e-02,-3.5485679728e+00,4.8283681216e-01,1.8737427954e+00,-2.8062561039e+03,1.7955791114e-02,-2.8062381481e+03,-2.5162211543e-05,1.3174748415e-04,-1.1380523086e+00,-1.1241695563e+00,1.3882752309e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
181,1.8100000000e-02,1.0000000000e-04,438392,47,54,56,-2.8057248633e+03,4.9097600083e-01,4.8605208512e-01,2.7936307238e-02,-3.5494941523e+00,4.8308367543e-01,1.8737787105e+00,-2.8057248633e+03,1.7697584164e-02,-2.8057071657e+03,-2.5590968892e-05,1.3172456217e-04,-1.1375697951e+00,-1.1236327342e+00,1.3937060928e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
182,1.8200000000e-02,1.0000000000e-04,456824,49,54,56,-2.8051701040e+03,4.9110772539e-01,4.8599780610e-01,2.7910716269e-02,-3.5504369452e+00,4.8333050045e-01,1.8738140994e+00,-2.8051701040e+03,1.7439414765e-02,-2.8051526646e+03,-2.5936069382e-05,1.3170061157e-04,-1.1370786837e+00,-1.1230874709e+00,1.3991212743e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
183,1.8300000000e-02,1.0000000000e-04,437240,47,42,56,-2.8045955170e+03,4.9123942600e-01,4.8594368080e-01,2.7884780200e-02,-3.5513933089e+00,4.8357728521e-01,1.8738489619e+00,-2.8045955170e+03,1.7181285045e-02,-2.8045783357e+03,-2.6195606518e-05,1.3167572584e-04,-1.1365805057e+00,-1.1225352955e+00,1.4045210199e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
184,1.8400000000e-02,1.0000000000e-04,520854,56,49,54,-2.8040048979e+03,4.9137110173e-01,4.8588970715e-01,2.7858584593e-02,-3.5523601202e+00,4.8382402790e-01,1.8738832980e+00,-2.8040048979e+03,1.6923196947e-02,-2.8039879747e+03,-2.6368257526e-05,1.3164995134e-04,-1.1360768361e+00,-1.1219777807e+00,1.4099055396e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
185,1.8500000000e-02,1.0000000000e-04,438392,47,54,56,-2.8034021222e+03,4.9150275168e-01,4.8583588338e-01,2.7832216336e-02,-3.5533341958e+00,4.8407072677e-01,1.8739171080e+00,-2.8034021222e+03,1.6665152326e-02,-2.8033854571e+03,-2.6453270690e-05,1.3162364018e-04,-1.1355692824e+00,-1.1214165324e+00,1.4152750077e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
186,1.8600000000e-02,1.0000000000e-04,437240,47,42,56,-2.8027911202e+03,4.9163437532e-01,4.8578220812e-01,2.7805763065e-02,-3.5543123130e+00,4.8431738076e-01,1.8739503918e+00,-2.8027911202e+03,1.6407152345e-02,-2.8027747130e+03,-2.6450448957e-05,1.3159681842e-04,-1.1350594751e+00,-1.1208531794e+00,1.4206295619e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
187,1.8700000000e-02,1.0000000000e-04,502232,54,47,56,-2.8021758523e+03,4.9176597214e-01,4.8572868038e-01,2.7779312616e-02,-3.5552912301e+00,4.8456398883e-01,1.8739831497e+00,-2.8021758523e+03,1.6149198117e-02,-2.8021597031e+03,-2.6360132631e-05,1.3156983736e-04,-1.1345490566e+00,-1.1202893636e+00,1.4259693030e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
188,1.8800000000e-02,1.0000000000e-04,502232,54,47,56,-2.8015602856e+03,4.9189754197e-01,4.8567529951e-01,2.7752952483e-02,-3.5562677059e+00,4.8481055062e-01,1.8740153819e+00,-2.8015602856e+03,1.5891290064e-02,-2.8015443943e+03,-2.6183179982e-05,1.3154296545e-04,-1.1340396722e+00,-1.1197267292e+00,1.4312942948e-02,interface,1,0,1,447024,48,48,48,1.0000000000e+00
