step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_total,dxB,deta,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
14,1.4000000000e-03,1.0000000000e-04,391720,42,48,40,-2.4829024474e+03,4.8158351832e-01,4.9852841523e-01,2.3893328498e-02,-3.7099725974e+00,4.6550031544e-01,1.8699159491e+00,-2.4829024474e+03,3.6080578949e-02,-2.4828663669e+03,5.0921088894e-04,1.1644999739e-04,-1.0553375512e+00,-1.0538659792e+00,1.4715720267e-03,interface,1,0,1,437711,47,47,47,1.0000000000e+00
15,1.5000000000e-03,1.0000000000e-04,447798,48,56,54,-2.5107288545e+03,4.8169996832e-01,4.9842305183e-01,2.4402539387e-02,-3.6883628633e+00,4.6571807088e-01,1.8699799972e+00,-2.5107288545e+03,3.5853050387e-02,-2.5106930015e+03,5.6574316451e-04,1.1777027917e-04,-1.0669389207e+00,-1.0653619882e+00,1.5769324805e-03,interface,1,0,1,437711,47,47,47,9.9999736807e-01
16,1.6000000000e-03,1.0000000000e-04,447786,48,56,42,-2.5406288561e+03,4.8181773860e-01,4.9832050474e-01,2.4968282552e-02,-3.6648636797e+00,4.6593830274e-01,1.8700443593e+00,-2.5406288561e+03,3.5622930279e-02,-2.5405932332e+03,6.1434281131e-04,1.1918262793e-04,-1.0794539838e+00,-1.0777745075e+00,1.6794763086e-03,interface,1,0,1,437711,47,47,47,9.9999449232e-01
17,1.7000000000e-03,1.0000000000e-04,447608,48,54,56,-2.5719843554e+03,4.8193692123e-01,4.9822094801e-01,2.5582625363e-02,-3.6399263036e+00,4.6616118340e-01,1.8701090714e+00,-2.5719843554e+03,3.5390038389e-02,-2.5719489653e+03,6.5363528295e-04,1.2065970499e-04,-1.0926178952e+00,-1.0908388657e+00,1.7790294675e-03,interface,1,0,1,437711,47,47,47,9.9999155275e-01
18,1.8000000000e-03,1.0000000000e-04,447608,48,54,56,-2.6041645338e+03,4.8205758093e-01,4.9812449735e-01,2.6236260646e-02,-3.6140262588e+00,4.6638683414e-01,1.8701741531e+00,-2.6041645338e+03,3.5154247874e-02,-2.6041293795e+03,6.8241294352e-04,1.2217278044e-04,-1.1061595568e+00,-1.1042840805e+00,1.8754762604e-03,interface,1,0,1,437711,47,47,47,9.9998855088e-01
19,1.9000000000e-03,1.0000000000e-04,447984,48,58,48,-2.6366361520e+03,4.8265254431e-01,4.9803128181e-01,2.6912827966e-02,-3.5878706201e+00,4.6749961338e-01,1.8704887036e+00,-2.6366361520e+03,3.3991405387e-02,-2.6366021606e+03,7.0236025727e-04,1.1966510409e-04,-1.1196969478e+00,-1.1177282601e+00,1.9686876681e-03,interface,1,0,1,437711,47,47,47,9.9998548910e-01
20,2.0000000000e-03,1.0000000000e-04,447984,48,58,48,-2.6687647478e+03,4.8277220942e-01,4.9794116427e-01,2.7615188224e-02,-3.5613857037e+00,4.6772344932e-01,1.8705506911e+00,-2.6687647478e+03,3.3757487403e-02,-2.6687309903e+03,7.0779363888e-04,1.2111326297e-04,-1.1332604125e+00,-1.1312016117e+00,2.0588008179e-03,interface,1,0,1,437711,47,47,47,9.9998237061e-01
21,2.1000000000e-03,1.0000000000e-04,447034,48,48,58,-2.6999799299e+03,4.8289332268e-01,4.9785415716e-01,2.8322981863e-02,-3.5353499083e+00,4.6795000159e-01,1.8706129930e+00,-2.6999799299e+03,3.3520726771e-02,-2.6999464092e+03,7.0081160137e-04,1.2252372211e-04,-1.1464490522e+00,-1.1443032489e+00,2.1458033117e-03,interface,1,0,1,437711,47,47,47,9.9997919929e-01
22,2.2000000000e-03,1.0000000000e-04,447984,48,58,48,-2.7298104492e+03,4.8301584640e-01,4.9777015110e-01,2.9023793464e-02,-3.5101860060e+00,4.6817919990e-01,1.8706755742e+00,-2.7298104492e+03,3.3281196854e-02,-2.7297771680e+03,6.8167558580e-04,1.2387556373e-04,-1.1590565346e+00,-1.1568267301e+00,2.2298045470e-03,interface,1,0,1,437711,47,47,47,9.9997597958e-01
23,2.3000000000e-03,1.0000000000e-04,447984,48,58,48,-2.7578637275e+03,4.8313972197e-01,4.9768899512e-01,2.9705469050e-02,-3.4862684936e+00,4.6841093478e-01,1.8707383896e+00,-2.7578637275e+03,3.3039011927e-02,-2.7578306885e+03,6.5112386453e-04,1.2515058256e-04,-1.1709097191e+00,-1.1685987636e+00,2.3109555059e-03,interface,1,0,1,437711,47,47,47,9.9997271630e-01
