case_dir,base_case_tag,current_barrier_kBT,corrected_same_strain_barrier_kBT,difference_kBT,ratio_current_to_corrected,background_fraction,status
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0075_ref_matrix_only,cntcon_T400_xB0p050_strictref_exx_sm0p0075,22058.742689438415,402.81051127751226,21655.932178160903,54.762083093311496,0.9817391899008653,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p01_ref_matrix_only,cntcon_T400_xB0p050_strictref_exx_sm0p01,38591.22348672589,425.7703139908118,38165.45317273508,90.63859601907025,0.9889671724417531,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0025_ref_matrix_only,cntcon_T400_xB0p050_strictref_eyy_s0p0025,1646.976830311948,342.93530877422216,1304.0415215377259,4.802587508993616,0.7917789112374654,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p005_ref_matrix_only,cntcon_T400_xB0p050_strictref_eyy_s0p005,6002.001524183217,354.95440054920346,5647.047123634014,16.90921852186257,0.9408606613778714,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0075_ref_matrix_only,cntcon_T400_xB0p050_strictref_eyy_s0p0075,13413.591187945714,367.7497746978205,13045.841413247894,36.47477744607089,0.9725837943362772,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p01_ref_matrix_only,cntcon_T400_xB0p050_strictref_eyy_s0p01,23881.81535377208,381.3924095120583,23500.42294426002,62.617437468998766,0.9840300076077836,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p0025_ref_matrix_only,cntcon_T400_xB0p050_strictref_eyy_sm0p0025,2106.3316960272377,320.9390126858082,1785.3926833414296,6.56302790489758,0.8476313045608473,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p005_ref_matrix_only,cntcon_T400_xB0p050_strictref_eyy_sm0p005,6920.564164617522,310.8137973687451,6609.7503672487765,22.265949012575724,0.9550883728586999,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p0075_ref_matrix_only,cntcon_T400_xB0p050_strictref_eyy_sm0p0075,14791.068454048875,301.1738556317897,14489.894598417084,49.111395884681954,0.9796381271192517,same_strain_reference_found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p01_ref_matrix_only,cntcon_T400_xB0p050_strictref_eyy_sm0p01,25717.770682772567,291.9433447129304,25425.827338059637,88.09164911110065,0.9886481861777976,same_strain_reference_found
