state,moment_order,matrix_xB,eulerian_semi_discrete_rate,cohort_quadrature_rate,relative_difference,lower_number_flux_m3_s,excluded_lower_boundary_rate,excluded_upper_boundary_rate
A_no_boundary_active_canonical_tail_excised,0,0.006220578557312318,0.0,0.0,0.0,0.0,-0.0,-0.0
A_no_boundary_active_canonical_tail_excised,1,0.006220578557312318,311120566.9762156,310296808.9706965,0.0026547421104703827,0.0,-0.0,-0.0
A_no_boundary_active_canonical_tail_excised,2,0.006220578557312318,9.3509828537222,9.30089564526091,0.005385202712903397,0.0,-0.0,-0.0
A_no_boundary_active_canonical_tail_excised,3,0.006220578557312318,1.8120726022769623e-07,1.8001037930230615e-07,0.006648955077085091,0.0,-0.0,-0.0
C_dynamic_matrix_closed_scaled_canonical_state,0,0.012274071117305045,0.0,0.0,0.0,7.849143103438393e-73,-7.849143103438393e-73,-0.0
C_dynamic_matrix_closed_scaled_canonical_state,1,0.012274071117305045,26556159672.11932,26549832171.332706,0.00023832545327520413,7.849143103438393e-73,-3.711061706766586e-82,-0.0
C_dynamic_matrix_closed_scaled_canonical_state,2,0.012274071117305045,490.9277873625935,490.4034673458889,0.0010691605007246215,7.849143103438393e-73,-1.75458416593529e-91,-0.0
C_dynamic_matrix_closed_scaled_canonical_state,3,0.012274071117305045,6.9401989738905235e-06,6.927029281150036e-06,0.0019012035615793808,7.849143103438393e-73,-8.295648407555797e-101,-0.0
B_boundary_active_operator_probe,0,,-1.0529956759582724e-72,-3.2876747406250736e-60,0.9999999999996797,1.0529956759582724e-72,NOT_APPLICABLE,NOT_APPLICABLE
