time_h,region,number_fraction,M3_fraction,cumulative_number_dissolved_m3,cumulative_beta_volume_dissolved,cumulative_mol_B_returned_mol_m3
0.1,Rmin_to_Rmin_plus_1nm,5.18831422974866e-08,1.1840175230040083e-10,5086566880820672.0,2.2462109102791926e-12,5.4773608482996185e-08
0.1,Rmin_to_Rmin_plus_2nm,6.197521903836209e-07,6.643768954508788e-09,5086566880820672.0,2.2462109102791926e-12,5.4773608482996185e-08
