points_per_cell,radius_probe_m,probe_kind,number_cdf_eulerian,number_cdf_cohort,number_cdf_absolute_error,M3_cdf_eulerian,M3_cdf_cohort,M3_cdf_absolute_error
1,4.783693769815955e-10,independent_subcell_probe,6.726800279891933e-100,5.731361159371104e-100,9.954391205208296e-101,8.338552687097576e-104,7.08987367070726e-104,1.248679016390316e-104
1,4.785695107475275e-10,independent_subcell_probe,7.224519840152477e-100,7.722239400412763e-100,4.977195602602859e-101,8.964068756002834e-104,9.59037007413222e-104,6.263013181293859e-105
1,4.787696445134594e-10,canonical_cell_edge,7.722239400412763e-100,7.722239400412763e-100,0.0,9.590370074132214e-104,9.59037007413222e-104,6.196147063758909e-119
1,4.789701134769886e-10,independent_subcell_probe,8.363281313860418e-100,7.722239400412763e-100,6.410419134476551e-101,1.0398032959757426e-103,9.59037007413222e-104,8.076628856252056e-105
1,4.791705824405178e-10,independent_subcell_probe,9.004323227308074e-100,7.722239400412763e-100,1.2820838268953112e-100,1.1206710604094062e-103,9.59037007413222e-104,1.616340529961842e-104
1,4.793710514040471e-10,independent_subcell_probe,9.64536514075573e-100,1.0286407054203384e-99,6.410419134476541e-101,1.201640385675766e-103,1.2827113567718948e-103,8.107097109612875e-105
1,4.795715203675763e-10,canonical_cell_edge,1.0286407054203384e-99,1.0286407054203384e-99,0.0,1.282711356771894e-103,1.2827113567718948e-103,7.435376476510691e-119
1,4.797723250901145e-10,independent_subcell_probe,1.1111924187222508e-99,1.0286407054203384e-99,8.255171330191248e-101,1.387243564669603e-103,1.2827113567718948e-103,1.0453220789770811e-104
1,4.799731298126526e-10,independent_subcell_probe,1.1937441320241207e-99,1.0286407054203384e-99,1.6510342660378232e-100,1.4919071082649581e-103,1.2827113567718948e-103,2.0919575149306336e-104
1,4.801739345351907e-10,independent_subcell_probe,1.2762958453259907e-99,1.3588475586279032e-99,8.255171330191248e-101,1.596702097519943e-103,1.7016286424425733e-103,1.0492654492263033e-104
1,4.803747392577289e-10,canonical_cell_edge,1.3588475586279032e-99,1.3588475586279032e-99,0.0,1.7016286424425726e-103,1.7016286424425733e-103,7.435376476510691e-119
1,4.80575880301628e-10,independent_subcell_probe,1.4651403235117579e-99,1.3588475586279032e-99,1.0629276488385469e-100,1.8369006914768495e-103,1.7016286424425733e-103,1.3527204903427622e-104
1,4.80777021345527e-10,independent_subcell_probe,1.5714330883956124e-99,1.3588475586279032e-99,2.1258552976770918e-100,1.9723426981662691e-103,1.7016286424425733e-103,2.707140557236958e-104
1,4.809781623894261e-10,independent_subcell_probe,1.6777258532795217e-99,1.7840186181633762e-99,1.0629276488385449e-100,2.10795480480938e-103,2.243737153764093e-103,1.3578234895471301e-104
1,4.811793034333251e-10,canonical_cell_edge,1.7840186181633762e-99,1.7840186181633762e-99,0.0,2.243737153764092e-103,2.243737153764093e-103,9.913835302014255e-119
1,4.813807813618789e-10,independent_subcell_probe,1.9208605714631062e-99,1.7840186181633762e-99,1.3684195329973007e-100,2.41876371545337e-103,2.243737153764093e-103,1.7502656168927697e-104
1,4.815822592904326e-10,independent_subcell_probe,2.0577025247628367e-99,1.7840186181633762e-99,2.7368390659946054e-100,2.594010182911979e-103,2.243737153764093e-103,3.502730291478859e-104
