probe_path,matrix_xB,radius_m,xeq_alpha_beta,chemical_driving_force_xB,gibbs_thomson_embedded_in_xeq,elastic_correction_included,elastic_penalty_j_m3,growth_rate_eulerian_m_s,growth_rate_cohort_m_s,growth_sign,critical_radius_m,molar_inventory_per_particle_mol,relative_difference
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.724576536020362e-10,0.9993756730596338,-0.9931550945023215,True,True,0.0,-2.7182589831400534e-05,-2.7182589831400534e-05,DISSOLUTION,8.714603508943103e-09,1.0772043446914785e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.726638257776141e-10,0.9970373401753077,-0.9908167616179954,True,True,0.0,-5.712259286772206e-06,-5.712259286772206e-06,DISSOLUTION,8.714603508943103e-09,1.0786151790275515e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.729328228911956e-10,0.9939977451988102,-0.987777166641498,True,True,0.0,-2.8092721927942305e-06,-2.8092721927942305e-06,DISSOLUTION,8.714603508943103e-09,1.0804577752387171e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.731389950667735e-10,0.9916766602301205,-0.9854560816728082,True,True,0.0,-2.0202244786562466e-06,-2.0202244786562466e-06,DISSOLUTION,8.714603508943103e-09,1.0818714482455662e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.732489577059149e-10,0.9904417436325362,-0.984221165075224,True,True,0.0,-1.756600818130498e-06,-1.756600818130498e-06,DISSOLUTION,8.714603508943103e-09,1.0826259395804796e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.73455475192628e-10,0.9881281846684271,-0.9819076061111148,True,True,0.0,-1.4103375533075168e-06,-1.4103375533075168e-06,DISSOLUTION,8.714603508943103e-09,1.0840438746790624e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.737249228408094e-10,0.9851207797040535,-0.9789002011467413,True,True,0.0,-1.121193914310436e-06,-1.121193914310436e-06,DISSOLUTION,8.714603508943103e-09,1.0858957447204453e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.739314403275225e-10,0.9828242652087666,-0.9766036866514544,True,True,0.0,-9.68581645397286e-07,-9.68581645397286e-07,DISSOLUTION,8.714603508943103e-09,1.0873165327769016e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.740415871395459e-10,0.9816024174935762,-0.975381838936264,True,True,0.0,-9.029135776772895e-07,-9.029135776772895e-07,DISSOLUTION,8.714603508943103e-09,1.08807482148451e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.742484505157444e-10,0.9793133356155198,-0.9730927570582075,True,True,0.0,-8.00767746797009e-07,-8.00767746797009e-07,DISSOLUTION,8.714603508943103e-09,1.089499893083907e-23,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,4.745183494531116e-10,0.9763377351184481,-0.9701171565611358,True,True,0.0,-6.975311132479187e-07,-6.975311132479187e-07,DISSOLUTION,8.714603508943103e-09,1.0913610836309127e-23,0.0
